,Real Name,Birthplace,Date of Birth,Debut,Date of Death,wrestler_name,Weight and Height,Weight,Height
1912,Eric Alexander Pérez,Carolina (Puerto Rico),18th December 1979 (age 42),2000,,Escobar,246 lbs. (112 kg) at 6'3'' (1.91 m),,
723,Georg Welles,"Oakland, California (United States of America)",30th October 1947 (age 74),1972,,Georg Wells,265 lbs. (120 kg) at 6'1'' (1.85 m),,
1131,Kenny Stasiowski,"Anchorage, Alaska (United States of America)",18th June 1970 (age 51),21st August 1995 (26 years ago),,Kenny Kaos,235 lbs. (107 kg) at 6'0'' (1.83 m),,
2559,James McCreadie Brown,"Holytown, North Lanarkshire, Scotland (United Kingdom)",23rd February 1987 (age 35),??th July 2003,,James Wallace,215 lbs. (98 kg) at 6'0'' (1.83 m),,
687,Brian Brower,"Los Angeles, California (United States of America)",29th March 1982 (age 39),8th October 1999 (22 years ago),,Dixie,190 lbs. (86 kg) at 5'6'' (1.68 m),,
1547,Tony N. Roy,"Nashua, New Hampshire (United States of America)",4th April 1969 (age 52),1988,,Antoine Roy,245 lbs. (111 kg) at 6'0'' (1.83 m),,
13387,Rolles Gracie Jr.,"Río de Janeiro, Río de Janeiro (Brazil)",14th July 1978 (age 43),20th September 2007 (14 years ago),,Rolles Gracie,240 lbs. (109 kg) at 6'4'' (1.93 m),,
29272,Michael Rallis,"Edina, Minnesota (United States of America)",11th October 1989 (age 32),18th December 2014 (7 years ago),,Madcap Moss,245 lbs. (111 kg) at 6'3'' (1.91 m),,
727,Stanley Cooper Frazier,"Pascagoula, Mississippi (United States of America)",16th August 1937,1960,1st July 1992,Uncle Elmer,450 lbs. (204 kg) at 6'10'' (2.08 m),,
1232,Rafael Núñez Juan,"Ciudad de México, Ciudad de México (Mexico)",11th November 1966 (age 55),30th August 1985 (36 years ago),,Scorpio Jr.,216 lbs. (98 kg) at 5'9'' (1.75 m),,
898,Edgar Luna Pozos,"Ciudad de México, Ciudad de México (Mexico)",22nd April 1970 (age 51),,,Mr. Electro,209 lbs. (95 kg) at 6'2'' (1.88 m),,
4351,unknown,"East Lansing, Michigan (United States of America)",,2nd October 2004 (17 years ago),,Shane Hagadorn,205 lbs. (93 kg) at 5'11'' (1.80 m),,
6774,Moíses Neftalí Delgado Vargas,"Guadalajara, Jalisco (Mexico)",28th November 1982 (age 39),17th June 2007 (14 years ago),,Höruz,198 lbs. (90 kg) at 5'10'' (1.78 m),,
239,John Williams,"Baltimore, Maryland (United States of America)",1st June 1970 (age 51),10th August 1990 (31 years ago),,Ian Rotten,296 lbs. (134 kg) at 5'11'' (1.80 m),,
