,Real Name,Birthplace,Date of Birth,wrestler_name,Weight and Height,Debut,Date of Death,Height,Weight
13745,Alexandre Bernier,"Saguenay, Quebec (Canada)",7th March 1988 (age 34),David Alexander Best,170 lbs. (77 kg) at 5'10'' (1.78 m),2005,,,
13746,Dennis Koslowski,"Watertown, South Dakota (United States of America)",16th August 1959 (age 62),Dennis Koslowski,220 lbs. (100 kg) at 6'0'' (1.83 m),20th December 1992 (29 years ago),,,
13748,unknown,,,Traver,,,,,
13749,unknown,Quebec (Canada),,Jimmy Rampage,190 lbs. (86 kg) at 5'9'' (1.75 m),,,,
13751,unknown,Quebec (Canada),,Panzer,,,,,
13752,Steve Boutet,"Quebec City, Quebec (Canada)",1st April 1978 (age 43),Razen,205 lbs. (93 kg) at 6'4'' (1.93 m),??th January 2002,,,
13753,Richard Deschenes Audet,"Saguenay, Quebec (Canada)",20th August 1988 (age 33),Ricky Jones,155 lbs. (70 kg) at 5'8'' (1.73 m),2005,,,
13754,Marie-Claude Dufour,"Saguenay, Quebec (Canada)",19th June 1986 (age 35),Roxie ,110 lbs. (50 kg) at 5'1'' (1.55 m),15th October 2005 (16 years ago),,,
13755,unknown,"Shawinigan, Quebec (Canada)",,Aaron Von Schwartz,195 lbs. (88 kg) at 6'0'' (1.83 m),,,,
13756,unknown,"Saint-Léonard-d'Aston, Quebec (Canada)",,Alex North,214 lbs. (97 kg) at 5'9'' (1.75 m),,,,
13757,unknown,"Northallerton, North Yorkshire, England (United Kingdom)",14th September 1991 (age 30),Surf Graffiti,161 lbs. (73 kg) at 6'1'' (1.85 m),2008,,,
13758,unknown,"Middlesbrough, North Yorkshire, England (United Kingdom)",12th September 1992 (age 29),Jon Connar,,,,,
13759,Andreas Georg Kunze,"Mannheim, Baden-Württemberg (Germany)",6th May 1978 (age 43),Kunze,,18th July 2009 (12 years ago),,,265 lbs. (120 kg)
13760,unknown,,,Walter Bordes,,,,,
13761,unknown,,,Ellen Olsen ,,,,,
13763,Toru Harai,Yamaguchi (Japan),10th August 1986 (age 35),Toru Harai,145 lbs. (66 kg) at 5'7'' (1.70 m),9th December 2006 (15 years ago),,,
13764,unknown,United Kingdom,,Colossus van den Berg,269 lbs. (122 kg) at 6'5'' (1.96 m),,,,
13765,unknown,Canada,,El Hijo del Bamboo,367 lbs. (166 kg) at 5'10'' (1.78 m),,,,
13768,Thomas Rae,,,Tommy Rae,,,,,
13769,Frederick Julius Meyer,,17th June 1900,Dr. Fred Meyer,,,12th March 1983,,
13770,unknown,,,Pat Newman,,,,,
13771,unknown,,,Dick Kroll,,1958,,,
13772,Forrest Robert Crandall,"Annona, Texas (United States of America)",24th March 1895,Pat McKee,,,7th January 1950,,
13773,Edgar Byron Davie,"Bristol, Tennessee (United States of America)",1st December 1933,Eddie Davie,,??th July 1957,3rd August 2020,,
13774,David C. Webber,"Brunswick, Maine (United States of America)",5th July 1968,Dave Vicious,,,16th March 2001,,
13775,Earl Carrier,"Ellensburg, Washington (United States of America)",10th March 1901,Wildcat McCann,160 lbs. (73 kg) at 5'5'' (1.65 m),,25th October 1961,,
13776,Hyrum Joseph Scharman,"Salt Lake City, Utah (United States of America)",6th June 1907,Hy Sharman,170 lbs. (77 kg) at 5'8'' (1.73 m),,10th April 1992,,
13777,George Francis Temple Jr.,"Los Angeles, California (United States of America)",24th January 1919,George Temple,192 lbs. (87 kg) at 5'11'' (1.80 m),22nd March 1946 (75 years ago),27th May 1996,,
13779,Willie Kennedy,,,Jumbo Kennedy,,4th May 1937 (84 years ago),23rd January 1957,,450 lbs. (204 kg)
13780,Harry Bartelstein,Poland,,Lou Bartel,,,1939,,
13782,David Woodley,"Brantford, Ontario (Canada)",8th July 1988 (age 33),David Woodley,,,,5'10'' (1.78 m),
13783,unknown,"Kitchener, Ontario (Canada)",1989,David Daniel Ducker,233 lbs. (106 kg) at 6'3'' (1.91 m),16th March 2007 (14 years ago),,,
13784,unknown,"Toronto, Ontario (Canada)",??th October 1985,Persephone Vice ,190 lbs. (86 kg) at 6'2'' (1.88 m),22nd July 2006 (15 years ago),,,
13786,Silvestre Rodríguez,"Los Angeles, California (United States of America)",,Migra #2,,,,,
13787,Ivonne Janet Lerma Espinosa,"Apodaca, Nuevo León (Mexico)",26th November 1986 (age 35),La Gladiadora ,,2009,,,
13788,Mayela Castor,"Reynosa, Tamaulipas (Mexico)",19th November 1970 (age 51),La Novia de Jasón ,,,,,
13789,Joseph Ogurkiewicz,Indiana (United States of America),15th January 1893,Joe Alvarez,,,XXXX,,
13790,Johann Pohl,"Pietrowice Wielkie, Slaskie (Poland)",26th August 1867,John Pohl,249 lbs. (113 kg) at 6'2'' (1.88 m),1888,1914,,
13791,unknown,"Prenzlau, Brandenburg (Germany)",24th April 1875,Georg Strenge,,,??th May 1953,,
13792,Franciscus Alphonsus Steurs,"Oud-Turnhout, Antwerpen, Vlaanderen (Belgium)",6th September 1875,Alphonse Steurs,243 lbs. (110 kg) at 5'10'' (1.78 m),,7th December 1955,,
13793,Juan Ramón Ramos,Juncos (Puerto Rico),,Johnny Styles,177 lbs. (80 kg) at 5'10'' (1.78 m),2002,,,
13794,José Chaparro,Puerto Rico,,José Chaparro,,,,,
13795,unknown,Puerto Rico,,El Comandante,,,,,
13796,Manuel Rivera Torres,Maryland (United States of America),4th September 1984 (age 37),Double Image #1,180 lbs. (82 kg) at 5'9'' (1.75 m),9th September 2004 (17 years ago),,,
13797,Miguel Rivera Torres,Maryland (United States of America),4th September 1984 (age 37),Double Image #2,170 lbs. (77 kg) at 5'8'' (1.73 m),9th September 2004 (17 years ago),,,
13798,unknown,,25th November 1953,Barry Casino,,,10th July 2009,,
13799,Shaquille Rashaun O'Neal,"Newark, New Jersey (United States of America)",6th March 1972 (age 50),Shaquille O'Neal,325 lbs. (147 kg) at 7'1'' (2.16 m),,,,
13800,unknown,,,MacDuff Roesch,258 lbs. (117 kg) at 6'2'' (1.88 m),1986,,,
13801,Victor S. Kalfus Jr.,,19th February 1923,Vic Kalfus,,,9th February 2013,,
13803,Allan Hobman,New Zealand,23rd April 1925,Al Hobman,243 lbs. (110 kg) at 6'1'' (1.85 m),,21st September 2008,,
13804,unknown,"Washington, District of Columbia (United States of America)",,Ernie Lassiter,,,,,222 lbs. (101 kg)
13805,Gilbert Paul Ane,"Honolulu, Hawaii (United States of America)",4th March 1936,Gil Ane,,,26th April 2006,,
13806,Fredérick Savars,"Montréal, Quebec (Canada)",,Mark Male,,12th June 1999 (22 years ago),,,
13807,unknown,"Saint-Clet, Quebec (Canada)",,Lex Lerman,,,,,167 lbs. (76 kg)
13808,unknown,"Saint-Eustache, Quebec (Canada)",,Mathieu St-Jacques,220 lbs. (100 kg) at 5'10'' (1.78 m),2007,,,
13810,Jonathan Boivin,"Montréal, Quebec (Canada)",1982,Tomassino,295 lbs. (134 kg) at 6'8'' (2.03 m),2000,,,
13811,Dick Vrij,"Amsterdam, Noord-Holland (Netherlands)",??th May 1965,Dick Vrij,242 lbs. (110 kg) at 6'1'' (1.85 m),29th November 1989 (32 years ago),,,
13813,Phillip Ruggiero,"Pittsburgh, Pennsylvania (United States of America)",,Dino Apollo,,,,,
13814,unknown,"Brantford, Ontario (Canada)",,Flexx Falcone,217 lbs. (98 kg) at 5'10'' (1.78 m),,,,
13815,Jorge Flores,"Pachuca, Hidalgo (Mexico)",,Ranflex,,,,,
13819,Ross David Bentley,,18th May 1943,Dean Ross,,,24th September 2007,,
13820,Ben McCully,"New Glasgow, Nova Scotia (Canada)",2nd April ???,Vinny Glyde,200 lbs. (91 kg) at 5'10'' (1.78 m),2002,,,
13821,unknown,Tennessee (United States of America),,Jim Boss,225 lbs. (102 kg) at 5'11'' (1.80 m),,,,
13822,unknown,"Salem, Virginia (United States of America)",,Jamie Tucker,,,,5'10'' (1.78 m),
13823,Rachael Carr,"Scunthorpe, Lincolnshire, England (United Kingdom)",,Rachael Lynn,100 lbs. (45 kg) at 5'2'' (1.57 m),??th May 2009,,,
13824,unknown,"Nashville, Tennessee (United States of America)",15th August 1968 (age 53),Billy Scott,215 lbs. (98 kg) at 5'11'' (1.80 m),15th June 1989 (32 years ago),,,
13826,Shane Patterson,,28th June 1984 (age 37),Kid Omega,170 lbs. (77 kg) at 6'1'' (1.85 m),,,,
13828,unknown,"Stockport, Greater Manchester, England (United Kingdom)",2nd June 1985 (age 36),Stephanie Cooper,,,,5'2'' (1.57 m),
13830,Vladimir Berkovich,Kazakhstan,1956,Vladimir Berkovich,325 lbs. (147 kg) at 6'2'' (1.88 m),,,,
13832,Gene Lydick,"Tekamah, Nebraska (United States of America)",1960,Gene Lydick,230 lbs. (104 kg) at 5'11'' (1.80 m),,,,
13834,Luis Carlos Chávez Sánchez,"Ciudad de México, Ciudad de México (Mexico)",,Lockman,146 lbs. (66 kg) at 5'7'' (1.70 m),2003,,,
13835,unknown,United Kingdom,,Sandy Jack,140 lbs. (64 kg) at 5'9'' (1.75 m),,,,
13836,unknown,United States of America,1970,Mark Silver,230 lbs. (104 kg) at 6'2'' (1.88 m),,,,
13837,Steve Day,"Normal, Illinois (United States of America)",1st February 1955 (age 67),Steve Day,230 lbs. (104 kg) at 6'2'' (1.88 m),17th March 1992 (29 years ago),,,
13838,James ???,"Newcastle upon Tyne, Tyne and Wear, England (United Kingdom)",31st August 1984 (age 37),Jimmy Blade,312 lbs. (142 kg) at 5'11'' (1.80 m),,,,
13839,Martin McGurk,"London, Greater London, England (United Kingdom)",23rd August 1985 (age 36),TY McFly,225 lbs. (102 kg) at 6'2'' (1.88 m),,,,
13842,unknown,"Portsmouth, Virginia (United States of America)",1st January 1959 (age 63),Steve Cox,256 lbs. (116 kg) at 6'2'' (1.88 m),,,,
13843,Steve Nelson,United States of America,1965,Steve Nelson,175 lbs. (79 kg) at 5'9'' (1.75 m),,,,
13844,unknown,,,Larry Stevens,,,,,
13845,Ira Philip Dern,"Hooper, Nebraska (United States of America)",13th July 1893,Ira Dern,210 lbs. (95 kg) at 5'10'' (1.78 m),,21st March 1957,,
13846,unknown,,,Kid Lewis,,,,,
13847,unknown,,,George Craig,,,,,
13848,Tatsuo Nakano,"Shimotsuma, Ibaraki (Japan)",16th May 1965 (age 56),Tatsuo Nakano,216 lbs. (98 kg) at 5'9'' (1.75 m),29th August 1984 (37 years ago),,,
13849,Ken'ichi Yamamoto,"Kadoma, Osaka (Japan)",11th July 1976 (age 45),Ken'ichi Yamamoto,212 lbs. (96 kg) at 5'11'' (1.80 m),14th October 1994 (27 years ago),,,
13850,unknown,"Monterrey, Nuevo León (Mexico)",,Freedom,,31st August 2008 (13 years ago),,,
13851,unknown,Mexico,,Rokambole,,,,,
13853,Eugene Allen Lipscomb,,9th August 1931,Big Daddy Lipscomb,284 lbs. (129 kg) at 6'6'' (1.98 m),26th January 1960 (62 years ago),10th May 1963,,
13854,unknown,"Indianapolis, Indiana (United States of America)",,Jack Lipscomb,,,,,185 lbs. (84 kg)
13855,Paul DeMarchi,,1937,Paul DeMarco,,,,,
13856,Susan Tex Green,"Corpus Christi, Texas (United States of America)",13th August 1953 (age 68),Susan Green ,154 lbs. (70 kg) at 6'0'' (1.83 m),1969,,,
13857,Raymond Iwalani Kamaka,"Honolulu, Hawaii (United States of America)",1930,Koa Tiki,,,2014,,
13859,Apollo Santiago,"New York City, New York (United States of America)",,Yeyo,170 lbs. (77 kg) at 5'11'' (1.80 m),,18th January 2012,,
13860,unknown,Japan,1975,Masakazu Maeda,184 lbs. (83 kg) at 6'0'' (1.83 m),22nd December 1991 (30 years ago),,,
13861,Franklin Porter,Texas (United States of America),1907,Tex Porter,,1927,6th December 1998,,
13862,Roy Lee Lumpkin,"Jefferson, Texas (United States of America)",27th January 1907,Roy Lumpkin,211 lbs. (96 kg) at 6'2'' (1.88 m),25th February 1931 (91 years ago),31st March 1974,,
13863,Trevor Berbick,Norwich (Jamaica),1st August 1954,Trevor Berbick,220 lbs. (100 kg) at 6'3'' (1.91 m),,28th October 2006,,
13864,Benjamin R. Matta,"San Antonio, Texas (United States of America)",5th October 1928,Benny Matta,,,21st November 2011,,
13865,John Stuart Gibson Jr.,"New Albany, Indiana (United States of America)",5th October 1925,Stu Gibson,230 lbs. (104 kg) at 5'10'' (1.78 m),13th June 1950 (71 years ago),30th March 1988,,
13866,Jogindar Singh,,,Tiger Joginder Singh,,,XXXX,,
13867,unknown,,,Jack Sheppard,,,,,
13868,unknown,,23rd March 1900,Eugen Wiesberger,,,1953,,
13869,Pierre Kele-kele Lituka,Democratic Republic of the Congo,,Lituka Kelekele,190 lbs. (86 kg) at 5'9'' (1.75 m),,,,
13870,Erich Kowalski,,,Erich Kowalski,,,,,
13871,unknown,Ontario (Canada),,Miss B. Haven ,,,,,
13873,James Warring,"Miami, Florida (United States of America)",26th November 1958 (age 63),James Warring,225 lbs. (102 kg) at 6'3'' (1.91 m),22nd December 1991 (30 years ago),,,
13875,unknown,,,Randy Curtis,,,,,
13877,unknown,,,Don Wright,,,,,
13878,Pera Isaac Mar-Elia,Urmia (Iran),1st September 1905,Pete Marelia,170 lbs. (77 kg) at 5'8'' (1.73 m),,24th November 1961,,
13880,unknown,,,John Doering,,,,,
13881,unknown,United Kingdom,1989,Jamie Feerick,150 lbs. (68 kg) at 5'8'' (1.73 m),,,,
13882,unknown,United Kingdom,,El Skeletor,,,,,
13883,Orig Williams,"Cardiff, Cardiff, Wales (United Kingdom)",20th March 1931,Orig Williams,,,12th November 2009,,225 lbs. (102 kg)
13884,Francis Anthony Schroll,"Greenleaf, Kansas (United States of America)",2nd July 1899,Frank Schroll,180 lbs. (82 kg) at 6'0'' (1.83 m),,15th May 1991,,
13885,Allen Lewellyn Eustace,"Wakefield, Kansas (United States of America)",7th December 1891,Allen Eustace,230 lbs. (104 kg) at 6'3'' (1.91 m),,16th May 1972,,
13886,unknown,France,,Zaeken,202 lbs. (92 kg) at 6'1'' (1.85 m),27th June 2009 (12 years ago),,,
13888,unknown,"Lisboa, Região de Lisboa (Portugal)",,Dianna Dark,,,,,
13893,unknown,,,Edwin Bibby,,,,,
13896,unknown,,,Yussiff Mahmout,,,XXXX,,
13897,Jean Laurent,France,1866,Laurent le Beaucairois,273 lbs. (124 kg) at 5'7'' (1.70 m),,??th January 1935,,
13898,Matthew John Kostrencich,Washington (United States of America),20th January 1920,Matt Murphy,,,3rd February 1985,,
13899,unknown,"Montgomery, Alabama (United States of America)",,L.D. Lewis,220 lbs. (100 kg) at 6'0'' (1.83 m),,,,
13900,Rafael Halperin,"Wien, Wien (Austria)",1924,Raphael Halpern,214 lbs. (97 kg) at 6'0'' (1.83 m),,20th August 2011,,
13901,Zulema Carmen Mira,Florida (United States of America),1932,China Mira ,,,18th February 2006,,
13902,Woodrow Farmer,Virginia (United States of America),25th December 1935,Woody Farmer,,,29th February 2012,,
13903,unknown,,,Rex Farmer,,,,,
13905,unknown,,,Terry Orndorff,,,,,
13909,Ryuki Ueyama,"Machida, Tokyo (Japan)",17th April 1976 (age 45),Ryuki Ueyama,170 lbs. (77 kg) at 5'11'' (1.80 m),30th September 1996 (25 years ago),,,
13910,Michael Eli Nazarian,Karpet (Armenia),18th July 1912,Mike Nazarian,195 lbs. (88 kg) at 5'7'' (1.70 m),,4th October 1963,,
13911,Clarence Dale Haddock,"Marshall, Illinois (United States of America)",23rd July 1904,Dale Haddock,180 lbs. (82 kg) at 5'9'' (1.75 m),,10th May 1985,,
13912,unknown,,,Harry Pinetzki,,,,,
13913,Minoru Sano,"Ritto, Shiga (Japan)",30th March 1948 (age 73),Asataro Sano,200 lbs. (91 kg) at 6'1'' (1.85 m),,,,
13914,unknown,,,Georg Pröller,,,,,
13915,Peter Smit,"Dordrecht, Zuid-Holland (Netherlands)",24th December 1961,Peter Smit,176 lbs. (80 kg) at 6'2'' (1.88 m),,15th August 2005,,
13916,Willie Peeters,Netherlands,26th October 1965 (age 56),Willie Peeters,218 lbs. (99 kg) at 5'9'' (1.75 m),,,,
13918,Willie Wilhelm,Netherlands,16th September 1958 (age 63),Willie Wilhelm,298 lbs. (135 kg) at 6'6'' (1.98 m),,,,
13919,Marcel Haarmans,"Amsterdam, Noord-Holland (Netherlands)",1966,Marcel Haarmans,231 lbs. (105 kg) at 6'1'' (1.85 m),,,,
13920,Masakatsu Tanaka,Yamaguchi (Japan),26th January 1942 (age 80),Tadaharu Tanaka,231 lbs. (105 kg) at 5'9'' (1.75 m),1958,,,
13921,Joop Kasteel,"Amersfoort, Utrecht (Netherlands)",8th March 1964 (age 58),Joop Kasteel,265 lbs. (120 kg) at 6'3'' (1.91 m),28th April 1995 (26 years ago),,,
13922,Hans Nijman,Netherlands,23rd September 1959,Hans Nijman,245 lbs. (111 kg) at 6'0'' (1.83 m),7th December 1991 (30 years ago),5th November 2014,,
13923,Tonny van Maurik,Netherlands,,Tonny van Maurik,,,19th April 1993,,
13924,Herman Renting,Netherlands,31st December 1968 (age 53),Herman Renting,215 lbs. (98 kg) at 6'0'' (1.83 m),,,,
13927,John Hosman,"Evanston, Illinois (United States of America)",13th November 1980 (age 41),John Hosman,135 lbs. (61 kg) at 5'10'' (1.78 m),19th March 2005 (16 years ago),,,
13928,Jason Lee Von Flue,"Kerman, California (United States of America)",1st August 1975 (age 46),Jason Von Flue,170 lbs. (77 kg) at 6'0'' (1.83 m),29th June 1999 (22 years ago),,,
13930,unknown,,,Diamond Jack,,,,,
13931,unknown,"Creswell, Derbyshire, England (United Kingdom)",,Pitbull Pearson,240 lbs. (109 kg) at 5'7'' (1.70 m),,,,
13932,unknown,"Sheffield, South Yorkshire, England (United Kingdom)",,Lance Love,237 lbs. (108 kg) at 5'8'' (1.73 m),2008,,,
13933,Rob Kaman,"Amsterdam, Noord-Holland (Netherlands)",5th June 1960 (age 61),Rob Kaman,180 lbs. (82 kg) at 6'1'' (1.85 m),25th January 1992 (30 years ago),,,
13934,Andrei Kopilov,"Jekaterinburg, Swerdlowsk (Russia)",16th July 1965 (age 56),Andrei Kopilov,265 lbs. (120 kg) at 6'2'' (1.88 m),16th July 1992 (29 years ago),,,
13935,unknown,"Tlalnepantla de Baz, Estado de México (Mexico)",5th August 1985 (age 36),Ojo Diabólico Jr.,216 lbs. (98 kg) at 6'0'' (1.83 m),??th March 2009,,,
13936,Bert Kops Jr.,Netherlands,,Bert Kops Jr.,,,,,
13937,Jesús Martín Cota Sánchez,Mexico,7th August 1990 (age 31),Kommando Kobra,196 lbs. (89 kg) at 5'11'' (1.80 m),2007,,,
13938,Ramón Santaolaya Cruz,"Culiacán, Sinaloa (Mexico)",,Rosabel,209 lbs. (95 kg) at 5'8'' (1.73 m),,,,
13939,unknown,,,Mike Thor,,,,,
13940,unknown,,,Rick Ryder,,,,,
13941,unknown,,,Tom Pitner,,,,,
13942,unknown,,,Joe Chece,,,,,
13943,unknown,,,Bobby Houston,,,,,
13944,unknown,,,Corey Edsel,,,,,
13946,Hidetaka Aso,"Hiroshima, Hiroshima (Japan)",29th October 1950 (age 71),Hidetaka Aso,244 lbs. (111 kg) at 6'0'' (1.83 m),,,,
13947,Norman Edward Wescoatt,"Pu'unene, Hawaii (United States of America)",2nd August 1911,Rusty Westcoatt,235 lbs. (107 kg) at 6'2'' (1.88 m),,3rd September 1987,,
13948,Athanasios Kourvanas,,,Jim Atlas,,,,,
13949,unknown,,,Lew Roseby,,,,,
13950,Henry Gehring,"Cleveland, Ohio (United States of America)",10th February 1883,Henry Gehring,,,6th March 1973,5'10'' (1.78 m),
13951,John Piening,,1878,John Piening,,,??th February 1913,,
13952,Ramazi Buzariaschwili,Georgia,28th March 1970 (age 51),Ramazi Buzariaschwili,,5th March 1992 (30 years ago),,,
13953,Einar Rudolph Olsen,"Saxeville, Wisconsin (United States of America)",21st November 1908,Einar Olsen,162 lbs. (73 kg) at 5'10'' (1.78 m),,7th December 1984,,
13954,unknown,,,Jack Guy,,,2nd November 1973,,
13957,Keith Mildon,,,Keita Meretana,,1951,,,
13958,Johann Lemm,"Davos, Graubünden (Switzerland)",,Johann Lemm,216 lbs. (98 kg) at 5'8'' (1.73 m),,??th June 1961,,
13959,Masaaki Satake,"Suita, Osaka (Japan)",17th August 1965 (age 56),Masaaki Satake,235 lbs. (107 kg) at 6'1'' (1.85 m),30th June 1990 (31 years ago),,,
13960,unknown,,,Paul Le Mastoc,,,,,
13961,Nobuaki Kakuda,"Sakai, Osaka (Japan)",11th April 1961 (age 60),Nobuaki Kakuda,193 lbs. (88 kg) at 5'9'' (1.75 m),7th December 1991 (30 years ago),,,
13962,unknown,"Graz, Steiermark (Austria)",1881,Heinrich Lobmayer,265 lbs. (120 kg) at 5'9'' (1.75 m),,??th July 1933,,
13966,Akira Katayama,Okayama (Japan),12th July 1964 (age 57),Akira Katayama,209 lbs. (95 kg) at 5'9'' (1.75 m),26th May 1986 (35 years ago),,,
13971,Yoshiro Ito,Japan,21st September 1959 (age 62),Rikio Ito,265 lbs. (120 kg) at 6'0'' (1.83 m),,,,
13972,Adam Watt,Australia,10th October 1967 (age 54),Adam Watt,216 lbs. (98 kg) at 6'4'' (1.93 m),,,,
13974,unknown,"Tokyo, Tokyo (Japan)",9th March 1965 (age 57),Katsunari Toi,187 lbs. (85 kg) at 5'9'' (1.75 m),7th August 1991 (30 years ago),,,
13975,unknown,Gunma (Japan),10th November 1956 (age 65),Hiroshi Shimada,230 lbs. (104 kg) at 6'0'' (1.83 m),,,,
13976,Shin'ichi Shino,,29th January 1957 (age 65),Shin'ichi Shino,220 lbs. (100 kg) at 6'1'' (1.85 m),10th June 1993 (28 years ago),,,
13977,Mitsuteru Tokuda,"Himeji, Hyogo (Japan)",24th May 1968 (age 53),Mitsuteru Tokuda,220 lbs. (100 kg) at 6'0'' (1.83 m),6th October 1989 (32 years ago),,,
13978,Ryo Miyake,"Hiratsuka, Kanagawa (Japan)",8th December 1970 (age 51),Ryo Miyake,207 lbs. (94 kg) at 5'8'' (1.73 m),13th May 1990 (31 years ago),,,
13980,unknown,,16th November 1987 (age 34),Takuma Obe,,18th March 2007 (14 years ago),,,
13981,Atsushi Sawada,"Asahikawa, Hokkaido (Japan)",20th August 1983 (age 38),Atsushi Sawada,230 lbs. (104 kg) at 5'11'' (1.80 m),9th August 2007 (14 years ago),,,
13982,unknown,,4th February 1977 (age 45),Montanha Silva,,2003,,,
13985,Kazuki Okubo,"Tachikawa, Tokyo (Japan)",30th June 1979 (age 42),Kazuki Okubo,175 lbs. (79 kg) at 5'11'' (1.80 m),20th March 2001 (20 years ago),,,
13986,Yoichi Babaguchi,"Chiba, Chiba (Japan)",8th March 1966 (age 56),Wakashoyo,360 lbs. (163 kg) at 5'11'' (1.80 m),19th March 2005 (16 years ago),,,
13987,Yuki Kotake,,,Yuki Kotake,,12th May 2002 (19 years ago),,,
13991,Yuta Kobayashi,Kanagawa (Japan),5th February 1985 (age 37),DT-YUTA,176 lbs. (80 kg) at 5'7'' (1.70 m),26th September 2007 (14 years ago),,,
13995,Danilo Echevarria,Panama,1938,El Ídolo,,1962,6th August 2009,,
14002,unknown,"Sheffield, South Yorkshire, England (United Kingdom)",,Dani Graves,179 lbs. (81 kg) at 6'0'' (1.83 m),,,,
14003,José del Carmen Castillo Aguilera,Guanajuato (Mexico),16th July 1939,León Negro,,,29th March 2019,,
14004,Katsushi Kogure,Japan,12th October 1982 (age 39),Lambo Miura,170 lbs. (77 kg) at 5'8'' (1.73 m),11th May 2003 (18 years ago),,,
14005,unknown,Mexico,,Cosmos,,,,,
14008,unknown,"Doncaster, South Yorkshire, England (United Kingdom)",,Donny Bull,375 lbs. (170 kg) at 6'6'' (1.98 m),,,,
14009,unknown,United Kingdom,,Druss,,,,,
14011,unknown,United Kingdom,,Liam Dunne,220 lbs. (100 kg) at 5'9'' (1.75 m),,,,
14012,unknown,"Bedworth, Warwickshire, England (United Kingdom)",,Chris Stone,161 lbs. (73 kg) at 5'10'' (1.78 m),2004,,,
14013,unknown,"Linwood, Renfrewshire, Scotland (United Kingdom)",,Stevie Boy,165 lbs. (75 kg) at 5'8'' (1.73 m),20th January 2007 (15 years ago),,,
14014,unknown,"Great Yarmouth, Norfolk, England (United Kingdom)",,Keifer Knowles,266 lbs. (121 kg) at 6'3'' (1.91 m),??th March 2007,,,
14015,unknown,Tamaulipas (Mexico),6th March 1977 (age 45),Bunker,408 lbs. (185 kg) at 6'4'' (1.93 m),??th January 2007,,,
14016,unknown,Ciudad de Panamá (Panama),16th February 1984 (age 38),Panamá Jack Daniels,190 lbs. (86 kg) at 5'10'' (1.78 m),2003,,,
14017,unknown,Canada,1985,Shane O'Ryan,,,,,
14018,unknown,"Vancouver, British Columbia (Canada)",21st September 1988 (age 33),Tom MacDonald,150 lbs. (68 kg) at 5'9'' (1.75 m),,,,
14019,Clarence Valentine McGeary Jr.,"St. Paul, Minnesota (United States of America)",8th August 1926 (age 95),Clink McGeary,,,,,
14020,unknown,"New York City, New York (United States of America)",,Katrina Valentine,140 lbs. (64 kg) at 5'6'' (1.68 m),27th March 2009 (12 years ago),,,
14022,Asuka Ramey,"Kamakura, Kanagawa (Japan)",6th May 1989 (age 32),Ramey Asuka ,132 lbs. (60 kg) at 5'7'' (1.70 m),10th July 2014 (7 years ago),,,
14023,Germain Lortie,"Montréal, Quebec (Canada)",,Bob Lortie,,,,,
14024,Henry Madison,"Springhill, Nova Scotia (Canada)",7th September 1909,Harry Madison,,1933,31st July 1996,6'0'' (1.83 m),
14025,Bob Adessky,"Montréal, Quebec (Canada)",1926,Bob Adessky,219 lbs. (99 kg) at 6'2'' (1.88 m),1946,,,
14027,Alexander Treviño,"Great Falls, Montana (United States of America)",1981,Alexander Treviño,,17th May 2008 (13 years ago),,,155 lbs. (70 kg)
14028,unknown,,18th January ???,Pecky,,,,5'2'' (1.57 m),
14029,unknown,,,Ron McClarity,,,,,
14032,Isaiah Hill,,,Isaiah Hill,,8th April 2006 (15 years ago),,,155 lbs. (70 kg)
14034,Frank Sinz,,,Navajo Frank,,,,,
14035,James Terry,"Kodiak, Alaska (United States of America)",16th March 1980 (age 41),James Terry,155 lbs. (70 kg) at 5'10'' (1.78 m),12th August 2006 (15 years ago),,,
14036,Zak Bucia,United States of America,,Zak Bucia,,27th July 2007 (14 years ago),,,170 lbs. (77 kg)
14038,David Douglas,"Antioch, California (United States of America)",,David Douglas,155 lbs. (70 kg) at 5'11'' (1.80 m),5th March 2005 (17 years ago),,,
14040,Scott Lighty,"San Carlos, California (United States of America)",15th October 1978 (age 43),Scott Lighty,205 lbs. (93 kg) at 6'2'' (1.88 m),17th January 2008 (14 years ago),,,
14041,Armando López,"Guadalajara, Jalisco (Mexico)",1948,Súper Star,,,26th August 2011,,
14042,unknown,,,Blue Bicycle,155 lbs. (70 kg) at 5'5'' (1.65 m),,,,
14043,Yonetaro Tanaka,Kochi (Japan),2nd October 1928 (age 93),Yonetaro Tanaka,220 lbs. (100 kg) at 5'9'' (1.75 m),,,,
14045,unknown,,5th January 1974 (age 48),Baisen TAGAI,,2001,,,
14047,unknown,"Kitakyushu, Fukuoka (Japan)",2nd November 1977 (age 44),Yamada Man Pondo,220 lbs. (100 kg) at 5'8'' (1.73 m),21st October 2008 (13 years ago),,,
14048,Satoshi Kajiwara,"Kawaguchi, Saitama (Japan)",31st July 1988 (age 33),Satoshi Kajiwara,183 lbs. (83 kg) at 5'7'' (1.70 m),14th October 2007 (14 years ago),,,
14049,Hideki Nishida,"Ichihara, Chiba (Japan)",19th December 1964 (age 57),HAYATE,172 lbs. (78 kg) at 5'7'' (1.70 m),21st May 1995 (26 years ago),,,
14050,unknown,Japan,,Karaoke Machine #2,,,,,
14051,Junya Fukumasa,Japan,17th December 1977 (age 44),Phillip J. Fukumasa,,24th November 2000 (21 years ago),,,
