,Real Name,Birthplace,Date of Birth,wrestler_name,Weight and Height,Debut,Date of Death,Height,Weight
11967,Ron Kruck,United States of America,,Ron Kruck,,,,,
11968,Charles Manoogian,,,Ali Adali,,,28th January 1991,,
11969,unknown,,,Ondy Austin ,,,,,
11970,unknown,South Africa,,Piet Slabbart,,,,,
11971,unknown,,,Kevin Conneally,,,2004,,
11972,unknown,,,Mario Matassa,,,,,187 lbs. (85 kg)
11987,unknown,"Cincinnati, Ohio (United States of America)",1977,Nikita Allanov,235 lbs. (107 kg) at 6'1'' (1.85 m),28th May 1998 (23 years ago),,,
11988,LaVerne Clark,"Davenport, Iowa (United States of America)",2nd December 1973 (age 48),LaVerne Clark,170 lbs. (77 kg) at 5'11'' (1.80 m),15th February 1997 (25 years ago),,,
11989,Keita Yano,"Matsubara, Osaka (Japan)",9th January 1988 (age 34),Keita Yano,187 lbs. (85 kg) at 5'11'' (1.80 m),25th February 2007 (15 years ago),,,
11991,Samuel Earl Hoger,"Eagle River, Alaska (United States of America)",28th June 1980 (age 41),Sam Hoger,205 lbs. (93 kg) at 6'2'' (1.88 m),21st June 2003 (18 years ago),,,
11992,Scott Ferrozzo,"Shakopee, Minnesota (United States of America)",26th April 1965 (age 56),Scott Ferrozzo,325 lbs. (147 kg) at 5'11'' (1.80 m),16th February 1996 (26 years ago),,,
11993,William Laska Abbott,Texas (United States of America),11th October 1912,Ace Abbott,194 lbs. (88 kg) at 5'9'' (1.75 m),,19th September 1970,,
11994,Tracy Telligman,"Dallas, Texas (United States of America)",7th February 1965 (age 57),Tra Telligman,235 lbs. (107 kg) at 6'2'' (1.88 m),25th September 1995 (26 years ago),,,
11995,Gust Emil Johnson,Sweden,12th October 1902,Gus Johnson,,1930,8th December 1954,,
11996,Walter Pegac,Austria,,Walter Pegac,,,,,154 lbs. (70 kg)
11997,Leo Ejner Jensen,"Svendborg, Syddanmark (Denmark)",18th February 1912,Leo Jensen,228 lbs. (103 kg) at 5'8'' (1.73 m),,14th July 1978,,
11998,Paul Vernon Orth,"Bowling Green, Ohio (United States of America)",6th January 1907,Paul Orth,187 lbs. (85 kg) at 5'8'' (1.73 m),,30th September 1986,,
11999,unknown,,,Jean Kennedy ,140 lbs. (64 kg) at 5'4'' (1.63 m),,,,
12000,Ventura U. Mendibles,"Tucson, Arizona (United States of America)",31st March 1949,Benny Mendibles,195 lbs. (88 kg) at 5'7'' (1.70 m),8th November 1968 (53 years ago),30th April 2012,,
12001,unknown,Telemark (Norway),,Jonny Puma,185 lbs. (84 kg) at 6'0'' (1.83 m),1981,,,
12002,unknown,"Bærum, Akershus (Norway)",1986,Hans Christian Haandlycken,172 lbs. (78 kg) at 5'9'' (1.75 m),,,,
12003,unknown,Telemark (Norway),1987,Zack Arild,198 lbs. (90 kg) at 5'9'' (1.75 m),,,,
12004,unknown,Praha (Czech Republic),,Josef Vavra,,,,,290 lbs. (132 kg)
12005,unknown,,,Josef Kamaras,,,,,
12006,unknown,,,Kurt Rusterholz,,,,,
12008,unknown,,,Tommy Wright,,,,,
12009,unknown,,,David Manning,,,,,
12010,Dean Hill,Indiana (United States of America),5th January 1954 (age 68),Dean Hill,240 lbs. (109 kg) at 6'6'' (1.98 m),,,,
12012,unknown,"San Antonio, Texas (United States of America)",7th July 1984 (age 37),Joey Spector,190 lbs. (86 kg) at 5'6'' (1.68 m),3rd March 2001 (21 years ago),,,
12013,unknown,,,Eva Lee ,138 lbs. (63 kg) at 5'6'' (1.68 m),,,,
12014,Robert Clayton Bradley,"Dickens, Texas (United States of America)",11th February 1935,Cowboy Bradley,,1954,24th June 2010,,
12015,unknown,Germany,25th July 1980 (age 41),Gerrie Renegade,223 lbs. (101 kg) at 5'11'' (1.80 m),24th March 2008 (13 years ago),,,
12016,unknown,,,Lou Fabiano,275 lbs. (125 kg) at 6'0'' (1.83 m),,,,
12019,unknown,,,Sal Lothario,,,,,
12020,Bao Quach,"Chicago, Illinois (United States of America)",4th September 1979 (age 42),Bao Quach,145 lbs. (66 kg) at 5'5'' (1.65 m),18th February 2001 (21 years ago),,,
12021,unknown,,,Nighthawk,,,,,
12023,Harold Winstanley,"Wigan, Greater Manchester, England (United Kingdom)",19th February 1931,Melwyn Riss,,,??th March 1983,,
12024,unknown,"London, Greater London, England (United Kingdom)",,Billy Stock,,,??th September 2010,,
12025,Seamus Dunleavy,"Charlestown, Mayo (Ireland)",28th November 1934 (age 87),Seamus Donlevy,,1957,,,
12026,unknown,Peru,,Wildcat García,,,,,182 lbs. (83 kg)
12027,Jan Boleslaw Kadlubowski,Russia,7th November 1932,Yuri Borienko,,,10th February 1999,,
12028,unknown,"London, Greater London, England (United Kingdom)",14th May 1929 (age 92),Spencer Churchill,,,,,
12029,Felix Gregor,"Berlin, Berlin (Germany)",25th October 1934 (age 87),Felix Gregor,220 lbs. (100 kg) at 5'11'' (1.80 m),,,,
12030,unknown,,21st March 1945 (age 76),Rick Sánchez,,,,,
12031,unknown,Puerto Rico,,Rain Stain,,,,,
12032,Jan Omar,Puerto Rico,25th October 1988 (age 33),Mr. Pleasure,152 lbs. (69 kg) at 5'6'' (1.68 m),??th September 2006,,,
12033,unknown,United Kingdom,,The Last Ninja,154 lbs. (70 kg) at 5'10'' (1.78 m),,,,
12035,unknown,,,Jonathan Napier,,,,,
12037,Fredrick Mitchell,Russia,15th August 1912,Fred Mitchell,,1927,9th June 2004,,
12038,unknown,"Houston, Texas (United States of America)",1985,Galan Ramírez,196 lbs. (89 kg) at 5'11'' (1.80 m),2005,,,
12039,Matt Hansen,"Norman, Oklahoma (United States of America)",27th August 1974,Michael Faith,370 lbs. (168 kg) at 6'5'' (1.96 m),1999,17th November 2020,,
12040,Jesse Anthony Venegas Sr.,,1931,Jesse Morales,,,29th December 2000,,
12041,Angelo Curto,"Hamilton, Ontario (Canada)",3rd January 1911,Martino Angelo,180 lbs. (82 kg) at 5'6'' (1.68 m),,26th April 1990,,
12042,unknown,,,Franz Solar,,,,,
12043,Gilbert Lee Mains,"Mount Carmel, Illinois (United States of America)",17th December 1929,Gil Mains,,,10th January 2009,,
12044,unknown,"Ocotlán, Jalisco (Mexico)",1st October 1919 (age 102),Jesús Anaya,210 lbs. (95 kg) at 5'11'' (1.80 m),,,,
12045,unknown,"Mönchengladbach, Nordrhein-Westfalen (Germany)",,Matthias Rösges,205 lbs. (93 kg) at 6'2'' (1.88 m),,30th May 1962,,
12046,Johannes Lerche,"Wroclaw, Dolnoslaskie (Poland)",3rd March 1917,Hans Lerche,,,11th June 1971,,
12047,Omer Taverne,,,Paul Taverne,,,,,
