,Real Name,Birthplace,Date of Birth,wrestler_name,Weight and Height,Debut,Date of Death,Weight,Height
21516,Wallace Edward Thompson,"Bluff, Utah (United States of America)",28th November 1905,Wally Thompson,,,8th April 1996,,
21518,Lance Benoist,"St. Louis, Missouri (United States of America)",26th August 1988 (age 33),Lance Benoist,170 lbs. (77 kg) at 5'11'' (1.80 m),30th January 2010 (12 years ago),,,
21519,unknown,,27th October 1938 (age 83),Masayuki Fujii,238 lbs. (108 kg) at 6'2'' (1.88 m),,,,
21520,unknown,,,Jacky Montalier,,,,,
21523,Anabel Jaimes,Mexico,1st June ???,Anabel ,,,,,5'5'' (1.65 m)
21524,Grace Alvarado,Mexico,,Grace ,,,,,
21525,Isabel Cortes,"Medellín, Antioquia (Columbia)",,Isabel Cortes ,,,,,
21526,Laura Schneider,Argentina,,Laura ,,,,,
21527,Lisette Garzón,"Ciudad de México, Ciudad de México (Mexico)",26th January ???,Lisette ,115 lbs. (52 kg) at 5'6'' (1.68 m),,,,
21528,Paloma González,"Buenos Aires, Ciudad Autónoma de Buenos Aires (Argentina)",,Paloma ,,,,,
21529,Erika Canseco,Mexico,4th June 1984 (age 37),Erika ,,,,,
21530,Mery González,Mexico,,Mery ,,,,,
21531,unknown,Mexico,,Paty ,,,,,
21532,unknown,Mexico,,Samantha ,,,,,
21533,Tomas Moreno,"Tlalnepantla de Baz, Estado de México (Mexico)",1973,México Bronco,,1993,,,
21535,unknown,,,Vern Clark,,,,,
21536,Fernando Valverde,"Tepeji del Río de Ocampo, Hidalgo (Mexico)",13th April 1993 (age 28),Ciclón Infernal,154 lbs. (70 kg) at 5'8'' (1.73 m),2009,,,
21537,unknown,,,Al Barr,,,,,
21538,unknown,,,Tito Romero,,,,,
21539,unknown,Puebla (Mexico),,El Bárbaro #2,,,,,
21540,unknown,Puebla (Mexico),,Guerrero de Plata,,,,,
21541,unknown,Puebla (Mexico),,Guerrero de Plata #2,,,,,
21542,unknown,Puebla (Mexico),,Celeste Boy,,,,,
21543,unknown,,,Charley Allen,,,,,
21545,unknown,,,Black Widow,,31st October 2009 (12 years ago),,,5'3'' (1.60 m)
21546,unknown,"Cleveland, Tennessee (United States of America)",,Crystal Fire ,165 lbs. (75 kg) at 5'6'' (1.68 m),??th November 2006,,,
21547,unknown,"Kansas City, Missouri (United States of America)",3rd November 1960,Robbie Rage ,,,28th September 2015,,
21548,Tara Young,"New York City, New York (United States of America)",,Pandora ,115 lbs. (52 kg) at 5'5'' (1.65 m),2004,,,
21550,unknown,"Villahermosa, Tabasco (Mexico)",,Saiko,,,,,
21551,Juan Manuel Frías,Mexico,1980,Demencia,,2006,,,
21552,unknown,Guerrero (Mexico),,El Mercurio,,,,,
21554,unknown,Nuevo León (Mexico),1992,She-Wolf,121 lbs. (55 kg) at 5'3'' (1.60 m),,,,
21555,Harry Armus,"New York City, New York (United States of America)",12th September 1920,Harry Armus,,,9th August 1966,,
21556,William Birse Dryden,"Dundee, Dundee, Scotland (United Kingdom)",24th July 1890,Bill Dryden,,1909,27th May 1971,,
21557,unknown,,,Ned McGuire,,,,,
21558,unknown,"Ciudad de México, Ciudad de México (Mexico)",25th January 1992 (age 30),Kill Korton,222 lbs. (101 kg) at 6'2'' (1.88 m),18th May 2007 (14 years ago),,,
21559,Duane Allen,"Alhambra, California (United States of America)",21st October 1937,Duane Allen,,,7th May 2003,,
21560,Carson Beebe,"Schaumburg, Illinois (United States of America)",13th August 1988 (age 33),Carson Beebe,135 lbs. (61 kg) at 5'7'' (1.70 m),12th March 2010 (12 years ago),,,
21562,Bryson Wailehua-Hansen,"Honolulu, Hawaii (United States of America)",19th April 1986 (age 35),Bryson Hansen,,1st December 2007 (14 years ago),,135 lbs. (61 kg),
21565,unknown,,28th May 1981 (age 40),Bruce Ferguson,146 lbs. (66 kg) at 5'5'' (1.65 m),,,,
21567,Roland Delorme,"Winnipeg, Manitoba (Canada)",18th December 1983 (age 38),Roland Delorme,135 lbs. (61 kg) at 5'9'' (1.75 m),12th September 2008 (13 years ago),,,
21575,Dustin Neace,"Franklin, Indiana (United States of America)",12th September 1986 (age 35),Dustin Neace,145 lbs. (66 kg) at 5'9'' (1.75 m),29th April 2006 (15 years ago),,,
21578,Stephen Bass,"Shreveport, Louisiana (United States of America)",14th November 1982 (age 39),Stephen Bass,145 lbs. (66 kg) at 5'9'' (1.75 m),27th January 2007 (15 years ago),,,
21579,unknown,,,Bobby Sampson,,,,,
21580,unknown,,,Art Perkins,,,,,
21581,unknown,,,John Felix,,,,,
21582,unknown,"Malmö, Skåne (Sweden)",,Killer Karlson,203 lbs. (92 kg) at 6'3'' (1.91 m),,,,
21584,Jason Garvin,"Louisville, Kentucky (United States of America)",28th October 1970 (age 51),Apollo,,,,,
21586,Rodolfo Marques Diniz,"Resende, Río de Janeiro (Brazil)",23rd January 1984 (age 38),Rodolfo Marques Diniz,135 lbs. (61 kg) at 5'6'' (1.68 m),9th February 2006 (16 years ago),,,
21587,Yusup Saadulaev,Dagestan (Russia),31st March 1985 (age 36),Yusup Saadulaev,135 lbs. (61 kg) at 5'6'' (1.68 m),10th September 2008 (13 years ago),,,
21588,Yan Cabral,"Río de Janeiro, Río de Janeiro (Brazil)",13th May 1983 (age 38),Yan Cabral,170 lbs. (77 kg) at 5'11'' (1.80 m),22nd December 2007 (14 years ago),,,
21589,unknown,Canada,,Charles Moth,,,,,
21590,William R. Beth,,,Bill Beth,,,,,
21591,Wallace Anderson Allred,"Lewiston, Utah (United States of America)",13th December 1884,Wallace Allred,,,17th July 1958,,
21592,John Fuller,"Manitowoc, Wisconsin (United States of America)",2nd November 1924,Bud Fuller,,,9th December 1985,,
21593,Justin Turner,"Louisville, Kentucky (United States of America)",6th May ???,Jay Bly,193 lbs. (88 kg) at 5'11'' (1.80 m),,,,
21594,unknown,"Charleston, West Virginia (United States of America)",6th October ???,Ryan Edmonds,234 lbs. (106 kg) at 6'3'' (1.91 m),,,,
21595,unknown,,,Eddie Edmonds,,,,,
21596,Frank Caraballo,"Cleveland, Ohio (United States of America)",18th December 1984 (age 37),Frank Caraballo,145 lbs. (66 kg) at 5'8'' (1.73 m),23rd August 2008 (13 years ago),,,
21598,unknown,Estado de México (Mexico),,Seiki,,,,,
21599,unknown,"Ciudad de México, Ciudad de México (Mexico)",27th April 1993 (age 28),El Tornado,,,,,
21600,unknown,Mexico,1986,Dentaurum,,,,,
21602,unknown,"Jeffersonville, Indiana (United States of America)",,Daniel Quinn,,,,,
21604,unknown,Estado de México (Mexico),,Jimmy Madrid,,,,,
21605,unknown,Estado de México (Mexico),,Rey Carnero,,,,,
21606,unknown,Estado de México (Mexico),,Rey Carnero Jr.,,,,,
21607,unknown,Estado de México (Mexico),,Corazón Diabólico #2,,,,,
21608,unknown,Estado de México (Mexico),,Destructor Alfa,,,,,
21609,unknown,Hidalgo (Mexico),,El Capo,,,,,
21610,unknown,Hidalgo (Mexico),,Príncipe Gladiador,,,,,
21613,unknown,Peru,,Ian Muhlig,176 lbs. (80 kg) at 5'8'' (1.73 m),,,,
21614,unknown,Peru,,TVK,159 lbs. (72 kg) at 5'8'' (1.73 m),,,,
21615,unknown,Región de El Callao (Peru),30th December 1984 (age 37),Dr. Veneno,170 lbs. (77 kg) at 5'8'' (1.73 m),2008,,,
21616,unknown,Peru,,Trash,139 lbs. (63 kg) at 5'5'' (1.65 m),,,,
21617,unknown,Peru,,Dorian,,,,,
21618,unknown,Peru,27th September 1982 (age 39),El Rey del Aire,150 lbs. (68 kg) at 5'4'' (1.63 m),2002,,,
21619,unknown,"Quito, Pichincha (Ecuador)",25th March 1981 (age 40),Hades,176 lbs. (80 kg) at 5'10'' (1.78 m),24th March 2007 (14 years ago),,,
21620,unknown,"Lima, Región de Lima (Peru)",3rd May 1984 (age 37),Caoz,181 lbs. (82 kg) at 5'10'' (1.78 m),??th October 2003,,,
21621,unknown,Peru,,Apocalipsis,205 lbs. (93 kg) at 5'9'' (1.75 m),,,,
21622,Carlos Héctor Román Ruíz,Peru,,AXL,165 lbs. (75 kg) at 5'10'' (1.78 m),,,,
21623,unknown,Peru,,DaVinci,185 lbs. (84 kg) at 5'11'' (1.80 m),,,,
21624,unknown,Peru,,Número Tres,,,,,
21626,unknown,,,George OBrien,,,,,
21628,Mileo M. Occhi,,16th October 1905,Milo Oechi,,,8th August 1990,,
21629,unknown,San Juan (Puerto Rico),15th December 1988 (age 33),Aleida Ortiz ,,27th September 2011 (10 years ago),,,5'5'' (1.65 m)
21630,unknown,Peru,,Kaiser,196 lbs. (89 kg) at 5'8'' (1.73 m),,,,
21631,unknown,Peru,,El Nene,165 lbs. (75 kg) at 5'10'' (1.78 m),,,,
21632,Flavio Morán Cárdenas,Peru,,Íkaro,176 lbs. (80 kg) at 5'9'' (1.75 m),,,,
21633,unknown,Peru,,Necrómano,231 lbs. (105 kg) at 5'10'' (1.78 m),,,,
21634,unknown,Peru,,Slayer,209 lbs. (95 kg) at 5'11'' (1.80 m),,,,
21635,Franco Palomino,Peru,9th January 1984 (age 38),Metal Wolf,220 lbs. (100 kg) at 5'9'' (1.75 m),5th April 2008 (13 years ago),,,
21636,unknown,Puebla (Mexico),,Tigre Colosal,,,,,
21637,unknown,"Dundalk, Louth (Ireland)",,Tristan J. Charles,182 lbs. (83 kg) at 5'11'' (1.80 m),,,,
21638,Joseph B. Johnson,,,Vladimir Markoff,233 lbs. (106 kg) at 5'10'' (1.78 m),,,,
21639,unknown,Ecuador,,King KO,220 lbs. (100 kg) at 6'2'' (1.88 m),,,,
21640,unknown,,,Gilberto Roman,,,,,
21643,Harry E. McKinley,,21st December 1898,Soldier Mack,,,22nd January 1951,,
21644,unknown,,,Jim Arnone,,,,,
21645,unknown,,,Judge Dread,334 lbs. (152 kg) at 6'6'' (1.98 m),,,,
21646,unknown,Mexico,,Máscara Brillante,,,,,
21647,unknown,Mexico,,Guerrero Nocturno,,,,,
21653,Michael Bernard,,,Freight Train Fulton,265 lbs. (120 kg) at 6'2'' (1.88 m),1990,,,
21655,unknown,Manitoba (Canada),13th April 1982 (age 39),Son of Syko,,,,,
21656,Miguel B. Mosqueda,Mexico,30th August 1909,Miguel Mosqueda,,,7th January 1987,,
21657,unknown,,,Bullman Downs,255 lbs. (116 kg) at 6'2'' (1.88 m),1987,,,
21659,unknown,,,Remi Wilkins,,,,,
21663,unknown,,,Damian Knight,250 lbs. (113 kg) at 6'0'' (1.83 m),,,,
21664,Joseph Sandoval,"Amarillo, Texas (United States of America)",11th May 1986 (age 35),Joseph Sandoval,135 lbs. (61 kg) at 5'7'' (1.70 m),24th April 2010 (11 years ago),,,
21665,John Stuebner,"Mohnton, Pennsylvania (United States of America)",30th October 1967 (age 54),Dr. Johnny Wildside,290 lbs. (132 kg) at 6'5'' (1.96 m),,,,
21668,unknown,,,Deadly Dutchman,256 lbs. (116 kg) at 6'2'' (1.88 m),,,,
21670,unknown,,,Ed Robinson,230 lbs. (104 kg) at 5'11'' (1.80 m),,,,
21672,unknown,,,Cameron Cross,,,,,
21673,unknown,"Winnipeg, Manitoba (Canada)",,Jackie Lee,,,,,
21674,unknown,,,Lou Nenick,,,,,
21675,Byron Bloodworth,"Lynchburg, Virginia (United States of America)",,Byron Bloodworth,135 lbs. (61 kg) at 5'9'' (1.75 m),11th October 2008 (13 years ago),,,
21677,Wesley Eugene Wilson,Arizona (United States of America),13th September 1963,BA Dalton,,,3rd December 2020,,
21678,John Paul Obiorah Okeke,Obung (Nigeria),,Big John Paul,210 lbs. (95 kg) at 5'11'' (1.80 m),1992,,,
21679,unknown,,,Iron Fine Face,,,,,
21682,Sunday Oluwayemi,Aye (Okitipupa) (Nigeria),5th June 1957 (age 64),Sunny Wonder,,??th April 1985,,,
21684,unknown,"Rochester, New York (United States of America)",,Rob Sweet,185 lbs. (84 kg) at 5'8'' (1.73 m),,,,
21685,unknown,United States of America,,Nick Ando,206 lbs. (93 kg) at 5'9'' (1.75 m),,,,
21688,unknown,Indiana (United States of America),3rd November ???,Nate Phoenix,180 lbs. (82 kg) at 5'11'' (1.80 m),,,,
21689,Desiree Snow,"Stockholm, Stockholms (Sweden)",,Maya Svensson ,134 lbs. (61 kg) at 5'5'' (1.65 m),??th March 2008,,,
21690,Diego de Paz,Mexico,,Earth Dragon,,2009,,,
21693,unknown,,,Dark Justice,221 lbs. (100 kg) at 6'2'' (1.88 m),14th March 1998 (24 years ago),,,
21697,Ken Brewer Jr.,,1971,Bad Bubba Brewer,315 lbs. (143 kg) at 6'3'' (1.91 m),1997,,,
21698,unknown,,,Steve Stampede,255 lbs. (116 kg) at 6'6'' (1.98 m),,,,
21701,unknown,Mexico,,Bongo Jr.,,,,,
21702,unknown,Puebla (Mexico),,Steel Boy,,,,,
21704,unknown,,,Veronika Valentine,,,,,
21708,unknown,"Somerset, Kentucky (United States of America)",,Stan Sierra,265 lbs. (120 kg) at 6'5'' (1.96 m),,,,
21709,Masayuki Era,Oita (Japan),6th March 1924 (age 98),Tamanokawa,227 lbs. (103 kg) at 5'10'' (1.78 m),1955,,,
21714,unknown,Kanagawa (Japan),15th January 1930 (age 92),Takeo Kaneko,220 lbs. (100 kg) at 5'8'' (1.73 m),,,,
21716,Ralph Orlo Bartleman,"Juneau, Alaska (United States of America)",1930,Ralph Bartleman,,1954,23rd January 2012,,
21717,unknown,,,Billy Trout,,,,,
21718,unknown,,,Joe Kelcey,,,,,
21719,unknown,,,Aldo Venturi,,,,,
21720,unknown,,,Bobby Wagner,,,,,
21721,unknown,"Moody, Texas (United States of America)",18th May 1984 (age 37),Lillie Mae ,140 lbs. (64 kg) at 5'5'' (1.65 m),25th October 2008 (13 years ago),,,
21722,unknown,United Kingdom,,Jason Logan,,,,,
21723,Ralph Sylvester Cavanaugh,,27th November 1929,Ralph Cavanaugh,,,6th June 2011,,
21724,Walter Hewak,"Winnipeg, Manitoba (Canada)",25th November 1933,Wally Hewack,,,16th July 2010,,
21725,unknown,,,Tina Cole,,,,,
21726,Gene Wapiennik,,,Gino Rocco,,,,,
21727,unknown,,,Chuck Bruce,,,,,
21728,Joseph Alfred Anderson,"Sac City, Iowa (United States of America)",14th September 1889,Joe Anderson,,,17th September 1969,,
21729,unknown,Iowa (United States of America),,Guy Elliott,,,11th July 1957,,
21730,Henry John Bock,Missouri (United States of America),14th November 1898,Henry Bock,,,??th March 1967,,
21731,unknown,,,Rhys Greenaway,,,,,
21732,unknown,,,Rarebreed,,,,,
21733,Frederick Henry Bigler,"Gypsum, Texas (United States of America)",5th August 1885,Fred Bigler,,,7th December 1968,,
21734,unknown,Iowa (United States of America),29th July 1987 (age 34),Angela DeBella ,110 lbs. (50 kg) at 5'2'' (1.57 m),,,,
21735,unknown,Mexico,,Estrella Blanca Jr. #1,,,,,
21736,unknown,Mexico,,Estrella Blanca Jr. #2,,,,,
21737,unknown,,,Ralph Alexander,,,,,
21738,unknown,,,Tom Drennan,,,,,
21739,unknown,,,Bob Corby,,,,175 lbs. (79 kg),
21740,unknown,,,Ivan Jones,,,,,
21741,unknown,"Edmonton, Alberta (Canada)",,Allen Hope,,,,185 lbs. (84 kg),
21742,unknown,"Salamanca, Guanajuato (Mexico)",19th October 1990 (age 31),La Chica Yeyé,143 lbs. (65 kg) at 5'9'' (1.75 m),??th July 2007,,,
21743,Carlos González,Mexico,,Coliseo Dos Mil,,14th September 1986 (35 years ago),21st September 2011,,5'7'' (1.70 m)
21744,unknown,"Fort Worth, Texas (United States of America)",,Kevin Douglas,187 lbs. (85 kg) at 5'9'' (1.75 m),1999,,,
21745,Myriam Desgagné,Quebec (Canada),28th September ???,Angie Skye ,140 lbs. (64 kg) at 5'4'' (1.63 m),2008,,,
21747,Wilhelm Urbach,"Köln, Nordrhein-Westfalen (Germany)",1882,Willy Urbach,,,1933,,
21748,Billy Wayne Hamilton,"Gulfport, Mississippi (United States of America)",13th February 1940,Billy Hamilton,,,26th September 2011,,
21750,George Richards,"Toronto, Ontario (Canada)",1914,George Richards,215 lbs. (98 kg) at 6'1'' (1.85 m),,XXXX,,
21751,Thomas Stafford Doctor,"Belleville, Kansas (United States of America)",7th February 1885,Tommy Doctor,,,31st December 1942,,
21752,unknown,,,John Fulton,,,,,
21753,Pat Garrison,"Pocahontas, Arkansas (United States of America)",3rd February 1908,Pat Garrison,,,1st December 1938,,
21754,unknown,,,Dan Cady,,,,,
21755,John Shoop,"Racine, Wisconsin (United States of America)",25th December 1906,Arthur Von Saxon,220 lbs. (100 kg) at 5'11'' (1.80 m),,10th March 1970,,
21756,Wally Rusk,Wyoming (United States of America),22nd September 1907,Wally Rusk,,,30th November 1976,,
21758,unknown,"Wollongong, New South Wales (Australia)",,Ben Coles,216 lbs. (98 kg) at 5'11'' (1.80 m),,,,
21759,unknown,Australia,,Traffic,289 lbs. (131 kg) at 5'10'' (1.78 m),,,,
21760,unknown,Australia,,El Technico,215 lbs. (98 kg) at 5'11'' (1.80 m),,,,
21761,unknown,,,Grayson Vox,,,,,
21762,unknown,Australia,,Gladiator Apollo,231 lbs. (105 kg) at 6'1'' (1.85 m),,,,
21763,unknown,"Hobart, Tasmania (Australia)",,Jack Tasman,205 lbs. (93 kg) at 6'2'' (1.88 m),,,,
21764,unknown,,,Samoan Warrior,243 lbs. (110 kg) at 6'0'' (1.83 m),,,,
21766,unknown,"Adelaide, South Australia (Australia)",,Wayne Mattei,278 lbs. (126 kg) at 6'3'' (1.91 m),,,,
21767,unknown,Australia,,Frankie Fettucini,209 lbs. (95 kg) at 6'0'' (1.83 m),,,,
21768,unknown,Australia,,DJ Fusion,168 lbs. (76 kg) at 5'11'' (1.80 m),,,,
21769,unknown,Australia,,Paul Galic,174 lbs. (79 kg) at 6'0'' (1.83 m),,,,
21770,unknown,Ireland,,Freddie Falco,187 lbs. (85 kg) at 6'0'' (1.83 m),,,,
21771,unknown,"Newcastle, New South Wales (Australia)",,Grant Lindstrom,181 lbs. (82 kg) at 5'10'' (1.78 m),,,,
21772,unknown,Australia,,Anubis,187 lbs. (85 kg) at 5'11'' (1.80 m),,,,
21773,unknown,Australia,,Diego del Fuego,159 lbs. (72 kg) at 5'6'' (1.68 m),,,,
21774,unknown,"Wodonga, Victoria (Australia)",,Shanesaw,165 lbs. (75 kg) at 5'10'' (1.78 m),,,,
21775,unknown,"Perth, Western Australia (Australia)",,Percy T,192 lbs. (87 kg) at 6'2'' (1.88 m),,,,
21776,unknown,Australia,,Selene ,,,,,5'6'' (1.68 m)
21777,unknown,"Newcastle, New South Wales (Australia)",,Rachel Rose ,117 lbs. (53 kg) at 5'7'' (1.70 m),,,,
21778,unknown,Australia,,Pamela Cooper,99 lbs. (45 kg) at 5'6'' (1.68 m),,,,
21779,unknown,"Sydney, New South Wales (Australia)",,Mighty Mel ,,,,,5'5'' (1.65 m)
21780,unknown,"Warwick, Queensland (Australia)",,Sara Jay ,99 lbs. (45 kg) at 5'0'' (1.52 m),,,,
21781,unknown,Australia,,Aurora ,,,,,5'5'' (1.65 m)
21782,unknown,Australia,,Mikki Murdock,,,,,
21783,unknown,New South Wales (Australia),,Spaceboy Dacey,223 lbs. (101 kg) at 6'2'' (1.88 m),,,,
21784,unknown,,,Larry Clark,,,,,
21785,unknown,"Sydney, New South Wales (Australia)",,Mick Moretti,187 lbs. (85 kg) at 5'11'' (1.80 m),,,,
21786,unknown,United Kingdom,16th April 1992 (age 29),Kirsty Love ,,,,,
21787,Waverly Edwin Blanks,"Hopewell, Virginia (United States of America)",19th April 1910,Eddie Blanks,,1929,18th November 1995,185 lbs. (84 kg),
21788,Elmer Francis Garrigan,"Alameda, California (United States of America)",18th October 1909,Elmer Garrigan,160 lbs. (73 kg) at 5'7'' (1.70 m),15th February 1934 (88 years ago),12th April 1949,,
21789,Clarence E. Bouldin,,7th October 1873,Clarence Bouldin,,,1st September 1967,,
21790,unknown,,,Carl Mattson,,,,,
21791,unknown,,,Jim McAuley,,,,,
21792,unknown,,,Jack Haley,,,,140 lbs. (64 kg),
21793,unknown,,,Sam Anderson,,,,,
21794,unknown,,,Tom Duchesne,,,,,
21795,Egnatios Pete Hantakas,Mytilini (Greece),15th September 1886,Peter James,,,9th March 1958,,5'6'' (1.68 m)
21796,unknown,"Willisburg, Kentucky (United States of America)",,Mistress Burgandi ,,,,,
21797,Michael Read,"Covington, Kentucky (United States of America)",,Zodiak,271 lbs. (123 kg) at 6'2'' (1.88 m),,,,
21798,unknown,,,Pippi ,,,,,
21799,unknown,,24th September 1984 (age 37),Kyle Kraven,,,,,
21800,Carlmichael Somaini,"Spartanburg, South Carolina (United States of America)",21st March 1951,Mike Somaini,215 lbs. (98 kg) at 5'9'' (1.75 m),,22nd August 2020,,
21801,unknown,,,Mark Hawk,,,,,
21802,Daniel Lewis,"Trenton, Michigan (United States of America)",4th October 1986 (age 35),Bill Martel,201 lbs. (91 kg) at 5'11'' (1.80 m),1st July 2007 (14 years ago),,,
21803,unknown,,,Ernie Pirron,,,,,
21804,unknown,Mexico,,Mr. Lancer,,,,,
21805,unknown,Mexico,,Mr. Tempest,,,,,
21806,unknown,Mexico,,Marcos Alcala,,,,,
21807,unknown,Mexico,,Mario Alcala,,,,,
21808,Orval Lee McCain,"Coweta, Oklahoma (United States of America)",8th March 1905,Preacher McCain,,,4th April 1947,,5'8'' (1.73 m)
21810,unknown,"Oakland, California (United States of America)",5th April 1898,Leo Hyatt,215 lbs. (98 kg) at 6'0'' (1.83 m),,??th September 1976,,
21811,unknown,Mexico,,Cinta Negra,,,,,
21812,Martín Sánchez,Mexico,1946,Bestia Negra,,,,,
21813,unknown,,,Vic Rancourt,,,,,
21814,unknown,Australia,,Benjy the Clown,308 lbs. (140 kg) at 6'5'' (1.96 m),2009,,,
21816,unknown,,,Marinero Acosta,,,,,
21817,John Siejack,,,Jack Siejack,,,,,
21818,unknown,,,Mel Sperry,,,,,
21819,unknown,Belgium,,Johnny Nelis,,,,,
21820,Jack Ubel,,,Jack Ubel,,,,,
21821,unknown,,,Frank Topaze,,,,,
21822,unknown,,,Tiger Miller,,,,,
21823,Anton Peterson,,1889,Buck Olson,,,XXXX,,
21824,unknown,,,George Deck,,,,,
21825,unknown,,,Pat Hovde,,,,,
21826,unknown,Mexico,1983,Kiara,,,,,
21827,unknown,Puebla (Mexico),20th July 1976 (age 45),King Vikingo,,12th December 1994 (27 years ago),,,
21829,unknown,"Stanton, Kentucky (United States of America)",10th June 1981 (age 40),JR Roc,210 lbs. (95 kg) at 6'4'' (1.93 m),??th August 2000,,,
21830,unknown,,,Chief Iron Bear,,,,,
21831,unknown,,,Jeff Crowe,,,,,
21832,unknown,"Davenport, Iowa (United States of America)",15th January 1982 (age 40),Ed Gonzáles,,,,,
21833,unknown,"Cincinnati, Ohio (United States of America)",3rd December 1983 (age 38),Heather Owens ,145 lbs. (66 kg) at 5'4'' (1.63 m),30th December 2005 (16 years ago),,,
21834,John Strange,"Irvine, Kentucky (United States of America)",20th June 1982 (age 39),John Strange,,,,,
21835,James Edward Chadwick,"Stanton, Kentucky (United States of America)",11th December 1958,Jim Chadwick,,,25th October 2013,,
21836,unknown,"Ciudad de México, Ciudad de México (Mexico)",,El Hombre sin Rostro,,,,,
21837,unknown,"Sydney, New South Wales (Australia)",,Baby Devine ,99 lbs. (45 kg) at 5'1'' (1.55 m),,,,
21838,unknown,Northern Territory (Australia),,Sir Loin,414 lbs. (188 kg) at 6'6'' (1.98 m),,,,
21839,unknown,New Zealand,5th June ???,Tama Williams,205 lbs. (93 kg) at 6'1'' (1.85 m),,,,
21840,unknown,Australia,,Masked Musa,187 lbs. (85 kg) at 5'10'' (1.78 m),,,,
21841,unknown,,,Mike Bond,,,,,
21842,James E. Owens,,,James Owens,185 lbs. (84 kg) at 5'8'' (1.73 m),,24th December 1880,,
21843,unknown,"Brisbane, Queensland (Australia)",,Minx,170 lbs. (77 kg) at 5'11'' (1.80 m),,,,
21845,unknown,,3rd May 1987 (age 34),Angelus Layne ,,,,,
21846,unknown,,,Gloria Adams,,,,,
21847,unknown,,,Jerry Usher,,,,,
21848,Carlos Eduardo Mendoza,"Chihuahua, Chihuahua (Mexico)",19th August 1993 (age 28),Doña Tencha,,,,,
21849,unknown,Chihuahua (Mexico),,Rapper Starr,,,,,
21850,unknown,Chihuahua (Mexico),,Peso,143 lbs. (65 kg) at 5'9'' (1.75 m),16th September 2008 (13 years ago),,,
21851,unknown,Chihuahua (Mexico),,Necropsia,265 lbs. (120 kg) at 5'1'' (1.55 m),16th September 2002 (19 years ago),,,
21852,unknown,Chihuahua (Mexico),,Al Rojo Vívo Jr.,,,,,
21853,unknown,Chihuahua (Mexico),,Mysterio,176 lbs. (80 kg) at 5'9'' (1.75 m),2008,,,
21854,unknown,Chihuahua (Mexico),,Nebula,254 lbs. (115 kg) at 5'11'' (1.80 m),22nd June 2002 (19 years ago),,,
21855,unknown,Chihuahua (Mexico),19th December ???,Bonna Morte,,,,,
21856,Jeff Katz,"Franklin, Michigan (United States of America)",1979,Jeff Katz,,,,,5'9'' (1.75 m)
21858,Norbert McDonald,,6th August 1927,Knobby McDonald,,,9th December 2013,,
21859,unknown,Australia,,Ahmed Iblis,214 lbs. (97 kg) at 6'0'' (1.83 m),2004,,,
21860,unknown,Australia,,Ash Riot,,,,,
21861,unknown,"Sydney, New South Wales (Australia)",,Brian Seeker,185 lbs. (84 kg) at 5'9'' (1.75 m),2009,,,
21862,unknown,New South Wales (Australia),,Dane Sinclair,198 lbs. (90 kg) at 6'0'' (1.83 m),2010,,,
21863,unknown,"Newcastle, New South Wales (Australia)",,Gene Kelly,205 lbs. (93 kg) at 6'1'' (1.85 m),2007,,,
21864,unknown,,15th April 1987 (age 34),Jenny Star,130 lbs. (59 kg) at 5'0'' (1.52 m),??th October 2005,,,
21865,unknown,"Sydney, New South Wales (Australia)",,Jack Bonza,238 lbs. (108 kg) at 5'11'' (1.80 m),??th January 2007,,,
21866,unknown,"Canberra, Australian Capital Territory (Australia)",,El Jaguar,200 lbs. (91 kg) at 5'11'' (1.80 m),2005,,,
21867,unknown,"Newcastle, New South Wales (Australia)",,Mat Diamond,143 lbs. (65 kg) at 5'8'' (1.73 m),2007,,,
21869,unknown,Australia,,Matt Bailey,265 lbs. (120 kg) at 6'4'' (1.93 m),??th February 2010,,,
21870,unknown,"Sydney, New South Wales (Australia)",,MH Cydell,143 lbs. (65 kg) at 5'5'' (1.65 m),2006,,,
21871,unknown,"Canberra, Australian Capital Territory (Australia)",,Mikey Broderick,216 lbs. (98 kg) at 6'0'' (1.83 m),,,,
21872,unknown,"Sydney, New South Wales (Australia)",,Caveman Ugg,,,,,
21873,unknown,"Sydney, New South Wales (Australia)",,Sean O'Shea,198 lbs. (90 kg) at 5'11'' (1.80 m),,,,
21874,unknown,Australia,,Sean Kustom,179 lbs. (81 kg) at 5'11'' (1.80 m),2010,,,
21875,unknown,"Glasgow, Glasgow, Scotland (United Kingdom)",,Lewis Girvan,176 lbs. (80 kg) at 5'10'' (1.78 m),2009,,,
21877,unknown,"Adelaide, South Australia (Australia)",11th April ???,Savannah Summers ,126 lbs. (57 kg) at 5'4'' (1.63 m),2007,,,
21878,Dowie James,Australia,,Dowie James,,,,,
21880,unknown,,,Leroy Parks,310 lbs. (141 kg) at 6'3'' (1.91 m),,,,
21882,Fernando Osés Fernández,"Valladolid, Castilla y León (Spain)",6th August 1922,Fernando Osés,,,2nd May 1999,,
21885,Courtney Edward Montgomery,"Chatham, Virginia (United States of America)",14th November 1988 (age 33),Court Montgomery,,,,,
21886,Ben Muth,"Phoenix, Arizona (United States of America)",17th July 1985 (age 36),Brick Shithouse,298 lbs. (135 kg) at 6'6'' (1.98 m),,,,
21887,Trisha LaFache,,,Aphrodite ,,,,,
