,Real Name,Birthplace,Date of Birth,wrestler_name,Weight and Height,Debut,Date of Death,Weight,Height
24027,Robert Clyde Nelson,"Knoxville, Tennessee (United States of America)",1st August 1913,Lardy Nelson,205 lbs. (93 kg) at 5'8'' (1.73 m),,8th October 1961,,
24028,unknown,,,Ken Cooper,,,,,
24029,Sylvia Marie Puckett Clarke,North Carolina (United States of America),18th October 1936,Marie Darnell ,,,25th August 2015,,
24030,unknown,,,Luis García,,,,,
24031,unknown,,,Roger Mitchell,,,,,
24032,John Michael Hendrich,,26th January 1954,Mike Hendrick,,,2nd November 2016,,
24033,unknown,,,Mike McGraw,,,,,
24034,Terry Floyd Emerson,,,Pretty Boy Floyd,,,,,
24035,Henry Herbert Heggie,Tennessee (United States of America),4th May 1940,Steve Hagen,,,30th March 2021,,
24036,unknown,,,Tex Brady,,,,,
24037,Anthony LaDue,,,Tony LaDue,,,,,
24039,Daniel Pinol,"Santiago de Chile, Región Metropolitana de Santiago (Chile)",19th May 1990 (age 31),Arkano,132 lbs. (60 kg) at 5'6'' (1.68 m),28th October 2004 (17 years ago),,,
24041,unknown,,,Black Cougar,,,,,
24042,unknown,Tamaulipas (Mexico),8th August 1972 (age 49),Black Cougar Jr.,,1994,,,
24043,Gerardo Arturo Calderón Morales,Tamaulipas (Mexico),15th December 1982 (age 39),El Ángel Azul,222 lbs. (101 kg) at 5'9'' (1.75 m),5th October 1997 (24 years ago),,,
24045,unknown,Guerrero (Mexico),,Kaisser,,,,,
24046,unknown,Guerrero (Mexico),,Dark Night,,,,,
24048,Clifford S. Lilly,,,Cliff Lilly,,,,,
24049,Ema Huevo,"Monterrey, Nuevo León (Mexico)",23rd September ???,Ema Huevo,,3rd June 2012 (9 years ago),,,
24050,unknown,,,Cadillac Caliss,,,,,
24051,unknown,,,Annie Richards ,,,,,
24052,unknown,,,WildCard,,,,,
24053,unknown,"Richmond, Virginia (United States of America)",,Exile,285 lbs. (129 kg) at 6'4'' (1.93 m),6th December 2003 (18 years ago),,,
24054,unknown,,,Calibur X,,,,,
24055,unknown,,,Damon James,,,,,
24056,unknown,,,Dave Turner,,,,,
24057,unknown,,,Chase Helms,,,,,
24058,unknown,"Philadelphia, Pennsylvania (United States of America)",1985,Jason Gotti,280 lbs. (127 kg) at 6'0'' (1.83 m),21st September 2002 (19 years ago),,,
24059,unknown,,,Johnny Wilhoit,,,,,
24060,Aleksander Peterson,Tallinn (Estonia),2nd February 1900,Alexander Peterson,,,19th October 1959,,
24061,unknown,,,Karl Pohlfuß,,,,,
24062,unknown,,,Otto Senn,,,,,
24063,unknown,,,Peter Landau,,,,,
24064,unknown,,,Armas Vichtonen,,,,,
24065,unknown,,,Konstantin Angelescu,,,,,
24066,unknown,,,Josef Tasnady,,,,,
24067,unknown,,,Hans Lindmaier,,,,,
24068,unknown,,,Ladislaus Kovarik,,,,,
24069,unknown,,,Albert Strouhal,,,,,
24070,unknown,,,Albert Raago,,,,,
24071,unknown,,,Joschi Stefanovic,,,,,
24072,unknown,,,Bruno Weinert,,,,,
24073,unknown,,,Fritz Wöller,,,,,
24074,unknown,,,Helmut Döring,,,,,
24075,unknown,,,Bela Nagy,,,,,
24076,unknown,,,Lajos Nagy,,,,,
24077,unknown,,,Sandor Nagy,,,,,
24078,unknown,France,,Michel Chaisne,198 lbs. (90 kg) at 6'0'' (1.83 m),,,,
