,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Height,Weight
2698,unknown,,"Livonia, Michigan (United States of America)",1984,,Sonny Scarboni,,,
2699,unknown,,"Livonia, Michigan (United States of America)",1986,,Vinnie Scarboni,,,
2702,unknown,230 lbs. (104 kg) at 6'0'' (1.83 m),"Austin, Texas (United States of America)",,2000,Dawg Cheetum,,,
2709,unknown,175 lbs. (79 kg) at 5'7'' (1.70 m),,,,Perry Greene,,,
2713,unknown,198 lbs. (90 kg) at 5'9'' (1.75 m),"Leeds, West Yorkshire, England (United Kingdom)",,,Cyril Knowles-Peters,,,
2717,unknown,190 lbs. (86 kg) at 5'11'' (1.80 m),"Omaha, Nebraska (United States of America)",,,Hype Gotti,,,
2718,Ken'ichi Oya,231 lbs. (105 kg) at 6'1'' (1.85 m),"Kanazawa, Ishikawa (Japan)",2nd July 1964 (age 57),20th April 1986 (35 years ago),Hisakatsu Oya,,,
2719,unknown,190 lbs. (86 kg) at 5'7'' (1.70 m),"Boston, Massachusetts (United States of America)",,1988,Michael Todd Stratton,,,
2720,unknown,166 lbs. (75 kg) at 5'6'' (1.68 m),"Lafayette, Indiana (United States of America)",1981,1999,Billy Roc,,,
2721,unknown,253 lbs. (115 kg) at 6'1'' (1.85 m),,,1998,Sean Allen,,,
2722,Alex Gibson,230 lbs. (104 kg) at 6'0'' (1.83 m),"Miami, Florida (United States of America)",,1987,Alex G,,,
2729,John Richmond,,,,,Eli the Eliminator,,,
2730,unknown,,,,,Sam DeCero,,,
2731,unknown,400 lbs. (181 kg) at 6'4'' (1.93 m),"Cranbrook, British Columbia (Canada)",,15th January 1997 (25 years ago),Juggernaut,,,
2734,unknown,,United States of America,23rd February 1987 (age 35),2004,American Balloon,,,
2736,Matthias Treu,187 lbs. (85 kg) at 6'3'' (1.91 m),Baden-Württemberg (Germany),,,Mr. Fantastic,,,
2737,Marco Zercher,195 lbs. (88 kg) at 6'0'' (1.83 m),"Mannheim, Baden-Württemberg (Germany)",5th April 1989 (age 32),25th September 2004 (17 years ago),Marco Zercher,,,
2743,unknown,,"Paris, Île-de-France (France)",,,Gabrielle Calderon-Vasseur,19th August 2012,,
2744,Troy Brett Endres,,"Warren, Pennsylvania (United States of America)",12th July 1968,,Omen,3rd August 2014,,
2751,unknown,,,,,Ali ben Abdu,,,
2753,Atsuo Sawada,198 lbs. (90 kg) at 6'0'' (1.83 m),"Tokyo, Tokyo (Japan)",5th February 1964 (age 58),??th June 1988,Poison JULIE Sawada,,,
2754,unknown,,"Vancouver, British Columbia (Canada)",,,Dave Swift,,,
2755,Mihaly Kuti,247 lbs. (112 kg) at 6'3'' (1.91 m),Hungary,,,Micha Nador,2010,,
2756,Norbert Pusch,231 lbs. (105 kg) at 6'1'' (1.85 m),"Weinheim, Baden-Württemberg (Germany)",15th August 1972 (age 49),13th December 1998 (23 years ago),Lumberjack,,,
2757,unknown,181 lbs. (82 kg) at 5'9'' (1.75 m),Belgium,,,Dr. Gangreen,,,
2759,James Itow,,"Placentia, California (United States of America)",10th January 1982,??th April 1999,Rising Son,18th November 2015,,
2760,Francis Patrick Hoy,224 lbs. (102 kg) at 6'4'' (1.93 m),"Enniskillen, Fermanagh, Northern Ireland (United Kingdom)",,,Frank Hoy,21st April 2005,,
2761,Johnny Howard,,Kildare (Ireland),,,Rasputin #2,19th August 2013,,
2762,Chie Ishii,141 lbs. (64 kg) at 5'6'' (1.68 m),"Nagano, Nagano (Japan)",5th April 1983 (age 38),9th October 2006 (15 years ago),\(^o^)/ Chie ,,,
2764,Hiroshi Hatanaka,218 lbs. (99 kg) at 6'0'' (1.83 m),Hokkaido (Japan),15th January 1969 (age 53),27th May 1990 (31 years ago),Hiroshi Hatanaka,,,
2765,unknown,260 lbs. (118 kg) at 6'3'' (1.91 m),,,,GQ Stratus,,,
2766,Joseph W. Karney,,"Warszawa, Mazowieckie (Poland)",1st June 1916,,Firpo Zbyszko,9th April 1972,,
2767,Charles Richard Raines,245 lbs. (111 kg) at 5'11'' (1.80 m),"Dallas, Texas (United States of America)",17th February 1911,,Dick Raines,18th October 1979,,
2769,Fed Wright Bass,,Tennessee (United States of America),19th April 1935,,Sam Bass,27th July 1976,,
2770,unknown,,"Memphis, Tennessee (United States of America)",,,Davey Rich,,,
2771,Kei Matsutani,165 lbs. (75 kg) at 5'8'' (1.73 m),"Fukuoka, Fukuoka (Japan)",13th April 1982 (age 39),16th November 2006 (15 years ago),Lupin Matsutani,,,
2772,Jimmy Fawcett,,,,,Devil Bhudakahn,17th July 2007,,
2775,unknown,,,,,Count Von Zuppi,,,
2776,Gerry Murphy,,Ireland,,,Sean Regan,,,
2777,unknown,,,,,Gordon Corbett,1985,,
2779,unknown,,,,,Barry Douglas,,,
2782,Douglas E. Stahl,325 lbs. (147 kg) at 6'6'' (1.98 m),"Hagerstown, Maryland (United States of America)",25th February 1963 (age 59),1988,Doug Stahl,,,
2784,Koji Nakagawa,194 lbs. (88 kg) at 5'9'' (1.75 m),"Tokyo, Tokyo (Japan)",26th June 1969 (age 52),20th March 1992 (29 years ago),Koji Nakagawa,,,
2785,Tomokazu Morita,220 lbs. (100 kg) at 5'11'' (1.80 m),"Chiba, Chiba (Japan)",6th September 1978 (age 43),21st June 2000 (21 years ago),Garuda,,,
2786,Paul Hunt,,,,23rd November 2001 (20 years ago),Sun Paul,,,
2787,Seiji Ikeda,220 lbs. (100 kg) at 5'11'' (1.80 m),"Fukuoka, Fukuoka (Japan)",11th June 1975 (age 46),11th August 2001 (20 years ago),Seiji Ikeda,,,
2790,unknown,205 lbs. (93 kg) at 5'7'' (1.70 m),"Takarazuka, Hyogo (Japan)",12th August ???,,Miracle Man,,,
2792,Omer Garitte,,"La Louvière, Hainaut, Wallonne (Belgium)",18th September 1874,,Omer de Bouillon,3rd October 1936,,
2793,Ryuji Yamaguchi,233 lbs. (106 kg) at 6'0'' (1.83 m),"Kotoura, Tottori (Japan)",6th March 1985 (age 37),1st September 2007 (14 years ago),Ryuji Yamaguchi,,,
2798,unknown,266 lbs. (121 kg) at 5'7'' (1.70 m),"Eastleigh, Hampshire, England (United Kingdom)",20th October 1984 (age 37),25th January 2003 (19 years ago),Mark Underwood,,,
2804,David Vargas Camarena,,"Guadalajara, Jalisco (Mexico)",,1988,Ángel Blanco Jr.,,,
2808,Daniel Alvarado Nieves,,Mexico,,,Brazo de Platino,,,
2811,unknown,243 lbs. (110 kg) at 6'3'' (1.91 m),"Guadalajara, Jalisco (Mexico)",18th October 1976 (age 45),1997,Cien Caras Jr.,,,
2813,Manuel Balderas Ramírez,209 lbs. (95 kg) at 5'6'' (1.68 m),"Ciudad de México, Ciudad de México (Mexico)",29th October 1968,1986,Coco Blanco,18th December 2013,,
2817,Pedro ???,,"Guadalajara, Jalisco (Mexico)",23rd February 1958 (age 64),,El Enfermero Jr.,,,
2825,Marco-Reyes Janke,192 lbs. (87 kg) at 6'5'' (1.96 m),"Weinheim, Baden-Württemberg (Germany)",,8th May 1999 (22 years ago),Ghostbuster Jimmy,,,
2826,Jan Merker,176 lbs. (80 kg) at 5'11'' (1.80 m),"Heppenheim, Hessen (Germany)",13th February 1980 (age 42),8th July 2000 (21 years ago),Jan Merker,,,
2829,Gary Miller,,"Utrecht, Utrecht (Netherlands)",24th March 1989 (age 32),20th May 2004 (17 years ago),Gary Miller,,6'1'' (1.85 m),
2831,Rajah Ghosh,168 lbs. (76 kg) at 5'6'' (1.68 m),"Portsmouth, Hampshire, England (United Kingdom)",,19th May 2001 (20 years ago),Rajah Ghosh,,,
2838,Chris Parke,205 lbs. (93 kg) at 5'11'' (1.80 m),United Kingdom,,19th May 2001 (20 years ago),Chris Justice,,,
2840,Harold Reddick,234 lbs. (106 kg) at 6'0'' (1.83 m),United States of America,26th December 1971 (age 50),,Shaka,,,
2844,Jacobus Cornelius de Ferm,,"Antwerpen, Antwerpen, Vlaanderen (Belgium)",3rd January 1906,,Bernard de Ferm,XXXX,,
2847,Graham Peter Hughes,196 lbs. (89 kg) at 5'8'' (1.73 m),"Portsmouth, Hampshire, England (United Kingdom)",14th April 1986 (age 35),5th May 2002 (19 years ago),Graham Hughes,,,
2848,Akihiko Ito,200 lbs. (91 kg) at 5'10'' (1.78 m),"Kuwana, Mie (Japan)",10th January 1983 (age 39),24th December 2005 (16 years ago),Akihiko Ito,,,
2849,unknown,189 lbs. (86 kg) at 5'10'' (1.78 m),United Kingdom,17th June 1980 (age 41),,Paul Travell,,,
2854,unknown,,,,,Joe DeFuria,,,
2860,Rickey Raye Fowler,,,31st August 1954,,Buster Fowler,18th June 2007,,
2862,unknown,,Antigua and Barbuda,,1958,Lawrence Coulson,,,
2863,Shin'ichi Yokouchi,236 lbs. (107 kg) at 6'1'' (1.85 m),"Nagoya, Aichi (Japan)",1937,,Chati Yokouchi,15th December 1982,,
2864,unknown,,,,,Rick O'Toole,6th February 2012,,
2865,Edward Montimayor,210 lbs. (95 kg) at 5'7'' (1.70 m),"San Antonio, Texas (United States of America)",1934,1953,Tito Montez,30th January 2013,,
2867,unknown,,"Monterrey, Nuevo León (Mexico)",,2005,Iron Extreme,,,
2870,Simon Saxer,165 lbs. (75 kg) at 6'1'' (1.85 m),Germany,10th July 1985 (age 36),20th October 2002 (19 years ago),Simon LaVey,,,
2871,unknown,187 lbs. (85 kg) at 5'9'' (1.75 m),"Ciudad de México, Ciudad de México (Mexico)",,,Rey Vikingo,,,
2879,Jacques Armand Schuel,,"San Francisco, California (United States of America)",4th July 1876,,Jack Curley,12th July 1937,,
2880,unknown,,,16th August 1912,,Prince Bhu Pinder,XXXX,,
2882,Randy Hales,,"Jonesboro, Arkansas (United States of America)",??th December 1961,,Randy Hales,,,
2886,Yuji Shimada,155 lbs. (70 kg) at 5'6'' (1.68 m),"Fukuyama, Hiroshima (Japan)",24th November 1966 (age 55),2nd September 2004 (17 years ago),Yuji Shimada,,,
2890,Hiromi Horiguchi,176 lbs. (80 kg) at 5'9'' (1.75 m),"Kumamoto, Kumamoto (Japan)",16th December 1980 (age 41),16th May 2004 (17 years ago),Hiromi Horiguchi,,,
2893,Jorge Luis Rincon Aguirre,,"Tijuana, Baja California (Mexico)",,24th February 1999 (23 years ago),Inferno,,,
2914,Gerardo Gurrola,,"Monterrey, Nuevo León (Mexico)",5th January 1971 (age 51),1987,Monje Negro Jr.,,,
2925,Andrés Durán,168 lbs. (76 kg) at 5'9'' (1.75 m),"Nuevo Laredo, Tamaulipas (Mexico)",1987,2002,Sangre Chicana Jr.,,,
2926,unknown,,Mexico,,,El Santo Jr.,,,
2928,Jorge Sánchez,,"Ciudad de México, Ciudad de México (Mexico)",2nd March 1971 (age 51),,Shiryu Dragón,,,
2929,Antonio Hernández Herrada,198 lbs. (90 kg) at 5'7'' (1.70 m),Mexico,8th April 1970 (age 51),,Silver Cat,,,
2930,unknown,,"Memphis, Tennessee (United States of America)",29th December 1959 (age 62),,Tim Renesto,,,
2932,unknown,,,1921,,Paul Morton,17th December 2010,,
2935,unknown,,New Jersey (United States of America),7th December 1963,1988,Tim Parker,25th February 2015,,227 lbs. (103 kg)
2937,unknown,,,,,Frank Morrell,,,
2939,unknown,235 lbs. (107 kg) at 6'0'' (1.83 m),"Winnipeg, Manitoba (Canada)",7th May 1928,,George Gordienko,14th May 2002,,
2941,unknown,,New Jersey (United States of America),,,Tony Myers,,,
2942,unknown,,,,,Kenny Kendall,,,
2947,Jeannine Mjoseth,170 lbs. (77 kg) at 6'2'' (1.88 m),Germany,1959,1984,Mad Maxine ,,,
2949,Shoichi Ichimiya,220 lbs. (100 kg) at 5'10'' (1.78 m),Japan,14th February 1969 (age 53),6th July 1997 (24 years ago),Shoichi Ichimiya,,,
2952,unknown,,,27th July ???,,Jeff Costa,,,
2953,unknown,,"New Albany, Indiana (United States of America)",3rd April 1962 (age 59),,Lord Humongous,,,
2954,Michael James Stark,,"Memphis, Tennessee (United States of America)",22nd April 1950 (age 71),,Lord Humongous,,,
2955,unknown,325 lbs. (147 kg) at 6'3'' (1.91 m),,,1983,Gary Nations,,,
2956,unknown,,,,,John Gavin,,,
2957,unknown,,,,,Randy Lewis,,,
2958,unknown,,"Daytona Beach, Florida (United States of America)",,,Big John Harley,,,345 lbs. (156 kg)
2963,Caryn Lynn Mower,125 lbs. (57 kg) at 5'5'' (1.65 m),"Eau Claire, Wisconsin (United States of America)",21st August 1965 (age 56),??th July 1999,Muffy Mower ,,,
2966,unknown,,,,,Mike Ivey,,,
2967,Benjamin Ramírez,,,2nd January 1932,,The Mummy,20th December 1995,,
2968,Curtis White,,,19th January 1971 (age 51),,Toad,,,
2969,unknown,165 lbs. (75 kg) at 5'8'' (1.73 m),"Newcastle upon Tyne, Tyne and Wear, England (United Kingdom)",20th October 1987 (age 34),2001,Max Heat,,,
2970,Anthony Puccio,265 lbs. (120 kg) at 6'0'' (1.83 m),"New York City, New York (United States of America)",9th January 1962 (age 60),1987,Tony Puccio,,,
2971,unknown,,,,,Gary Lindgren,,,
2972,Nick Kiniski,,United States of America,25th August 1961 (age 60),22nd January 1985 (37 years ago),Nick Kiniski,,,
2974,Eldon Larue Whittler,206 lbs. (93 kg) at 5'9'' (1.75 m),"Virden, Illinois (United States of America)",7th September 1913,,Whitey Whittler,17th June 1983,,
2975,unknown,,"New York City, New York (United States of America)",,,Al Galento,,,
2978,unknown,,"St. Louis, Missouri (United States of America)",,,Steve Sharp,,,
2980,Brian Glover,,"Barnsley, South Yorkshire, England (United Kingdom)",,,Brian Glover,1997,,
2981,Peter Sauer,210 lbs. (95 kg) at 6'0'' (1.83 m),Russia,2nd February 1900,,Ray Steele,11th September 1949,,
2982,unknown,,"Augsburg, Bayern (Germany)",1st January 1894,,Max Reiner,XXXX,,
2984,James Ault,,,,,Great Mephisto,,,
2987,Juan Carlos Medrano Olmedo,185 lbs. (84 kg) at 5'9'' (1.75 m),"Ciudad de México, Ciudad de México (Mexico)",,,Indio Chirikawa,,,
2988,unknown,,Hawaii (United States of America),,,Rocky Iaukea,,,
2989,Julián Arturo Herrera Jadad,,Lebanon,,1931,Sheik Mar Allah,25th March 2011,,
2990,unknown,,Mexico,1924,,Emilio Charles,6th September 1994,,
2991,Jesús Lomelí,,Mexico,1916,,Chucho Lomelí,10th June 1966,,
2992,unknown,185 lbs. (84 kg) at 5'10'' (1.78 m),Mexico,,,Francisco Flores,,,
2993,Robert Henry James McCoy,245 lbs. (111 kg) at 5'9'' (1.75 m),"Cambridge, Massachusetts (United States of America)",10th July 1906,,Bibber McCoy,6th March 1977,,
2994,Guillermo Hernández,,"Oaxaca de Juárez, Oaxaca (Mexico)",1917,1935,Lobo Negro,27th May 1990,,
2995,Armando Gorbea,200 lbs. (91 kg) at 5'8'' (1.73 m),Carolina (Puerto Rico),26th November ???,2000,Tommy Diablo,,,
2997,Don Taylor,397 lbs. (180 kg) at 6'2'' (1.88 m),"Clinton, Iowa (United States of America)",9th December 1945,1979,Don Taylor,8th November 2017,,
3004,Jennifer Elaine Kaiser,128 lbs. (58 kg) at 5'6'' (1.68 m),"Detroit, Michigan (United States of America)",6th January ???,??th April 2003,Sosay ,,,
3009,unknown,,United States of America,,,Charles Austin,,,
3012,unknown,231 lbs. (105 kg) at 6'0'' (1.83 m),,,,Ghanda Rhea Akbar,,,
3016,Ernie Bemis,,"Lansing, Michigan (United States of America)",,,Mr. Kleen,,,260 lbs. (118 kg)
3017,Richard Rondon,220 lbs. (100 kg) at 6'0'' (1.83 m),Puerto Rico,,9th September 2006 (15 years ago),Ravishing Richard,,,
3018,Dennis Rivera,205 lbs. (93 kg) at 6'2'' (1.88 m),Puerto Rico,,3rd February 2007 (15 years ago),Dennis Rodríguez,,,
3020,unknown,175 lbs. (79 kg) at 5'7'' (1.70 m),"Oakboro, North Carolina (United States of America)",6th December 1979 (age 42),2001,GeeStar,,,
3023,Ryland Charles Coffield,212 lbs. (96 kg) at 5'9'' (1.75 m),"Kansas City, Missouri (United States of America)",5th January 1905,,Jimmy Coffield,7th February 1973,,
3024,Lennart Axel Anderson,218 lbs. (99 kg) at 6'1'' (1.85 m),"Anacortes, Washington (United States of America)",28th June 1908,,Leo Numa,1991,,
3025,Dominic Bernard Vagnone,200 lbs. (91 kg) at 5'9'' (1.75 m),"Joliet, Illinois (United States of America)",20th June 1910,12th August 1935 (86 years ago),Gino Vagnone,19th January 1977,,
3026,unknown,,"Dresden, Sachsen (Germany)",5th November 1906,,Hans Kämpfer,1984,,
3028,John Grandovich,245 lbs. (111 kg) at 5'11'' (1.80 m),Olib (Croatia),10th February 1897,,John Grandovich,??th March 1946,,
3029,unknown,190 lbs. (86 kg) at 5'9'' (1.75 m),"Naucalpan, Estado de México (Mexico)",8th January 2002 (age 20),19th July 2013 (8 years ago),Puma de Oro,,,
3030,Don Anderson,,,6th September 1931,,Ox Anderson,18th January 2003,,
3033,Lucas Jean Pierre Tuijin,176 lbs. (80 kg) at 5'10'' (1.78 m),Netherlands,,,Sean Lucas,,,
3036,Juan Careaga Castillo,,Mexico,20th June 1976 (age 45),1994,Gitano del Norte,,5'4'' (1.63 m),
3041,Gabriel Acocella,,,1916,,Jack Britton,9th February 1980,,
3042,Charles Berger,285 lbs. (129 kg) at 6'1'' (1.85 m),"Saguenay, Quebec (Canada)",,,Gilles Poisson,,,
3043,Junzo Hasegawa,185 lbs. (84 kg) at 5'9'' (1.75 m),"Ichinomiya, Chiba (Japan)",27th September 1928,10th September 1954 (67 years ago),Yoshino Sato,19th January 1999,,
3044,Reuben Haz Wright,260 lbs. (118 kg) at 6'2'' (1.88 m),"Brownwood, Texas (United States of America)",6th November 1907,23rd November 1932 (89 years ago),Rube Wright,9th November 1983,,
3045,Joseph Zikmund,,Most (Czech Republic),18th August 1888,,Joe Zikmund,6th March 1956,6'0'' (1.83 m),
3046,Joseph George Arena,,,1908,,Gorgeous George Arena,16th July 1992,,
3047,Frank Joseph Jedlenski,,,10th October 1896,,Frank Judson,??th June 1982,,
3049,Kevin Christian Lawler,,United States of America,,,Kevin Lawler,,,
3050,Owen D. Yow,,,17th October 1934,,Billy Hines,26th May 1993,,
3052,Manny Clausi,285 lbs. (129 kg) at 6'3'' (1.91 m),"Toronto, Ontario (Canada)",26th August 1973 (age 48),1999,Al Barone,,,
3053,unknown,,,,,Ron Pope,,,
3058,Sadako Kato,,"Osaki, Miyagi (Japan)",1951,1st March 1966 (56 years ago),Jumbo Miyamoto ,,,175 lbs. (79 kg)
3059,Ayumi Hori,176 lbs. (80 kg) at 5'11'' (1.80 m),"Musashimurayama, Tokyo (Japan)",25th September 1962 (age 59),2nd December 1978 (43 years ago),Jumbo Hori ,,,
3060,Taemi Hagiwara,,"Tokyo, Tokyo (Japan)",6th February 1956 (age 66),6th February 1978 (44 years ago),Mimi Hagiwara,,,
3061,Loren K. Miyake,,,,,Riki Ataki,,,
3064,unknown,,Mexico,,,El Forastero,,,
3065,Ichimasa Wakamatsu,231 lbs. (105 kg) at 5'11'' (1.80 m),"Ashibetsu, Hokkaido (Japan)",1st January 1942 (age 80),1973,Shogun KY Wakamatsu,,,
3066,unknown,176 lbs. (80 kg) at 5'6'' (1.68 m),Mexico,7th February 1972 (age 50),,Gallo Tapado Jr.,,,
3067,Scott Raines,280 lbs. (127 kg) at 5'11'' (1.80 m),"Centre, Alabama (United States of America)",30th September 1971 (age 50),1996,Bulldog Raines,,,
3068,John Wilkinson,,United States of America,,,Stone Mountain,,,
3070,César Caballero,225 lbs. (102 kg) at 5'11'' (1.80 m),Mexico,25th November 1977 (age 44),4th January 1998 (24 years ago),Factor,,,
3071,Victor Manuel Montés,216 lbs. (98 kg) at 5'11'' (1.80 m),Guerrero (Mexico),28th July 1975 (age 46),1990,Spartan,,,
3074,Jesús Hernández Torres,181 lbs. (82 kg) at 5'9'' (1.75 m),"Naucalpan, Estado de México (Mexico)",22nd April 1967 (age 54),30th May 1980 (41 years ago),Comando Gama,,,
3075,unknown,216 lbs. (98 kg) at 5'9'' (1.75 m),,1st June 1977 (age 44),2001,Comando Alfa,,,
3077,unknown,176 lbs. (80 kg) at 5'7'' (1.70 m),"Ciudad de México, Ciudad de México (Mexico)",,,Marco Rivera,,,
3078,unknown,183 lbs. (83 kg) at 5'7'' (1.70 m),Mexico,1st July ???,5th December 1992 (29 years ago),Star Boy,,,
3080,unknown,194 lbs. (88 kg) at 5'10'' (1.78 m),Estado de México (Mexico),15th March 1972 (age 49),20th February 1991 (31 years ago),Black Dragón,,,
3081,José Ramírez Barrón,238 lbs. (108 kg) at 6'1'' (1.85 m),"Rioverde, San Luis Potosí (Mexico)",5th May 1947 (age 74),1973,Oficial,,,
3082,Bogar Alejandro Ramírez Orosco,,Mexico,,,Guardia,,,
3083,José Luis Rivera,,"Guanajuato, Guanajuato (Mexico)",1967,1992,El Macho #2,,,
3084,unknown,198 lbs. (90 kg) at 5'10'' (1.78 m),Mexico,8th February 1976 (age 46),2nd April 1996 (25 years ago),Marshal,,,
3085,Pedro Sosa Gutiérrez,,Mexico,,,Perro Sosa,,,
3086,unknown,209 lbs. (95 kg) at 5'10'' (1.78 m),Mexico,26th May 1981 (age 40),16th March 1997 (24 years ago),El Fantasma Jr.,,,
3097,Javier Tehutl Roldan,143 lbs. (65 kg) at 5'1'' (1.55 m),"Heroica Puebla de Zaragoza, Puebla (Mexico)",3rd July 1968 (age 53),??th August 1992,Sombrita,,,
3113,unknown,,Mexico,,,Rey Lobo,,,
3114,Ismael Hernández Islas,,"Guadalajara, Jalisco (Mexico)",1972,1992,Oro #2,,,
3123,Mario Alberto Preciado Pérez,,Mexico,,,Danger,,,
3125,Ezequiel Antonio Rivera Guzmán,189 lbs. (86 kg) at 5'9'' (1.75 m),Santo Domingo (Dominican Republic),18th September 1956 (age 65),1972,Súper Kendo,,,
3132,unknown,,,,,Jumping Jeff Jeffrey,,,
3136,unknown,,,,,Ronnie D. Lishus,,,
3137,unknown,,,1862,,Eduard Kreindl,??th June 1930,,
3138,unknown,243 lbs. (110 kg) at 6'2'' (1.88 m),"Montélimar, Auvergne-Rhône-Alpes (France)",26th June 1872,,Emil Peyrouse,1915,,
3141,unknown,,,,,Chuck Fish,,,300 lbs. (136 kg)
3142,Diether Budig,,Germany,5th October 1974 (age 47),,Diether Budig,,,
3143,Katsutoshi Niiyama,231 lbs. (105 kg) at 5'9'' (1.75 m),"Tomakomai, Hokkaido (Japan)",11th January 1969 (age 53),7th January 1990 (32 years ago),Katsutoshi Niiyama,,,
3145,unknown,204 lbs. (93 kg) at 5'9'' (1.75 m),"Calgary, Alberta (Canada)",22nd July 1963,,Steve Gillespie,18th January 2020,,
3149,Akihiko Masuda,181 lbs. (82 kg) at 5'9'' (1.75 m),Chiba (Japan),18th November 1975 (age 46),20th April 1995 (26 years ago),Great Takeru,,,
3150,Miori Mitsuhashi,137 lbs. (62 kg) at 5'5'' (1.65 m),"Tokorozawa, Saitama (Japan)",19th May 1969 (age 52),25th September 1986 (35 years ago),Cooga ,,,
3151,unknown,,,2nd September 1967 (age 54),1983,Yumi Ogura ,,,
3152,Hiroe Ito,,"Hamamatsu, Shizuoka (Japan)",23rd January 1961 (age 61),1980,Hiroe Ito ,,,
3153,Rumi Yasuda,143 lbs. (65 kg) at 5'3'' (1.60 m),"Obama, Fukui (Japan)",23rd April 1970 (age 51),1st December 1989 (32 years ago),Yasha Kurenai ,,,
3154,Yoshika Maedomari,200 lbs. (91 kg) at 5'6'' (1.68 m),"Naha, Okinawa (Japan)",19th December 1972 (age 49),8th March 1990 (32 years ago),Crusher Maedomari ,,,
3155,Yuki Morimatsu,172 lbs. (78 kg) at 5'4'' (1.63 m),"Kadoma, Osaka (Japan)",21st August 1970 (age 51),17th January 1990 (32 years ago),Drake Morimatsu ,,,
3156,Tomiko Sai,114 lbs. (52 kg) at 5'1'' (1.55 m),"Mizunami, Gifu (Japan)",14th February 1980 (age 42),23rd January 1998 (24 years ago),Tomiko Sai ,,,
3158,Chikako Hasegawa,128 lbs. (58 kg) at 5'5'' (1.65 m),"Tokyo, Tokyo (Japan)",25th June 1973 (age 48),4th October 1991 (30 years ago),Chikako Shiratori ,,,
3160,unknown,132 lbs. (60 kg) at 5'4'' (1.63 m),"Amagasaki, Hyogo (Japan)",21st May 1974 (age 47),2nd May 1998 (23 years ago),Kyusei Ninja Ranmaru ,,,
3166,Megumi Nakamae,176 lbs. (80 kg) at 5'4'' (1.63 m),Okayama (Japan),10th December 1968 (age 53),1985,Drill Nakamae ,,,
3167,Fumihiro Asako,287 lbs. (130 kg) at 5'10'' (1.78 m),"Tokyo, Tokyo (Japan)",27th August 1963,1st December 1989 (32 years ago),Sambo Asako,18th May 2004,,
3169,Kumiko Matsuda,152 lbs. (69 kg) at 5'4'' (1.63 m),"Kadoma, Osaka (Japan)",21st August 1970 (age 51),6th October 1989 (32 years ago),Kumiko Matsuda ,,,
3171,Kumiko Kaneko,146 lbs. (66 kg) at 5'5'' (1.65 m),"Yokohama, Kanagawa (Japan)",30th December 1960 (age 61),1976,Nancy Kumi ,,,
3172,Naoko Sato,,"Yokohama, Kanagawa (Japan)",30th October 1958,27th April 1975 (46 years ago),Jackie Sato ,9th August 1999,5'8'' (1.73 m),
3173,Fumiake Watanabe,,Japan,3rd March 1959 (age 63),1973,Mach Fumiake ,,,
3174,Yukari Osawa,143 lbs. (65 kg) at 5'4'' (1.63 m),"Kawasaki, Kanagawa (Japan)",31st October 1968 (age 53),10th January 1988 (34 years ago),Jen'nu Yukari ,,,
3175,Chikako Tomidaka,128 lbs. (58 kg) at 5'6'' (1.68 m),"Owase, Mie (Japan)",6th October 1958,5th September 1977 (44 years ago),Tomi Aoyama ,19th July 2011,,
3176,Makiko Ueda,,"Tottori, Tottori (Japan)",8th March 1958 (age 64),19th March 1975 (46 years ago),Maki Ueda ,,5'7'' (1.70 m),
3177,Sachie Imura,,,3rd February 1960 (age 62),28th June 1977 (44 years ago),Lucy Kayama,,,
3178,Kumiko Iwamoto,148 lbs. (67 kg) at 5'5'' (1.65 m),"Tokyo, Tokyo (Japan)",7th February 1968 (age 54),6th June 1985 (36 years ago),Grizzly Iwamoto ,,,
3179,Yukari Honjo,220 lbs. (100 kg) at 5'8'' (1.73 m),"Wakayama, Wakayama (Japan)",31st October 1962 (age 59),1980,Crane Yuu ,,,
3180,unknown,,,,,Condor Saito ,,,
3181,Mika Suzuki,137 lbs. (62 kg) at 5'8'' (1.73 m),Toyama (Japan),18th April 1969 (age 52),12th July 1985 (36 years ago),Suzuka Minami ,,,
3182,Mami Kitamura,140 lbs. (64 kg) at 5'5'' (1.65 m),"Yokohama, Kanagawa (Japan)",22nd September 1969 (age 52),14th January 1989 (33 years ago),Leo Kitamura ,,,
3183,unknown,,,,,Bat Yoshinaga ,,,
3185,Yuji Ueda,260 lbs. (118 kg) at 6'3'' (1.91 m),"Yatomi, Aichi (Japan)",20th June 1940,??th April 1961,Umanosuke Ueda,21st December 2011,,
3187,Ken Jugan,223 lbs. (101 kg) at 5'11'' (1.80 m),Pennsylvania (United States of America),16th October ???,1976,Ken Jugan,,,
3188,unknown,,,,,Bill Coleman,24th May 2015,,
3190,unknown,,United Kingdom,20th March 1981 (age 40),1997,Jonny Love,,6'3'' (1.91 m),
3191,unknown,,,,,Bob Boyer,,,
3192,Yukihide Ueno,176 lbs. (80 kg) at 5'8'' (1.73 m),"Yokosuka, Kanagawa (Japan)",19th July 1970 (age 51),12th February 1990 (32 years ago),Choden Senshi Battle Ranger,,,
3193,Hirofumi Miura,210 lbs. (95 kg) at 5'10'' (1.78 m),"Iwaki, Fukushima (Japan)",24th May 1964 (age 57),10th December 1991 (30 years ago),Hirofumi Miura,,,
