,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Height,Weight
4659,Dionisio Linares Moreno,,"Ciudad de México, Ciudad de México (Mexico)",21st September 1934,,Black Sugar,14th July 2009,,
4660,unknown,,Mexico,,,Tony Sugar,??th June 2014,,
4661,Josefina Tapia Rosas,,Mexico,,,Mitzuki Wong ,,,
4665,Tino Rámirez,,"Madero, Tamaulipas (Mexico)",,1987,Peligro,,,
4667,Miguel Wenceslao Guzmán Huerta,,"Tulancingo de Bravo, Hidalgo (Mexico)",,,Black Guzmán,1st December 1971,,
4669,Jesús Guzmán Huerta,,Mexico,,,Pantera Negra,XXXX,,
4671,unknown,309 lbs. (140 kg) at 5'9'' (1.75 m),"Tampico, Tamaulipas (Mexico)",,,Transmetal,,,
4674,unknown,,,,,Pierce Havok,,,
4675,Alejandro Palafox Montiel,,Mexico,1942,1966,El Sanguinario,2nd January 2009,,
4676,unknown,,Mexico,,,Súper Muñeco Jr.,,,
4677,unknown,,Mexico,2nd August 1970 (age 51),,El Tramposo,,,
4678,Osvaldo Patiño Cabrera,,Mexico,1974,,El Gran Davis Jr.,18th October 2009,,
4680,unknown,,,,,Randy Fuller,,,
4682,unknown,229 lbs. (104 kg) at 6'1'' (1.85 m),"Hamburg, Hamburg (Germany)",,2006,Holger Schoßig,,,
4683,unknown,235 lbs. (107 kg) at 6'1'' (1.85 m),,,,Mike Sampson,,,
4685,Peter Murphy,275 lbs. (125 kg) at 6'2'' (1.88 m),"Glasgow, Glasgow, Scotland (United Kingdom)",16th January 1969 (age 53),1997,Conscience,,,
4686,unknown,120 lbs. (54 kg) at 5'4'' (1.63 m),"Calgary, Alberta (Canada)",,2001,Belle Lovitz ,,,
4688,Gary Jessome,245 lbs. (111 kg) at 6'3'' (1.91 m),"North Sydney, Nova Scotia (Canada)",7th November 1978 (age 43),2001,Duke MacIsaac,,,
4689,unknown,192 lbs. (87 kg) at 5'9'' (1.75 m),"Kentville, Nova Scotia (Canada)",,??th May 2002,Trash Canyon,,,
4690,Scott Ingraham,195 lbs. (88 kg) at 5'10'' (1.78 m),"Cole Harbour, Nova Scotia (Canada)",1st April 1980 (age 41),2000,Scott Savage,,,
4691,unknown,,,,,Wolfgang Schmidt,,,
4692,Ingo Neumann,161 lbs. (73 kg) at 5'9'' (1.75 m),"Berlin, Berlin (Germany)",23rd August 1972,,Marty Shaw,13th December 2007,,
4693,unknown,115 lbs. (52 kg) at 4'2'' (1.27 m),,,,Lil' Nasty Boy,,,
4694,Vicente Tenorio,240 lbs. (109 kg) at 5'9'' (1.75 m),"Palaú, Coahuila de Zaragoza (Mexico)",4th December 1963 (age 58),??th August 1988,Chief Battu,,,
4695,unknown,200 lbs. (91 kg) at 5'8'' (1.73 m),"Oxford, New York (United States of America)",29th December 1982 (age 39),5th November 2001 (20 years ago),JT LaMotta,,,
4698,unknown,225 lbs. (102 kg) at 5'10'' (1.78 m),"Jersey City, New Jersey (United States of America)",23rd November 1972 (age 49),1997,Mike Dell,,,
