,Real Name,Birthplace,Date of Birth,wrestler_name,Weight and Height,Debut,Height,Date of Death,Weight
16855,Don Z. Ross,,6th October 1946,Ripper Savage,,,,2nd June 1995,
16856,Héctor Canales,"Los Angeles, California (United States of America)",3rd August 1981 (age 40),Héctor Canales,,,6'0'' (1.83 m),,
16857,Vincent T. Pelkowski,"Syracuse, New York (United States of America)",16th February 1912,Vince Risko,,,,2nd October 2002,
16858,August Sepp,Estonia,13th January 1887,August Sepp,175 lbs. (79 kg) at 5'7'' (1.70 m),,,12th November 1962,
16859,unknown,"Roseville, Michigan (United States of America)",,Brad Burrick,170 lbs. (77 kg) at 6'1'' (1.85 m),,,,
16860,Wayne R. Bock Jr.,Illinois (United States of America),28th May 1934 (age 87),Wayne Bock,265 lbs. (120 kg) at 6'4'' (1.93 m),,,,
16861,unknown,United States of America,30th July 1985 (age 36),Payton Graham,,11th April 2009 (12 years ago),6'2'' (1.88 m),,
16862,Romie Yerkies Ashby,"Beech Grove, Kentucky (United States of America)",23rd July 1900,Spike Ashby,155 lbs. (70 kg) at 5'7'' (1.70 m),,,5th June 1951,
16863,unknown,,,Fritz Crane,,,,,
16864,unknown,,,Eddie Ponz,,,,,
16865,Ernest Boyd Kelley,"Knoxville, Tennessee (United States of America)",5th December 1909,Ernest Kelly,220 lbs. (100 kg) at 6'0'' (1.83 m),26th June 1931 (90 years ago),,29th April 1989,
16866,Andrew Michael Meroney,"Humboldt, Tennessee (United States of America)",30th July 1895,Mike Meroney,196 lbs. (89 kg) at 5'9'' (1.75 m),,,22nd February 1974,
16867,unknown,,,Don Pollack,,,,,
16870,Chris Kalisz,"Miami Beach, Florida (United States of America)",13th April 1986 (age 35),Kristian Frost,210 lbs. (95 kg) at 5'9'' (1.75 m),24th September 2004 (17 years ago),,,
16871,unknown,Connecticut (United States of America),,Lukas Sharp,,,6'2'' (1.88 m),,
16872,unknown,"Bridgeport, Connecticut (United States of America)",,Biff Whitman,202 lbs. (92 kg) at 5'7'' (1.70 m),,,,
16873,unknown,"Las Vegas, Nevada (United States of America)",,Andy Sweet,205 lbs. (93 kg) at 6'1'' (1.85 m),,,,
16874,unknown,"Calgary, Alberta (Canada)",,Scotty Rio,,,5'9'' (1.75 m),,
16875,unknown,"Bridgeport, Connecticut (United States of America)",,Mr. Williams,207 lbs. (94 kg) at 5'8'' (1.73 m),,,,
16876,unknown,"New York City, New York (United States of America)",,Eddy Latham,,,5'7'' (1.70 m),,
16878,unknown,"New York City, New York (United States of America)",20th May 1985 (age 36),William Wyeth,,,6'0'' (1.83 m),,
16879,unknown,United States of America,,CK Cross,,,,,
16881,Tyler Toner,"Denver, Colorado (United States of America)",,Tyler Toner,145 lbs. (66 kg) at 5'8'' (1.73 m),30th July 2005 (16 years ago),,,
16883,Dave Greco,New Jersey (United States of America),6th September 1979 (age 42),Dave Greco,220 lbs. (100 kg) at 6'0'' (1.83 m),1999,,,
16885,Herman Donchin,"Lund, Skåne (Sweden)",18th June 1907,Curley Donchin,190 lbs. (86 kg) at 5'10'' (1.78 m),,,15th June 1989,
16886,unknown,Baja California (Mexico),,Kennoe,,,,,
16888,William McMorrough,Canada,,Dave Dread,185 lbs. (84 kg) at 5'6'' (1.68 m),??th August 2001,,,
16889,Samuel Rabinovitch,"Manchester, Greater Manchester, England (United Kingdom)",20th June 1903,Sam Rabin,,,,20th December 1991,
16890,Derrick Mehman,United States of America,,Derrick Mehman,205 lbs. (93 kg) at 6'4'' (1.93 m),9th September 2006 (15 years ago),,,
16892,unknown,,,Victor Delamarre,,,,,
16893,Peter Paul Schuh,"Tell City, Indiana (United States of America)",18th December 1905 (age 116),Pete Schuh,260 lbs. (118 kg) at 5'10'' (1.78 m),,,,
16897,Charles D. Jacobson,United States of America,6th June 1978 (age 43),David Stahr,195 lbs. (88 kg) at 5'9'' (1.75 m),29th August 2003 (18 years ago),,,
16898,Nicholas Baines,United States of America,22nd December 1981 (age 40),Silky Baines,270 lbs. (122 kg) at 6'3'' (1.91 m),2005,,,
16899,unknown,"Houston, Texas (United States of America)",??th September 1979,DJ King,245 lbs. (111 kg) at 5'9'' (1.75 m),,,,
16900,Kenneth Milton Radick,"Green Bay, Wisconsin (United States of America)",17th June 1907,Ken Radick,210 lbs. (95 kg) at 6'0'' (1.83 m),15th May 1931 (90 years ago),,XXXX,
16901,Rudolph La Ditzi,Bucuresti (Romania),20th February 1904,Rudy LaDitzi,235 lbs. (107 kg) at 5'11'' (1.80 m),,,28th October 1942,
16902,unknown,Australia,,Tommy Nilan,,,,,
16903,unknown,Michigan (United States of America),1905,Joe Kopach,,,,1992,
16904,unknown,,,Alfred Tabah,,,,,
16905,Egan Inoue,"Honolulu, Hawaii (United States of America)",4th June 1965 (age 56),Egan Inoue,190 lbs. (86 kg) at 5'9'' (1.75 m),13th October 1995 (26 years ago),,,
16907,unknown,,23rd April ???,B.J. Thomas,,9th April 2000 (21 years ago),,,
16908,unknown,,23rd August ???,Dante,163 lbs. (74 kg) at 5'8'' (1.73 m),,,,
16909,Barry Delaney,,23rd July ???,BPA Barry,165 lbs. (75 kg) at 5'7'' (1.70 m),,,,
16910,Dylan Christensen,United States of America,7th April 1985 (age 36),Blaxstrom,145 lbs. (66 kg) at 5'10'' (1.78 m),8th July 2001 (20 years ago),,,
16911,Fady Madani,"Woodland Park, New Jersey (United States of America)",15th February ???,Fahd Rakman,270 lbs. (122 kg) at 6'5'' (1.96 m),2008,,,
16912,unknown,,16th February ???,Felix Leon,150 lbs. (68 kg) at 5'7'' (1.70 m),,,,
16914,unknown,,9th February ???,Frankie Finesse,196 lbs. (89 kg) at 5'11'' (1.80 m),,,,
16915,unknown,,,Hadrian,,9th April 2000 (21 years ago),,,
16917,unknown,United States of America,22nd June ???,Jarrett Foster,175 lbs. (79 kg) at 5'9'' (1.75 m),2009,,,
16918,unknown,,14th December ???,Eloy Fiesta,189 lbs. (86 kg) at 5'10'' (1.78 m),,,,
16919,unknown,,11th February ???,Tony Balboa,209 lbs. (95 kg) at 6'1'' (1.85 m),9th April 2000 (21 years ago),,,
16920,John W. Maher,"Bergenfield, New Jersey (United States of America)",,Shawn Sheridan,176 lbs. (80 kg) at 5'11'' (1.80 m),??th January 2000,,,
16921,unknown,"Red Bank, New Jersey (United States of America)",19th November ???,Shane O'Brien,205 lbs. (93 kg) at 5'10'' (1.78 m),2000,,,
16923,unknown,"Freehold Township, New Jersey (United States of America)",7th May 1980 (age 41),Robby Morrison,170 lbs. (77 kg) at 5'8'' (1.73 m),23rd May 2003 (18 years ago),,,
16924,unknown,,21st October ???,P.W. Stryker,215 lbs. (98 kg) at 5'10'' (1.78 m),9th April 2000 (21 years ago),,,
16925,unknown,,21st September ???,Pierce St. John,180 lbs. (82 kg) at 5'11'' (1.80 m),,,,
16926,unknown,,,Pete Hanover,,,,,
16927,unknown,,24th April 1981 (age 40),Kasey Coresh,180 lbs. (82 kg) at 5'10'' (1.78 m),,,,
16929,unknown,,8th August ???,Marc Verow,207 lbs. (94 kg) at 5'9'' (1.75 m),1996,,,
16932,unknown,,14th May ???,John Royal,165 lbs. (75 kg) at 5'9'' (1.75 m),,,,
16934,Etta Mae Cantrell,"Ashland, Kentucky (United States of America)",8th April 1929,Lana Lamar ,,1954,5'5'' (1.65 m),12th October 1983,
16936,unknown,Mexico,13th November 1981 (age 40),El Tigre Americano,,,,,
16937,unknown,Mexico,,Siniestro Negro,,,,,
16938,Alberto Martínez,"Ciudad de México, Ciudad de México (Mexico)",,Asturiano,,2005,,,
16940,unknown,Mexico,,DJ Extreme,,,,,
16941,unknown,Mexico,,Espia Nazi,,,,,
16942,unknown,Veracruz de Ignacio de la Llave (Mexico),,Chavo Infernal,,,,,
16943,unknown,Veracruz de Ignacio de la Llave (Mexico),,Stefany,,,,,
16944,unknown,California (United States of America),,Vintage Dragon,,,,,
16945,Steven Altamirano,"Los Angeles, California (United States of America)",11th June 1980 (age 41),Cyanide,,4th July 2002 (19 years ago),6'2'' (1.88 m),,
16946,unknown,"Cliffside Park, New Jersey (United States of America)",23rd September 1986 (age 35),Steve Off,215 lbs. (98 kg) at 6'0'' (1.83 m),,,,
16947,Mike Speer,"Atlantic City, New Jersey (United States of America)",8th October 1984 (age 37),Ace Wylde,,,5'9'' (1.75 m),,
16948,unknown,"Bellevue, Kentucky (United States of America)",,Brandon Tolle,165 lbs. (75 kg) at 5'10'' (1.78 m),2003,,,
16949,unknown,Canada,,Gordon Gustav,175 lbs. (79 kg) at 5'9'' (1.75 m),,,,
16951,Brian George Cox,"Santa Ana, California (United States of America)",10th September 1969,Brian Cox,,,,23rd March 2003,
16952,Martin Karadayijan,"Buenos Aires, Ciudad Autónoma de Buenos Aires (Argentina)",20th April 1922,Martín Karadagián,210 lbs. (95 kg) at 5'7'' (1.70 m),,,27th August 1991,
16953,Juan Peralta,"Ciudad de México, Ciudad de México (Mexico)",,Red Master,,1998,,,
16954,unknown,Mexico,1st January 1985 (age 37),Payaso Arenita,,,,,
16956,Manuel Aceves,"Ciudad de México, Ciudad de México (Mexico)",1976,Hitman,,1994,,,
16957,unknown,Jalisco (Mexico),,Black Ninja,,,,,
16958,unknown,"Guadalajara, Jalisco (Mexico)",,Reggae Boy,,,,,
16959,unknown,Mexico,,Águila Real,,,,,
16960,unknown,Hidalgo (Mexico),,Ontario Jr.,,,,,
16962,unknown,Mexico,1994,Águila Real Jr.,,,,,
16963,unknown,Mexico,,El Duke,,,,,
16964,unknown,Mexico,,Relámpago Azul Jr.,,,,,
16968,unknown,,,Mike Blade,,,,,
16971,unknown,,,Gary the Freak,,,,,
16972,unknown,,,Ramón Rodríguez,,,,,
16973,Greg Rebello,"Providence, Rhode Island (United States of America)",13th June 1982 (age 39),Greg Rebello,205 lbs. (93 kg) at 6'0'' (1.83 m),26th February 2005 (17 years ago),,,
16974,unknown,,2nd June 1912,Leo Voss,,,,10th April 1989,
16975,O.L. Forrest Tennant,"Sherman, Texas (United States of America)",13th September 1907,Dutch Tennant,175 lbs. (79 kg) at 5'11'' (1.80 m),1925,,29th April 1990,
16976,Mathilda E. Belisle,,28th November 1899,Janet Henry,,1918,,22nd May 1990,
16977,Lee Roy Umbles,"Bowling Green, Kentucky (United States of America)",2nd April 1898,Lee Umbles,145 lbs. (66 kg) at 5'6'' (1.68 m),,,28th February 1974,
16978,Joseph Adelman,,30th January 1910,Joe Adelman,,,,3rd April 1991,
16982,unknown,,,Kanoa,216 lbs. (98 kg) at 6'3'' (1.91 m),24th April 2004 (17 years ago),,,
16983,unknown,,,Andrew MacLeod,,,,,
16984,Terry Archer,,,Terry Allen,217 lbs. (98 kg) at 5'10'' (1.78 m),21st October 1995 (26 years ago),,,
16985,unknown,,,Don DeCortez,,,,,
16986,unknown,,,Hank Lane,,,,,
16989,unknown,,,Arrick Andrews,,,,,
16991,unknown,United States of America,,Justin James,220 lbs. (100 kg) at 6'1'' (1.85 m),14th June 2003 (18 years ago),,,
16992,unknown,"Cambridge, Massachusetts (United States of America)",,Master J,213 lbs. (97 kg) at 5'11'' (1.80 m),10th September 1999 (22 years ago),,,
16994,Rex LaVerne Stover,,15th September 1921,Rex Stover,,,,29th September 1992,
16995,George Brydalski,,1918,George Butler,,,,27th May 1993,
16996,Ray A. McConnell,,13th March 1896,Ray McConnell,,,,28th July 1993,
16997,Manuel Enos,,15th January 1915,Tony Enos,,,,18th December 1993,
16998,Verlon Marion Biggs,"Moss Point, Mississippi (United States of America)",16th March 1943,Verlon Biggs,,,,7th June 1994,
17000,unknown,,,Michele Barone,,,,,
17001,Jean Favre,"Monthey, Wallis (Switzerland)",10th October 1887,Paul Favre,,,,18th September 1968,
17002,unknown,,,Sebastian Miller,,,,,
17004,unknown,Estado de México (Mexico),31st August 1977 (age 44),Wotan,,1999,,,
17007,Abraham González,Nuevo León (Mexico),,Diabolik,,2000,,,
17008,unknown,Mexico,,Rey Terco Jr.,,,,,
17009,Irving Said Gasca,Mexico,1992,El Hijo del Rey Terco,,,,,
17010,unknown,Mexico,,Dragón Mágico,,,,,
17011,unknown,Mexico,,Mr. Átomo,,,,,
17012,unknown,Mexico,,Zarpa Negra,,,,,
17013,unknown,Mexico,,Robotman Jr.,,,,,
17014,Fred Rubenstein,United States of America,,Fred Richards,,,,,
17015,unknown,Estado de México (Mexico),,Miranda,,,,,
17016,unknown,Guerrero (Mexico),,Piraña,,,,,
17017,unknown,Guerrero (Mexico),,Pez Tiburón,,,,,
17018,unknown,"Acapulco de Juárez, Guerrero (Mexico)",27th July 1970 (age 51),Pez Tigre,,,,,
17019,unknown,Estado de México (Mexico),,Nayely,,,,,
17020,unknown,,,Jack Morgan,,,,,
17021,unknown,,,Pete Sherman,,,,,
17022,unknown,,,Carlos Moreno,,,,,
17023,Wayne Cassibo,,14th March 1945,Wayne Cashman,,,,13th March 2001,
17025,Tony James Mitchell,"Scottsboro, Alabama (United States of America)",27th March 1965,Moose Mahoney,,,,21st February 2010,
17027,unknown,"Cicero, Illinois (United States of America)",,Tommy Capone,240 lbs. (109 kg) at 6'1'' (1.85 m),??th June 1992,,,
17028,unknown,"Madison, Wisconsin (United States of America)",,Tyler Baggins,,27th February 2009 (13 years ago),,,
17029,Lee H. Estabrook,"Schenectady, New York (United States of America)",17th July 1973,Core,205 lbs. (93 kg) at 5'10'' (1.78 m),,,25th June 2003,
17031,Jaime Cardriche,,20th March 1968,Harlem Warlord,,,7'0'' (2.13 m),28th July 2000,
17032,unknown,,,The Galactic Grappler,,,,,
17033,unknown,Illinois (United States of America),,X-Con,255 lbs. (116 kg) at 6'2'' (1.88 m),3rd March 2007 (15 years ago),,,
17034,unknown,United States of America,,Cousin Eddie,,,,,
17035,unknown,"Baton Rouge, Louisiana (United States of America)",,Nicholas H,190 lbs. (86 kg) at 6'2'' (1.88 m),,,,
17036,unknown,,,Skitz M. Jones,202 lbs. (92 kg) at 5'9'' (1.75 m),6th December 2008 (13 years ago),,,
17037,unknown,,,Xavier DeFaust,165 lbs. (75 kg) at 5'5'' (1.65 m),2006,,,
17038,unknown,,,The Great Malaki,232 lbs. (105 kg) at 6'0'' (1.83 m),2000,,,
17039,Edward E. Strevel,,21st August 1937,Dale Starr,,,,30th May 1989,
17040,unknown,,,Forsaken,285 lbs. (129 kg) at 6'7'' (2.01 m),??th May 1987,,,
17041,unknown,United States of America,,Chris Chaos,,,,,
17042,unknown,"Nashville, Tennessee (United States of America)",,Shane Morton,205 lbs. (93 kg) at 5'11'' (1.80 m),??th October 1990,,,
17044,unknown,Estado de México (Mexico),,Crazy Boricua,,,,,
17045,unknown,Estado de México (Mexico),,Redentor,,,,,
17046,unknown,"Calgary, Alberta (Canada)",,Cezar,236 lbs. (107 kg) at 5'10'' (1.78 m),21st October 2000 (21 years ago),,,
17047,unknown,Canada,,Logan Savage,210 lbs. (95 kg) at 5'10'' (1.78 m),??th February 2003,,,
17048,unknown,,,Louis Pergantas,,,,,
17050,Booker DeRousse,United States of America,,Booker DeRousse,,8th March 2008 (14 years ago),,,205 lbs. (93 kg)
17051,Pat Benson,United States of America,,Pat Benson,,18th March 2000 (22 years ago),,,155 lbs. (70 kg)
17052,Francisco France,"Fortaleza, Ceará (Brazil)",21st January 1983 (age 39),Francisco France,205 lbs. (93 kg) at 6'0'' (1.83 m),28th July 2008 (13 years ago),,,
17053,Lee Brousseau,United States of America,,Lee Brousseau,205 lbs. (93 kg) at 6'1'' (1.85 m),7th June 2008 (13 years ago),,,
17054,Mike Chandler,United States of America,,Michael Chandler,155 lbs. (70 kg) at 5'8'' (1.73 m),8th August 2009 (12 years ago),,,
17055,Geoff Byrd,"Fayetteville, North Carolina (United States of America)",,Hasheem Ali,325 lbs. (147 kg) at 6'0'' (1.83 m),,,,
17056,unknown,Jalisco (Mexico),3rd February 1985 (age 37),Quka,,20th November 2009 (12 years ago),5'8'' (1.73 m),,
17057,Jesse Finney,"St. Louis, Missouri (United States of America)",,Jesse Finney,170 lbs. (77 kg) at 6'0'' (1.83 m),8th March 2008 (14 years ago),,,
17059,unknown,"Kissimmee, Florida (United States of America)",1984,Gus Money,177 lbs. (80 kg) at 5'7'' (1.70 m),2005,,,
17060,Ralek Gracie,Brazil,4th October 1985 (age 36),Ralek Gracie,210 lbs. (95 kg) at 6'2'' (1.88 m),16th July 2007 (14 years ago),,,
17061,Rorion Gracie,"Río de Janeiro, Río de Janeiro (Brazil)",10th January 1952 (age 70),Rorion Gracie,,,,,
17065,Carlson Gracie,"Río de Janeiro, Río de Janeiro (Brazil)",13th August 1932,Carlson Gracie,,,,1st February 2006,
17066,Carlos Robson Gracie,"Río de Janeiro, Río de Janeiro (Brazil)",1935,Robson Gracie,,,,,
17067,Mark Epstein,United Kingdom,,Mark Epstein,,9th February 2003 (19 years ago),,,205 lbs. (93 kg)
17068,Charles Gracie,"Teresópolis, Río de Janeiro (Brazil)",,Charles Gracie,,7th July 1997 (24 years ago),,,
17069,Kyra Gracie Guimarães,"Río de Janeiro, Río de Janeiro (Brazil)",29th May 1985 (age 36),Kyra Gracie ,,,,,
17071,unknown,,,Paul Golden,,,,,
17072,Cornelius Augustus Berger,"Cedar Rapids, Iowa (United States of America)",30th April 1905,Casey Berger,240 lbs. (109 kg) at 6'0'' (1.83 m),18th November 1925 (96 years ago),,26th November 1985,
17073,unknown,,,Col. Harry J. Landry,,,,,
17074,unknown,"West Midlands, England (United Kingdom)",,Chris Coruso,,,,,
17075,Wallid Ismail,"Manaus, Amazonas (Brazil)",23rd February 1968 (age 54),Wallid Ismail,185 lbs. (84 kg) at 5'7'' (1.70 m),26th September 1991 (30 years ago),,,
17076,unknown,Mexico,,Hammer Fist,,,,,
17077,unknown,Mexico,,Rey Halcón,,,,,
17078,Dennis Kistulinic,,,Brood,,,,,
17079,Dave Kistulinic,,,Screamer,,,,26th April 2010,
17080,Nicholas M. George,,1910,Nick George,,,,XXXX,
17081,Harris Krakow,,10th September 1910,Kingfish Levinsky,,,,30th September 1991,
17082,unknown,Spain,,Carlos Moll,,,,,190 lbs. (86 kg)
17083,Ricardo Antonio Mayorga Pérez,Managua (Nicaragua),3rd October 1973 (age 48),Ricardo Mayorga,155 lbs. (70 kg) at 5'9'' (1.75 m),,,,
17084,Gregor Gracie,"Río de Janeiro, Río de Janeiro (Brazil)",1986,Gregor Gracie,170 lbs. (77 kg) at 5'11'' (1.80 m),23rd June 2007 (14 years ago),,,
17085,Carlson Gracie Jr.,"Río de Janeiro, Río de Janeiro (Brazil)",27th July 1969 (age 52),Carlson Gracie Jr.,,,,,
17086,Rodrigo Gracie,"Río de Janeiro, Río de Janeiro (Brazil)",11th March 1975 (age 47),Rodrigo Gracie,185 lbs. (84 kg) at 6'0'' (1.83 m),10th January 2000 (22 years ago),,,
17087,Crosley Gracie,"Río de Janeiro, Río de Janeiro (Brazil)",18th July 1979 (age 42),Crosley Gracie,195 lbs. (88 kg) at 5'11'' (1.80 m),31st August 2003 (18 years ago),,,
17088,Carlos Gracie Jr.,"Río de Janeiro, Río de Janeiro (Brazil)",17th January 1956 (age 66),Carlos Gracie Jr.,,,,,
17090,unknown,"Río de Janeiro, Río de Janeiro (Brazil)",20th April 1971 (age 50),Allan Goes,205 lbs. (93 kg) at 6'0'' (1.83 m),13th May 1995 (26 years ago),,,
17091,unknown,"Porto Alegre, Rio Grande do Sul (Brazil)",28th September 1966 (age 55),Mario Sperry,,,,,
17093,Mark Anthony Weir,"Gloucester, Gloucestershire, England (United Kingdom)",19th September 1967 (age 54),Mark Weir,185 lbs. (84 kg) at 6'2'' (1.88 m),29th May 2000 (21 years ago),,,
17094,Jean Silva,Brazil,20th June 1977 (age 44),Jean Silva,155 lbs. (70 kg) at 5'6'' (1.68 m),7th April 2002 (19 years ago),,,
17096,Scott McGregor,"Albany, New York (United States of America)",25th July 1984 (age 37),Vince Beach,240 lbs. (109 kg) at 6'2'' (1.88 m),,,,
17099,unknown,Jalisco (Mexico),24th August 1966 (age 55),Aladino,180 lbs. (82 kg) at 5'5'' (1.65 m),1982,,,
17100,Thomas Tassopulos,"Chicago, Illinois (United States of America)",28th December 1904,Tommy Tassos,180 lbs. (82 kg) at 5'7'' (1.70 m),,,14th May 1965,
17101,unknown,"Matamoros, Tamaulipas (Mexico)",29th January 1952 (age 70),Hampón X,207 lbs. (94 kg) at 5'5'' (1.65 m),15th November 1983 (38 years ago),,,
17102,unknown,"Monterrey, Nuevo León (Mexico)",2nd March 1981 (age 41),Zorillo,,,,,
17103,Guillermo Gómez,"Guadalupe, Nuevo León (Mexico)",20th December 1970 (age 51),Guillermo Gómez,,,,,
17104,Robert Morales,Texas (United States of America),21st September 1984 (age 37),Jaivo #6,230 lbs. (104 kg) at 5'7'' (1.70 m),28th June 1998 (23 years ago),,,
17105,unknown,Texas (United States of America),13th August 1979 (age 42),Poder Nocturno,175 lbs. (79 kg) at 5'6'' (1.68 m),17th October 2007 (14 years ago),,,
17107,unknown,Texas (United States of America),,Rayo Dorado Jr.,145 lbs. (66 kg) at 5'5'' (1.65 m),,,,
17108,unknown,Texas (United States of America),,El Hijo del Rayo Dorado,165 lbs. (75 kg) at 5'6'' (1.68 m),13th February 2010 (12 years ago),,,
17111,unknown,Texas (United States of America),,Misterio Rojo Jr.,260 lbs. (118 kg) at 5'9'' (1.75 m),1st March 2008 (14 years ago),,,
17112,unknown,Texas (United States of America),2nd April 1965 (age 56),Mr. Peligro,185 lbs. (84 kg) at 5'7'' (1.70 m),??th May 2005,,,
17113,Samuel Porter Leathers,"Kansas City, Kansas (United States of America)",24th February 1896,Sam Leathers,,,,4th February 1966,
17116,Nate Moore,"San José, California (United States of America)",,Nate Moore,170 lbs. (77 kg) at 6'0'' (1.83 m),6th July 2007 (14 years ago),,,
17118,Nathan Coy,"Portland, Oregon (United States of America)",,Nathan Coy,170 lbs. (77 kg) at 6'1'' (1.85 m),27th October 2007 (14 years ago),,,
17119,Kevin Casey,"Hawthorne, California (United States of America)",,Kevin Casey,185 lbs. (84 kg) at 5'11'' (1.80 m),17th September 2007 (14 years ago),,,
17120,Mario Loera,Texas (United States of America),2nd April ???,Rocker Boy,190 lbs. (86 kg) at 5'9'' (1.75 m),25th April 1999 (22 years ago),,,
17124,unknown,,,Joe Hubka,,,,,
17125,unknown,United States of America,20th October 1974 (age 47),Terror Negro,198 lbs. (90 kg) at 5'5'' (1.65 m),,,,
17128,unknown,Texas (United States of America),29th April 1973 (age 48),Puma del Norte,183 lbs. (83 kg) at 5'2'' (1.57 m),1994,,,
17129,unknown,Texas (United States of America),1st July 1987 (age 34),La Bestia Nocturna,170 lbs. (77 kg) at 5'6'' (1.68 m),3rd March 2007 (15 years ago),,,
17130,unknown,Texas (United States of America),,León Mágico,,,,,
17131,unknown,Mexico,17th May 1988 (age 33),Peligro,,,,,
17134,unknown,,,Ed Langley,,,,,
17135,unknown,"Spring Hill, Florida (United States of America)",,KC Andrews,221 lbs. (100 kg) at 6'2'' (1.88 m),28th December 2009 (12 years ago),,,
17136,unknown,Ontario (Canada),,Ianna Titus ,118 lbs. (54 kg) at 5'6'' (1.68 m),19th April 2009 (12 years ago),,,
17137,unknown,"St. Catharines, Ontario (Canada)",19th October 1987 (age 34),Scotty Turner,,,,,
17138,unknown,"Palm Beach, Florida (United States of America)",,Jamie Virtue,225 lbs. (102 kg) at 6'1'' (1.85 m),,,,
17139,William B. Hickson,Tennessee (United States of America),1913,Billy Hickson,,,,1st November 1984,
17140,Earl William James,"Grand Junction, Colorado (United States of America)",4th April 1910,Earl Malone,202 lbs. (92 kg) at 5'8'' (1.73 m),,,14th March 1984,
17141,unknown,,,Margaret Evans,,,,,
17142,unknown,,,Ed Helwig,,,,,
17143,Edwin Pelton Belshaw,North Dakota (United States of America),14th April 1908,Eddie Belshaw,,,,14th January 1934,
17144,unknown,,,Bob Hein,230 lbs. (104 kg) at 6'0'' (1.83 m),,,,
17145,Loren Curtis,,,L.C. Curtis,,,,,
17146,Michael John Gibbons,,,Mike Gibbons,,,,XXXX,
17147,unknown,,,Tony Marino,,,,,
17148,Ernest A. Ricci,,,Al Ritchie,,,,,
17149,Sterling J. Robson,,19th August 1915,Sterling Robson,,,,13th December 2000,
17150,Joseph Armando Tonti,"Wellsville, Ohio (United States of America)",7th May 1907,Joe Tonti,,,,24th October 1959,
17151,Louis C. Bacigalupo,"Philadelphia, Pennsylvania (United States of America)",2nd January 1908,Luigi Bacigalupi,,,,6th August 1966,
17153,José Francisco García,Mexico,,Chamuel,,,,,
17154,unknown,Mexico,,Silver,,,,,
17155,unknown,"Ciudad de México, Ciudad de México (Mexico)",29th October 1981 (age 40),Talaxys,,,,,
17156,Glen B. Munn,,17th September 1906,Glen Munn,,,6'6'' (1.98 m),13th February 1988,
17157,Albert Felix Pierotti,"Boston, Massachusetts (United States of America)",24th October 1895,Al Pierotti,,,,12th February 1964,
17158,Thomas Den Draak,"Rotterdam, Zuid-Holland (Netherlands)",5th September 1888,Tom Draak,220 lbs. (100 kg) at 5'11'' (1.80 m),,,28th September 1958,
17159,unknown,"Ludhiana, Punjab (India)",1902,Jagat Singh,,1930,,XXXX,
17160,Ferenc Holuban,,??th January 1888,Ferenc Holuban,,,,1945,
17161,unknown,,,Lucien Marc Christol,,,,,
17163,unknown,,,Jack Lutz,,,,,
17164,Bernard Joseph Lobsinger,"Hanover, Ontario (Canada)",21st May 1914,Barney Lobby,155 lbs. (70 kg) at 5'6'' (1.68 m),,,1st September 2000,
17165,Ugo DiCollelmo,Oklahoma (United States of America),19th December 1902,Casey Columbo,,,,7th May 1974,
17166,unknown,"New Haven, Connecticut (United States of America)",14th August 1982 (age 39),Mikhail Ivanov,267 lbs. (121 kg) at 6'6'' (1.98 m),26th January 2001 (21 years ago),,,
17168,John Beaver,"Davie, Florida (United States of America)",,John Ex Machina,,2015,,,
17169,unknown,"Moreno Valley, California (United States of America)",1984,Arik Royal,,,,,
17172,unknown,"High Point, North Carolina (United States of America)",8th May 1987 (age 34),Matt Smith,185 lbs. (84 kg) at 5'8'' (1.73 m),,,,
17173,Fernando Oropeza,Nuevo León (Mexico),,Fernando Oropeza,,,,,
17174,Rafael de la Rosa Rodríguez,Zacatecas (Mexico),,Raúl de la Rosa,,1954,,18th March 2006,
17175,unknown,Nuevo León (Mexico),19th May 1975 (age 46),Chucho Castillo Jr.,,,,,
17176,Juan Antonio Rodríguez Delgado,Zacatecas (Mexico),,Flecha Azul,185 lbs. (84 kg) at 5'9'' (1.75 m),1996,,,
17177,Óscar Treviæo Zoeæiga,"Torreón, Coahuila de Zaragoza (Mexico)",,El Fantastico #1,168 lbs. (76 kg) at 5'5'' (1.65 m),1992,,,
17178,Juan Treviæo Zoeæiga,"Torreón, Coahuila de Zaragoza (Mexico)",,El Fantastico #2,187 lbs. (85 kg) at 5'7'' (1.70 m),1993,,,
17179,unknown,Nuevo León (Mexico),,Vic Lara,,,,,
17181,Marisela Peña Roldan,Mexico,13th March ???,Marisela Peña Roldan ,,,,,
17182,Frank James Wallace,,1905,Frank Wallace,,,,1st March 1982,
17185,unknown,Mexico,21st October 1966 (age 55),Eclipse,140 lbs. (64 kg) at 5'6'' (1.68 m),??th May 1986,,,
17186,unknown,United States of America,21st November 1987 (age 34),Wings,120 lbs. (54 kg) at 5'2'' (1.57 m),??th July 2009,,,
17188,Donaciano Cisneros,,,El Emigrante,,,,,
17189,Michael Waylon Lowe,"Jefferson City, Tennessee (United States of America)",31st October 1980 (age 41),Waylon Lowe,155 lbs. (70 kg) at 5'7'' (1.70 m),20th May 2006 (15 years ago),,,
17190,Federico López,"Murrieta, California (United States of America)",4th January 1984 (age 38),Federico López,135 lbs. (61 kg) at 5'4'' (1.63 m),19th April 2008 (13 years ago),,,
