,Real Name,Birthplace,Date of Birth,wrestler_name,Weight and Height,Debut,Height,Date of Death,Weight
20029,Zachary Davis,"Washington, District of Columbia (United States of America)",,Zach Davis,170 lbs. (77 kg) at 6'1'' (1.85 m),29th September 2007 (14 years ago),,,
20031,Keon Caldwell,"Moultrie, Georgia (United States of America)",16th November 1989 (age 32),Keon Caldwell,170 lbs. (77 kg) at 5'9'' (1.75 m),22nd December 2007 (14 years ago),,,
20032,Michael Bowman,"Liverpool, Merseyside, England (United Kingdom)",,Mick Bowman,170 lbs. (77 kg) at 6'1'' (1.85 m),14th July 2007 (14 years ago),,,
20033,unknown,,,Rikibatsugan,,,,,
20034,Len Bentley,"Irving, Texas (United States of America)",30th November 1982 (age 39),Len Bentley,170 lbs. (77 kg) at 5'9'' (1.75 m),6th January 2007 (15 years ago),,,
20035,Nordin Asrih,"Düsseldorf, Nordrhein-Westfalen (Germany)",18th October 1978 (age 43),Nordin Asrih,170 lbs. (77 kg) at 6'0'' (1.83 m),28th February 2004 (18 years ago),,,
20036,unknown,,,Hakata Blabla,,,,,
20037,unknown,Japan,,SHOICHI,176 lbs. (80 kg) at 5'7'' (1.70 m),,,,
20038,unknown,"Fukuoka, Fukuoka (Japan)",,Revlon,165 lbs. (75 kg) at 5'7'' (1.70 m),5th July 2009 (12 years ago),,,
20039,unknown,,,Crewman Hirose,,,,,
20042,Richard LaFromboise,,,Sir Winston,,,,,
20043,Gervaise Jones,,1956,John Ruffen,,,,19th June 1982,
20044,unknown,,,Bill Kersten,,,,,
20045,unknown,Hidalgo (Mexico),,Despiadado,,,,,
20046,unknown,,,Adam Wylde ,,,,,
20047,unknown,,,Sonny Driver,,,,,
20049,unknown,"Ciudad de México, Ciudad de México (Mexico)",23rd February ???,La Bestia,,,,,
20051,Robert Stanley Dyrdek,,28th June 1974 (age 47),Kid Lightning,135 lbs. (61 kg) at 5'7'' (1.70 m),1st April 2011 (10 years ago),,,
20052,Utaifeua Tilo,"Honolulu, Hawaii (United States of America)",,Tilo Samoa,,,6'0'' (1.83 m),,
20055,unknown,Puebla (Mexico),,El Chavo del Ocho,,,,,
20057,Jimi Varner,,,Jimi V.,,,,,
20058,unknown,,,Nick Danger,,,,,
20059,unknown,,,Bob Garrett,,,,,
20061,Eddie Carnage,"Los Angeles, California (United States of America)",,Carnage,,,,,
20064,Fernando Hernández,"Ciudad de México, Ciudad de México (Mexico)",,El Tiburón Rojo,,1988,,,
