,Real Name,Weight and Height,Birthplace,wrestler_name,Debut,Height,Date of Birth,Date of Death,Weight
28321,Bradley Imes Smith,265 lbs. (120 kg) at 6'7'' (2.01 m),Missouri (United States of America),Brad Imes,21st October 2004 (17 years ago),,13th March 1977 (age 45),,
28322,John Gooden,,United Kingdom,John Gooden,,,,,
28323,unknown,145 lbs. (66 kg) at 5'7'' (1.70 m),"Yuma, Arizona (United States of America)",Alejandro García,14th September 2003 (18 years ago),,,,
28324,unknown,205 lbs. (93 kg) at 6'1'' (1.85 m),United States of America,Troy Miller,21st October 2004 (17 years ago),,,,
28326,Bobby Gerald Yarbrough,,,Billy Grant,,,,3rd April 2013,
28327,Monroe Galcatcher,,"Tahlequah, Oklahoma (United States of America)",Monroe Galcatcher,,,22nd November 1952,15th February 2013,
28328,unknown,,"Santiago de Querétaro, Querétaro Arteaga (Mexico)",El Castigador,,,31st May 1994 (age 27),,
28329,unknown,,"Tunnelhill, Pennsylvania (United States of America)",Daisy Mae ,1st July 2009 (12 years ago),,,,
28331,unknown,,"Nezahualcóyotl, Estado de México (Mexico)",Parkour,,,,,
28332,unknown,145 lbs. (66 kg) at 5'9'' (1.75 m),"Armadale, West Lothian, Scotland (United Kingdom)",Robert Whiteford,11th April 2009 (12 years ago),,12th April 1983 (age 38),,
28333,unknown,185 lbs. (84 kg) at 6'1'' (1.85 m),"Riverside, California (United States of America)",Sean Strickland,22nd March 2008 (13 years ago),,27th February 1991 (age 31),,
28334,unknown,125 lbs. (57 kg) at 5'5'' (1.65 m),"Greenville, South Carolina (United States of America)",Justin Scoggins,18th September 2010 (11 years ago),,2nd May 1992 (age 29),,
28335,unknown,134 lbs. (61 kg) at 5'2'' (1.57 m),"Umuarama, Paraná (Brazil)",Jessica Andrade ,6th September 2011 (10 years ago),,25th September 1991 (age 30),,
28336,unknown,,Tamaulipas (Mexico),Dragón Fly,,,,,
28337,unknown,176 lbs. (80 kg) at 5'9'' (1.75 m),"Nuevo Laredo, Tamaulipas (Mexico)",Fantasmita Dos Mil,,,4th July ???,,
28338,Roberto Martinez Ruiz,,"Mexicali, Baja California (Mexico)",Bobby Martínez,1st May 1953 (68 years ago),,5th August 1938,29th May 2021,
28339,unknown,132 lbs. (60 kg) at 5'3'' (1.60 m),"Mexicali, Baja California (Mexico)",Tronx,15th July 2007 (14 years ago),,23rd September 1987 (age 34),,
28340,unknown,350 lbs. (159 kg) at 6'2'' (1.88 m),"Stamford, Connecticut (United States of America)",Vladimir Joseph,??th August 2010,,26th July 1988 (age 33),,
28341,Tony Smith,,United States of America,Marc Harris,,,,,
28342,John Cone,174 lbs. (79 kg) at 5'9'' (1.75 m),,John Cone,??th August 1995,,16th November 1974 (age 47),,
28343,unknown,,Jalisco (Mexico),Muerte Bocanegra,,,,,
28344,unknown,,"Philadelphia, Pennsylvania (United States of America)",Oz Tyler,,,,,
28345,unknown,,Jalisco (Mexico),Súper Meteoro,,,,,
28347,unknown,198 lbs. (90 kg) at 5'11'' (1.80 m),Canada,Meniac MD,,,,,
28348,unknown,,Canada,Mascara Diablo,,,,,
28349,unknown,222 lbs. (101 kg) at 6'4'' (1.93 m),"Edmonton, Alberta (Canada)",Weird Johnny,,,,,
28350,unknown,173 lbs. (78 kg) at 5'11'' (1.80 m),"Edmonton, Alberta (Canada)",Sonic Insania,,,,,
28351,unknown,,Canada,Mutato,,,,,
28352,unknown,,Canada,Amish Kid,,,,,
28353,unknown,,,Scotty Raver,,,,,
28354,unknown,250 lbs. (113 kg) at 6'1'' (1.85 m),"Dover, New Jersey (United States of America)",Mark James,??th September 2000,,11th June 1979 (age 42),,
28355,unknown,120 lbs. (54 kg) at 5'1'' (1.55 m),Tallinn (Estonia),Gia Romero ,3rd August 2013 (8 years ago),,,,
28356,unknown,194 lbs. (88 kg) at 5'11'' (1.80 m),"Indianapolis, Indiana (United States of America)",Josh Crane,23rd August 2008 (13 years ago),,26th December 1994 (age 27),,
28357,Jacob Bevis,,,Seth Knight,,,,,
28358,Marvin G. Goodwin,,Tennessee (United States of America),Peck Goodwin,,,6th June 1901,14th April 1938,
28360,Barney Armstrong,,,Mickey ORourke,,,,,
28361,unknown,,Puebla (Mexico),Tiger Boy,,,,,
28363,unknown,254 lbs. (115 kg) at 5'11'' (1.80 m),"Veracruz, Veracruz de Ignacio de la Llave (Mexico)",Sepultura,20th November 2009 (12 years ago),,22nd August 1983 (age 38),,
28364,unknown,243 lbs. (110 kg) at 5'5'' (1.65 m),Puerto Rico,Black Baby,30th April 2000 (21 years ago),,,,
28365,unknown,194 lbs. (88 kg) at 5'9'' (1.75 m),Veracruz de Ignacio de la Llave (Mexico),Príncipe Infernal,31st January 2010 (12 years ago),,15th December 1989 (age 32),,
28366,unknown,225 lbs. (102 kg) at 5'11'' (1.80 m),Kentucky (United States of America),James Kendrick,2008,,22nd November 1986 (age 35),,
28367,unknown,,"Cincinnati, Ohio (United States of America)",Samantha Heights ,,,18th January 1989 (age 33),,
28368,unknown,,,Kaela ,,,,,
28370,unknown,,Mexico,Mini Gato Eveready,,,29th July 1986 (age 35),,
28371,unknown,,,Big Vigo,2002,,,,350 lbs. (159 kg)
