,Real Name,Weight and Height,Birthplace,wrestler_name,Debut,Height,Date of Birth,Date of Death,Weight
27123,unknown,224 lbs. (102 kg) at 5'8'' (1.73 m),Australia,Eddy Bombay,14th May 2011 (10 years ago),,,,
27124,unknown,158 lbs. (72 kg) at 5'9'' (1.75 m),Australia,The Wraith,6th December 2000 (21 years ago),,,,
27126,unknown,168 lbs. (76 kg) at 6'1'' (1.85 m),"Perth, Western Australia (Australia)",Scotty Ryan,29th April 2011 (10 years ago),,,,
27128,unknown,,Australia,El Jim Bob,5th December 2009 (12 years ago),,,,
27129,unknown,348 lbs. (158 kg) at 6'1'' (1.85 m),New South Wales (Australia),Mike Massive,2002,,,,
27130,unknown,143 lbs. (65 kg) at 5'4'' (1.63 m),Australia,Crazy Train,31st October 2009 (12 years ago),,,,
27131,unknown,220 lbs. (100 kg) at 6'2'' (1.88 m),Australia,Crimson Lightning,6th February 2010 (12 years ago),,,,
27132,unknown,200 lbs. (91 kg) at 6'1'' (1.85 m),Australia,Leo Pratt,27th November 2010 (11 years ago),,,,
27133,unknown,270 lbs. (122 kg) at 6'0'' (1.83 m),Australia,John Dozer,23rd March 2013 (8 years ago),,,,
27134,unknown,160 lbs. (73 kg) at 5'5'' (1.65 m),Australia,Jimmy Jamal Jenkins,5th December 2009 (12 years ago),,,,
27135,unknown,220 lbs. (100 kg) at 5'10'' (1.78 m),Australia,Pain,6th December 2008 (13 years ago),,,,
27136,unknown,,"Perth, Western Australia (Australia)",Michelle K. Hasluck ,6th September 2003 (18 years ago),5'9'' (1.75 m),,,
27139,unknown,,,Lord Cult,,,,,
27140,Laython E. Wilkerson,,,Mabutu,,,,,
27141,Raymond Morales,,,Kuvatro,,,,,
27142,unknown,,Baja California (Mexico),Dementor,,,,,
27143,unknown,,Baja California (Mexico),Tenebro,,,,,
27144,unknown,,Mexico,Guerrero Azteca,,,,,
27146,unknown,,Japan,Hatsuhinode Kamen ,1st January 2014 (8 years ago),,,,
27149,Douglas Sessa,,New York (United States of America),Braydon Knight,,,,,
27150,Eric Raley,,"Oak Ridge, Tennessee (United States of America)",Shane Andrews,,,6th June 1978 (age 43),,
27152,unknown,,,Frankie Villa,,,,,
27153,Curtis Filer,,"St. Charles, Missouri (United States of America)",Curtis Payne,,,,,
27154,unknown,,"Cypress, California (United States of America)",Ángel López,,,,,
27155,unknown,,New Jersey (United States of America),Chris Bohren,,,,,
27156,Melvin Moody,,Georgia (United States of America),The Crash Test Dummy,,,,,
27157,unknown,,San Luis Potosí (Mexico),Mágico,,,,,
27158,unknown,,Nuevo León (Mexico),Ruby González ,18th September 2011 (10 years ago),,,,
27159,Louis Long,220 lbs. (100 kg) at 6'2'' (1.88 m),"Buffalo, New York (United States of America)",Silent Warrior,7th November 2010 (11 years ago),,20th March 1976 (age 46),,
27160,Ryotsu Shimizu,198 lbs. (90 kg) at 5'9'' (1.75 m),"Tokyo, Tokyo (Japan)",BIG BOSS Shimizu,5th May 2013 (8 years ago),,26th October 1992 (age 29),,
27161,unknown,,,Jake Dennett,,,,,
27162,unknown,,"Louisville, Kentucky (United States of America)",Justin Storm,,,4th May 1991 (age 30),,
27164,Dale Gautreau,,"Port Coquitlam, British Columbia (Canada)",The Mighty I-Ton,,,,,
27166,unknown,,Mexico,La Diosa Maya,,,,,
27168,Mitsuko Koga,150 lbs. (68 kg) at 5'6'' (1.68 m),Gifu (Japan),Mitsuko Nishiwaki ,27th May 1985 (36 years ago),,2nd November 1967 (age 54),,
27169,unknown,,Nuevo León (Mexico),Artillero,,,23rd October 1986 (age 35),,
27172,unknown,,,Yachiyo Hirata,,,,,
27174,unknown,,Mexico,Súper Black,,,,,
27175,unknown,,Mexico,Príncipe Naveen,,,27th September ???,,
27176,unknown,,Mexico,Crazy Romance,,,,,
27177,unknown,,Mexico,Moix,,,,,
27178,unknown,,Mexico,Veneno Azteca,,,,,
27179,unknown,,"Naucalpan, Estado de México (Mexico)",Deirus Extreme,16th September 2009 (12 years ago),,10th December ???,,
27180,unknown,,Mexico,Payaso de Plata,,,15th June 1992 (age 29),,
27181,unknown,,Mexico,Capitán Titanio,,,,,
27183,unknown,,Veracruz de Ignacio de la Llave (Mexico),Zorek,,,,,
27184,unknown,,"Ciudad de México, Ciudad de México (Mexico)",Mini Demonio Gato,,,10th July 1979 (age 42),,
27185,unknown,,"Cancún, Quintana Roo (Mexico)",Crazy Bull,,,28th October 1993 (age 28),,
27186,unknown,,"Tame, Arauca (Columbia)",Colombian Jaguar,,,9th April 1948 (age 73),,
27187,Olan Walter Boynton,197 lbs. (89 kg) at 6'0'' (1.83 m),"Amarillo, Texas (United States of America)",Olan Boynton,,,7th March 1914,18th November 1950,
27188,John Gill,,United States of America,Johnny Thunder,,,,,
27189,Erica Montoya,125 lbs. (57 kg) at 5'5'' (1.65 m),United States of America,Erica Montoya ,4th January 1999 (23 years ago),,20th December 1984 (age 37),,
27190,unknown,223 lbs. (101 kg) at 6'3'' (1.91 m),,Mark Shurman,2011,,,,
27191,unknown,190 lbs. (86 kg) at 5'11'' (1.80 m),"Pittsburgh, Pennsylvania (United States of America)",Andrew Palace,,,,,
27192,Zoltán Kájel,,Hungary,Maurice LaChappelle,,,30th January 1910,25th August 1970,
27193,Aurèle Lebel,,Canada,Gene LaBelle,,,1908,1989,
27194,Louis Gyurcsak,195 lbs. (88 kg) at 5'10'' (1.78 m),"Chicago, Illinois (United States of America)",Louis Gyurcsak,,,21st June 1912,12th December 1974,
27195,unknown,,San Luis Potosí (Mexico),Miss Fantasy ,,,,,
27196,unknown,,Veracruz de Ignacio de la Llave (Mexico),Black Maravilla,,,8th July 1988 (age 33),,
27197,unknown,,"Tijuana, Baja California (Mexico)",Black Eder,,,,,
27198,unknown,,Puebla (Mexico),Bobby Jack,,,7th January 1966 (age 56),,
27199,unknown,,Mexico,Antheuz,,,,,
27200,unknown,155 lbs. (70 kg) at 5'8'' (1.73 m),"Mission Viejo, California (United States of America)",Chris Brennan,,,12th October 1971 (age 50),,
27201,Santo Sanna,,Italy,Dino Sanna,,5'7'' (1.70 m),1949,,
27202,unknown,106 lbs. (48 kg) at 5'2'' (1.57 m),"Nara, Nara (Japan)",Sumie Yoshino ,17th February 2013 (9 years ago),,3rd February 1983 (age 39),,
27204,unknown,,,Eric Adamz,26th September 2002 (19 years ago),,,,
27205,Dirk Cunningham,,,Dirk Extreme,,,,,
27207,unknown,,,JD Thunder,8th April 1995 (26 years ago),,24th September ???,,
27208,unknown,181 lbs. (82 kg) at 5'10'' (1.78 m),North Carolina (United States of America),Jixx,2010,,,,
27209,unknown,,"Torreón, Coahuila de Zaragoza (Mexico)",Microburst,2011,,1996,,
27210,unknown,,,Silvie Silver ,,,,,
27211,unknown,135 lbs. (61 kg) at 5'3'' (1.60 m),San Juan (Puerto Rico),Amber Rodríguez ,2012,,,,
27212,Tim Hall,187 lbs. (85 kg) at 5'6'' (1.68 m),,Tiny Tim,1998,,1978,,
27213,unknown,,,Daniel McStoots,,,,,
27214,unknown,,United States of America,Rocky Roman,,,1965,??th May 2013,
27215,unknown,165 lbs. (75 kg) at 5'4'' (1.63 m),"Fujioka, Gunma (Japan)",Ayumu Honda,8th April 2012 (9 years ago),,26th October 1988 (age 33),,
27216,unknown,,"Ciudad de México, Ciudad de México (Mexico)",Súper X,,,,,
27217,Michel Richard dos Prazeres,170 lbs. (77 kg) at 5'6'' (1.68 m),"Belém, Pará (Brazil)",Michel Prazeres,9th October 2000 (21 years ago),,,,
27218,Thomas C. Rumsby,,New Jersey (United States of America),Tom Rumsby,,,10th May 1944,10th July 2011,
27219,unknown,,,Bonnie Blackstone ,,,,,
27220,Hacran Dias,145 lbs. (66 kg) at 5'8'' (1.73 m),"Río de Janeiro, Río de Janeiro (Brazil)",Hacran Dias,13th August 2005 (16 years ago),,16th May 1984 (age 37),,
27221,Joao Zeferino,185 lbs. (84 kg) at 5'11'' (1.80 m),"Florianópolis, Santa Catarina (Brazil)",Joao Zeferino,26th November 2005 (16 years ago),,15th January 1986 (age 36),,
27222,unknown,,Mexico,Gran Danton Jr.,,,2nd December 1975 (age 46),,
27223,James Bruce Candler,180 lbs. (82 kg) at 6'2'' (1.88 m),,Jimmy Candler,,,19th August 1985,28th March 2010,
27224,Ryan McLain,275 lbs. (125 kg) at 6'0'' (1.83 m),,Tank McClain,,,,,
27225,Philip Stamper,200 lbs. (91 kg) at 5'8'' (1.73 m),,Phil Stamper,??th October 1999,,,,
27226,unknown,,,Mr. G.Q,,,,,
27227,unknown,,Coahuila de Zaragoza (Mexico),Lemorak,,,,,
27229,unknown,,,Al Schiller,,,,,
27230,Thomas Rossiaky,,"Hoffman Estates, Illinois (United States of America)",Judas Yorick,6th February 2010 (12 years ago),,,,
27231,unknown,225 lbs. (102 kg) at 5'10'' (1.78 m),"Bangor, Maine (United States of America)",The Northern Studd,11th March 2000 (22 years ago),,,,
27232,unknown,,"Ciudad de México, Ciudad de México (Mexico)",Shinigami,,,1st December 1984 (age 37),,
27233,unknown,,Querétaro Arteaga (Mexico),Star Boy,,,,,
27234,unknown,,"Santiago de Querétaro, Querétaro Arteaga (Mexico)",Morfeo,,,21st March ???,,
27235,unknown,,"San Luis Potosí, San Luis Potosí (Mexico)",Aero Fly,,,16th February ???,,
27236,unknown,,"San Luis Potosí, San Luis Potosí (Mexico)",Furia Azul Jr.,,,,,
27237,unknown,,Mexico,Aries,,,,,
27238,unknown,,"Morelia, Michoacán de Ocampo (Mexico)",Kringer,,,,,
27239,unknown,,Mexico,El Aparecido,,,,,
27240,Donald Howard,,"Evansville, Indiana (United States of America)",Daniel Eads,,,,,
27241,unknown,,"El Paso, Texas (United States of America)",Trimegistro,15th December 1999 (22 years ago),,15th December ???,,
27242,Lorenz López,,"Juárez, Chihuahua (Mexico)",Pantera Asesina,1986,,5th September 1969 (age 52),,
27243,unknown,,,Ice Cold Outlaw,,,,,
27244,unknown,,"Juárez, Chihuahua (Mexico)",Akantus,,,10th April ???,,
27245,unknown,,United States of America,Alvin Alvarez,,,,,
27246,unknown,187 lbs. (85 kg) at 5'9'' (1.75 m),United States of America,Chris Raze,,,,,
27247,unknown,110 lbs. (50 kg) at 5'1'' (1.55 m),"Pachuca, Hidalgo (Mexico)",Zuzu Divine ,2013,,4th March 1994 (age 28),,
27248,Lloyd Rooney,170 lbs. (77 kg) at 5'11'' (1.80 m),,Billy McNeil,17th September 1999 (22 years ago),,,,
27249,unknown,150 lbs. (68 kg) at 5'3'' (1.60 m),"Tulancingo de Bravo, Hidalgo (Mexico)",JC MaClean ,24th July 2012 (9 years ago),,23rd August 1993 (age 28),,
27250,unknown,,"Ciudad de México, Ciudad de México (Mexico)",Letty Star ,,,,,
27251,unknown,,"Pachuca, Hidalgo (Mexico)",GlaAzt,,,15th October 1983 (age 38),,
27252,unknown,,"Monterrey, Nuevo León (Mexico)",Volcan Negro,,,,,
27253,unknown,,"Monterrey, Nuevo León (Mexico)",Jaguar Boy,,,,,
27254,unknown,,"Monterrey, Nuevo León (Mexico)",Danger Boy,,,30th July 1991 (age 30),,
27255,unknown,,"Monterrey, Nuevo León (Mexico)",King Fénix,,,18th June 1985 (age 36),,
27256,unknown,,Nuevo León (Mexico),Chostoman,,,29th March 1982 (age 39),,
27257,unknown,,"Monclova, Coahuila de Zaragoza (Mexico)",Orfeo Negro,,,7th January 1995 (age 27),,
27258,unknown,,Mexico,Zagaz,,,,,
27259,unknown,,,Bo Johnson,,,,,
27260,unknown,207 lbs. (94 kg) at 5'11'' (1.80 m),Kentucky (United States of America),Scottie Murray,,,2nd October 1984 (age 37),,
27261,unknown,,"Villahermosa, Tabasco (Mexico)",Chicharito,,,,,
27262,unknown,,"Torreón, Coahuila de Zaragoza (Mexico)",Conflictus,,,1st July ???,,
27263,unknown,,Durango (Mexico),Dr. Maligno,,,,,
27264,unknown,,"San Diego, California (United States of America)",Marcus Knight,,,23rd November ???,,
27265,unknown,,Querétaro Arteaga (Mexico),Rey Toro #2,,,1st June 1980 (age 41),,
27266,unknown,,"Santiago de Querétaro, Querétaro Arteaga (Mexico)",Rey Toro #1,,,14th April 1985 (age 36),,
27267,unknown,,"Santiago de Querétaro, Querétaro Arteaga (Mexico)",Rey Toro #3,,,17th December 1982 (age 39),,
27269,unknown,200 lbs. (91 kg) at 5'11'' (1.80 m),"Cambridge, Massachusetts (United States of America)",Christian Tarr,22nd October 2005 (16 years ago),,24th April 1985 (age 36),,
27270,unknown,,United States of America,Jon Howard,,,,,
27271,unknown,,United States of America,Uncle Honkey,,,,,
27272,unknown,,"Pachuca, Hidalgo (Mexico)",Barrio Azteca,,,,,
27273,unknown,,United States of America,Brent Blades,,,,,
27274,unknown,,"Pachuca, Hidalgo (Mexico)",El Guardián Azteca,,,16th October 1994 (age 27),,
27275,unknown,,"Pachuca, Hidalgo (Mexico)",Horror,,,15th October 1994 (age 27),,
27276,unknown,,Hidalgo (Mexico),Símbolo Azteca,,,,,
27277,unknown,,"Pachuca, Hidalgo (Mexico)",De Luto Jr.,,,17th October 1993 (age 28),,
27278,unknown,,"Pachuca, Hidalgo (Mexico)",Évolo,,,30th January 1989 (age 33),,
27279,unknown,,"Pachuca, Hidalgo (Mexico)",Monarca Azul Jr.,,,15th December ???,,
27280,unknown,132 lbs. (60 kg) at 5'1'' (1.55 m),"Monterrey, Nuevo León (Mexico)",Katary ,??th November 2011,,30th March 1996 (age 25),,
27281,unknown,132 lbs. (60 kg) at 5'3'' (1.60 m),"Matamoros, Tamaulipas (Mexico)",Shekinah ,11th November 2012 (9 years ago),,24th June 1991 (age 30),,
27282,unknown,,"Ciudad de México, Ciudad de México (Mexico)",La Gacela ,1992,,10th March ???,,
27283,unknown,,"San Pedro Garza García, Nuevo León (Mexico)",Hestia Extreme,,,,,
27284,unknown,,"San Fernando, Tamaulipas (Mexico)",Rosvy el Gitano,3rd February 2012 (10 years ago),,24th August 1981 (age 40),,
27285,unknown,,Nuevo León (Mexico),Nube del Futuro,,,,,
27286,unknown,,Nuevo León (Mexico),Mini Bronco,,,,,
27287,unknown,230 lbs. (104 kg) at 5'11'' (1.80 m),New York (United States of America),Brett Mednik,19th June 2004 (17 years ago),,1987,,
27288,unknown,,"San Cristóbal de las Casas (Hueyzacatlán), Chiapas (Mexico)",Brillantina,,,,,
27289,unknown,,Mexico,Drakken,,,,,
27291,Andria Wawro,145 lbs. (66 kg) at 5'8'' (1.73 m),"Philadelphia, Pennsylvania (United States of America)",Andria Wawro ,15th October 2011 (10 years ago),,25th February 1978 (age 44),,
27294,unknown,,"Ciudad de México, Ciudad de México (Mexico)",Pequeño Gronda,,,7th March 1987 (age 35),,
27295,unknown,,"Xalapa Enríquez, Veracruz de Ignacio de la Llave (Mexico)",Ráfaga,,,15th November 1993 (age 28),,
27296,unknown,,"Xalapa Enríquez, Veracruz de Ignacio de la Llave (Mexico)",Kid Lobo,,,14th September 1997 (age 24),,
27299,Leona Fujinami,191 lbs. (87 kg) at 5'8'' (1.73 m),"Tokyo, Tokyo (Japan)",LEONA,29th May 2013 (8 years ago),,7th July 1993 (age 28),,
27300,unknown,375 lbs. (170 kg) at 6'5'' (1.96 m),"Chicago, Illinois (United States of America)",Bull Bronson,2011,,,,
27302,unknown,,,Keirin Man,,,,,
27305,unknown,,North Carolina (United States of America),Tha Chef,,,,,
27307,unknown,,,Lolita López,,,,,
27308,unknown,,"Pittsburgh, Pennsylvania (United States of America)",Ryan Nuzzi,,,,,
27309,unknown,,Mexico,El Ranchero,,,,,
27310,unknown,159 lbs. (72 kg) at 5'7'' (1.70 m),San Luis Potosí (Mexico),Acero Negro,,,,,
27311,unknown,,San Luis Potosí (Mexico),El Camaleón,,,,,
27312,unknown,,San Luis Potosí (Mexico),El Fuego de Plata,,,,,
27313,unknown,,San Luis Potosí (Mexico),Futuro Dos Mil,,,,,
27315,unknown,,San Luis Potosí (Mexico),Drack Conde,2002,,,,
27316,unknown,,San Luis Potosí (Mexico),Goblin,,,,,
27317,Adam Stegall,,,Scott Anderson,,,1981,29th May 2002,
27320,unknown,,Puebla (Mexico),Luna de Plata ,9th June 2010 (11 years ago),,,,
27321,unknown,,Mexico,King Azteca,,,,,
27322,unknown,,"Torreón, Coahuila de Zaragoza (Mexico)",Lady Star ,,,,,
27324,Jonathan Ramser,,"Louisville, Kentucky (United States of America)",Jonathan Ramser,2013,,,,
27325,unknown,,"Las Vegas, Nevada (United States of America)",Rafael López,,,,,
27326,unknown,,"London, Greater London, England (United Kingdom)",Johnny Gill,,,,,
27327,Adam Sullins,175 lbs. (79 kg) at 5'11'' (1.80 m),United States of America,Adam Sullins,2007,,5th July 1987 (age 34),,
27334,Antonio Braga Neto,185 lbs. (84 kg) at 6'3'' (1.91 m),"Manaus, Amazonas (Brazil)",Antonio Braga Neto,25th October 2006 (15 years ago),,29th October 1987 (age 34),,
27335,Jesús D. Vázquez,,,Chief Lone Eagle,,,16th September 1906,15th August 1995,
27336,Raymond Ernest Nieto,180 lbs. (82 kg) at 5'6'' (1.68 m),"El Paso, Texas (United States of America)",Chief Lone Eagle,,,15th December 1907,2nd January 1989,
27337,unknown,176 lbs. (80 kg) at 5'7'' (1.70 m),Puebla (Mexico),Águila Egipcia,2008,,3rd March 1993 (age 29),,
27341,unknown,,,Edward Faulk,,,1960,5th August 2010,
27342,Shawn T. Sullivan,,,Soundcheck Sully,,,23rd November 1985,7th June 2013,
27343,Ralph Roger Rhymer,,"Spartanburg, South Carolina (United States of America)",Red Rhymer,,,26th November 1948,1st June 2013,
27345,Roger E. Cox,,,Big Daddy Rog Cox,1994,,1970,6th June 2013,412 lbs. (187 kg)
27346,Shawn Belcher,,,Shawn Summers,,,,1st June 2013,
27347,Michael Lee Gill,320 lbs. (145 kg) at 6'0'' (1.83 m),,Bud Doobie,,,12th November 1979,24th April 2013,
27349,Raul M. Alatorre,,"Kansas City, Missouri (United States of America)",Raul Alatorre,,,24th August 1925,22nd July 2018,
27351,unknown,,Nuevo León (Mexico),La Rosa de Cadereyta,,,,,
27352,unknown,,"Monterrey, Nuevo León (Mexico)",Magistral,,,7th November 1995 (age 26),,
27353,unknown,,Nuevo León (Mexico),León Sanguinario,,,,,
27354,Antonio García González,,Mexico,Hermano Celestick #2,,,1993,,
27355,Alberto García González,,Veracruz de Ignacio de la Llave (Mexico),Hermano Celestick #1,,,1987,,
27356,unknown,,Mexico,Voladorcito Jr.,,,,,
27357,unknown,,Mexico,Mascarita Dorada #2,,,,,
27358,unknown,,Mexico,El Chacal,,,,,
27359,unknown,,Mexico,Súper Ciudadano,,,,,
27360,unknown,,"El Paso, Texas (United States of America)",Fusión,,,4th December 1982 (age 39),,
27361,unknown,196 lbs. (89 kg) at 5'7'' (1.70 m),"Palmer, Massachusetts (United States of America)",Danny Miles,,,,,
27363,Conrad Caron,,,Dick Caron,,,,19th December 1996,
27364,unknown,,,Pinky LaRue,16th May 1993 (28 years ago),,,,
27365,unknown,,,Ray Zills,,,,,
27366,unknown,,,Bad Boy Joe,,,,,
27367,unknown,,,Bill Frazier,,,,,
27369,unknown,,"Guadalajara, Jalisco (Mexico)",Vengador Nazi,,,7th August 1975 (age 46),,
27371,unknown,165 lbs. (75 kg) at 5'6'' (1.68 m),Mexico,Mr. Lady,20th October 1992 (29 years ago),,2nd December 1973 (age 48),,
27373,unknown,,Mexico,El Capo del Norte,,,,,
27374,unknown,,Mexico,Mini Canis Lupus,,,,,
27375,unknown,,Mexico,Súper Bracito,,,,??th June 2020,
27376,Russ Montalbano,,"Norristown, Pennsylvania (United States of America)",Russ Money,23rd November 1991 (30 years ago),,,,
27377,Jeff Evans,,,Jeff Grippley,,,,,
27378,unknown,,,John Savelieff,,,,,
27380,Robert H. Love,,Mississippi (United States of America),Billy Love,,,2nd November 1894,29th January 1969,
27382,Juan Morales Flores,185 lbs. (84 kg) at 5'5'' (1.65 m),"Matamoros, Tamaulipas (Mexico)",Jaivo #4,1993,,25th June 1977 (age 44),,
27383,René Rodríguez,215 lbs. (98 kg) at 5'7'' (1.70 m),"Matamoros, Tamaulipas (Mexico)",Ángel o Demonio,1980,,,,
27384,Arturo Yañez,187 lbs. (85 kg) at 5'8'' (1.73 m),"Matamoros, Tamaulipas (Mexico)",Crazy Boy,1992,,,,
27387,Mike Ward,,,Jesse Salica,,,,,
27388,Noel Raymond Holden,,Australia,Ray Holden,,,,,
27389,Jason Winn Bareford,,,JB Destiny,,,,,
27391,unknown,,,Klubber Korbelic,,,,,
27392,unknown,,San Luis Potosí (Mexico),Galaxia 79,,,,,
27393,unknown,,San Luis Potosí (Mexico),Venom,,,,,
27394,unknown,187 lbs. (85 kg) at 5'6'' (1.68 m),"Matamoros, Tamaulipas (Mexico)",Comandante Muerte,2005,,,,
27405,unknown,285 lbs. (129 kg) at 6'2'' (1.88 m),"Louisville, Kentucky (United States of America)",Terry Boddie,,,,,
27407,unknown,,,Bodacious Pretty Boy,1990,,27th August 1974 (age 47),,
27408,unknown,190 lbs. (86 kg) at 6'0'' (1.83 m),"Massillon, Ohio (United States of America)",Andrew Hunter,3rd August 2012 (9 years ago),,4th September 1987 (age 34),,
27409,unknown,,"Livermore, Kentucky (United States of America)",Nick Doepp,,,9th December 1993 (age 28),,
27410,unknown,,Hidalgo (Mexico),Comander,,,,,
27412,unknown,230 lbs. (104 kg) at 5'6'' (1.68 m),Tamaulipas (Mexico),Hell Boy,??th September 2012,,,,
27415,unknown,,"Ciudad de México, Ciudad de México (Mexico)",Fight Panther,,,26th March 1975 (age 46),,
27416,unknown,,Mexico,Ice Cobra,,,,,
27417,unknown,,"Ciudad de México, Ciudad de México (Mexico)",La Bruja,,,4th May 1988 (age 33),,
27419,Yasuko Mogi,123 lbs. (56 kg) at 5'5'' (1.65 m),"Tokyo, Tokyo (Japan)",Yasuko Mogi ,1998,,27th January 1969 (age 53),,
27420,Jade Marie Anderson,143 lbs. (65 kg) at 5'6'' (1.68 m),"Simi Valley, California (United States of America)",Jade Marie Anderson ,15th December 2012 (9 years ago),,,,
27421,Ikuma Hoshino,123 lbs. (56 kg) at 5'1'' (1.55 m),Japan,Ikuma Hoshino ,3rd May 2001 (20 years ago),,,,
27422,Yoshinori Takahashi,154 lbs. (70 kg) at 5'7'' (1.70 m),Ibaraki (Japan),Yoshinori Takahashi,26th August 2007 (14 years ago),,6th March 1975 (age 47),,
27423,Hirohide Fujinuma,,Japan,Hirohide Fujinuma,8th December 2002 (19 years ago),,,,198 lbs. (90 kg)
27424,Tom McKenna,135 lbs. (61 kg) at 5'11'' (1.80 m),"Louisville, Kentucky (United States of America)",Tom McKenna,20th September 2010 (11 years ago),,,,
27425,Hideki Kiyota,,Japan,Hideki Kiyota,6th February 2010 (12 years ago),,,,125 lbs. (57 kg)
27426,Peter Tornow,265 lbs. (120 kg) at 6'5'' (1.96 m),Berlin (Germany),Peter Tornow,29th October 2011 (10 years ago),,1st December 1975 (age 46),,
27427,Yuya Shibata,,Osaka (Japan),Yuya Shibata,3rd April 2011 (10 years ago),,13th May 1992 (age 29),,125 lbs. (57 kg)
27428,Takahiro Kajita,145 lbs. (66 kg) at 5'8'' (1.73 m),"Nagoya, Aichi (Japan)",Takahiro Kajita,28th March 2004 (17 years ago),,24th July 1976 (age 45),,
27429,Naoto Miyazaki,154 lbs. (70 kg) at 5'9'' (1.75 m),"Matsudo, Chiba (Japan)",Naoto Miyazaki,5th April 2008 (13 years ago),,19th September 1983 (age 38),,
27430,Noriko Okamoto,101 lbs. (46 kg) at 4'11'' (1.50 m),Niigata (Japan),Noriko Okamoto ,3rd September 2005 (16 years ago),,21st July 1981 (age 40),,
27431,Yu Fujimaki,,Tokyo (Japan),Yu Fujimaki,25th February 2012 (10 years ago),,,,154 lbs. (70 kg)
27432,Tamotsu Kitada,168 lbs. (76 kg) at 5'11'' (1.80 m),Toyama (Japan),Tamotsu Kitada,24th October 2004 (17 years ago),,16th October 1980 (age 41),,
27433,Toshinori Tsunemura,135 lbs. (61 kg) at 5'7'' (1.70 m),Tokyo (Japan),Toshinori Tsunemura,11th December 2010 (11 years ago),,,,
27434,Yusuke Sakashita,,Japan,Yusuke Sakashita,19th June 2005 (16 years ago),,,,184 lbs. (83 kg)
27435,Hiroshi Sato,135 lbs. (61 kg) at 5'4'' (1.63 m),Toyama (Japan),Hiroshi Sato,1st June 2008 (13 years ago),,16th October 1985 (age 36),,
27436,Koji Nakamura,154 lbs. (70 kg) at 5'7'' (1.70 m),Kyoto (Japan),Koji Nakamura,27th May 2007 (14 years ago),,26th August 1985 (age 36),,
27437,Doo Jae Jung,154 lbs. (70 kg) at 5'6'' (1.68 m),Seoul (South Korea),Doo Jae Jung,12th September 2004 (17 years ago),,29th December 1981 (age 40),,
27438,Isao Terada,145 lbs. (66 kg) at 5'7'' (1.70 m),"Matsubara, Osaka (Japan)",Isao Terada,13th July 2003 (18 years ago),,24th November 1983 (age 38),,
27439,Nobuhiro Yoshitake,133 lbs. (60 kg) at 5'5'' (1.65 m),Osaka (Japan),Nobuhiro Yoshitake,20th March 2004 (18 years ago),,16th January 1984 (age 38),,
27440,Yuta Nakamura,170 lbs. (77 kg) at 5'8'' (1.73 m),Japan,Yuta Nakamura,18th October 2003 (18 years ago),,23rd June 1982 (age 39),,
27441,Ryuji Ohori,201 lbs. (91 kg) at 5'11'' (1.80 m),Ibaraki (Japan),Ryuji Ohori,8th July 2005 (16 years ago),,15th May 1975 (age 46),,
27442,Akira Kibe,125 lbs. (57 kg) at 5'6'' (1.68 m),"Munakata, Fukuoka (Japan)",Akira Kibe,26th November 2001 (20 years ago),,7th October 1976 (age 45),,
27443,Hiroshi Umemura,139 lbs. (63 kg) at 5'7'' (1.70 m),Japan,Hiroshi Umemura,6th October 1999 (22 years ago),,22nd February 1972 (age 50),,
27444,Jun Ishii,254 lbs. (115 kg) at 6'0'' (1.83 m),"Hachioji, Tokyo (Japan)",Jun Ishii,1st July 2001 (20 years ago),,20th December 1975 (age 46),,
27445,Junpei Hamada,214 lbs. (97 kg) at 6'0'' (1.83 m),"Wakayama, Wakayama (Japan)",Junpei Hamada,7th February 2004 (18 years ago),,14th January 1978 (age 44),,
27446,Nobuhiro Obiya,154 lbs. (70 kg) at 5'7'' (1.70 m),Chiba (Japan),Nobuhiro Obiya,15th November 2002 (19 years ago),,15th January 1981 (age 41),,
27447,Ryuhei Sato,187 lbs. (85 kg) at 5'11'' (1.80 m),Yamagata (Japan),Ryuhei Sato,24th November 2003 (18 years ago),,25th March 1985 (age 36),,
27448,Isamu Sugiuchi,152 lbs. (69 kg) at 5'7'' (1.70 m),"Tokyo, Tokyo (Japan)",Isamu Sugiuchi,15th September 2003 (18 years ago),,16th February 1978 (age 44),,
27449,Naoki Seki,165 lbs. (75 kg) at 5'7'' (1.70 m),Kanagawa (Japan),Naoki Seki,7th September 2002 (19 years ago),,17th June 1976 (age 45),,
27450,Tomoyuki Fukami,148 lbs. (67 kg) at 5'8'' (1.73 m),"Kyoto, Kyoto (Japan)",Tomoyuki Fukami,8th December 2002 (19 years ago),,13th September 1978 (age 43),,
27451,Atsuhiro Tsuboi,154 lbs. (70 kg) at 5'6'' (1.68 m),"Nagoya, Aichi (Japan)",Atsuhiro Tsuboi,23rd November 2002 (19 years ago),,20th December 1972 (age 49),,
27452,Tyrone Glover,161 lbs. (73 kg) at 5'9'' (1.75 m),"San Antonio, Texas (United States of America)",Tyrone Glover,21st August 2003 (18 years ago),,29th September 1979 (age 42),,
27453,Yutaro Miyamoto,168 lbs. (76 kg) at 5'11'' (1.80 m),"Nobeoka, Miyazaki (Japan)",Yutaro Miyamoto,20th October 2002 (19 years ago),,3rd June 1980 (age 41),,
