,Date,Match,Promotion,Event,Rating,# of teams,Team Size,PPV,Wrestler 1,Wrestler 2,Wrestler 3,Wrestler 4,Wrestler 5,Wrestler 6,Wrestler 7,Wrestler 8,Wrestler 9,Wrestler 10,Wrestler 11,Wrestler 12
78,"December 6, 1996",The Holy Demon Army (Toshiaki Kawada and Akira Taue) vs. Jun Akiyama and Mitsuharu Misawa,AJPW,Real World Tag LeagueNight 16,5,2,2,TRUE,Toshiaki Kawada,Akira Taue,Jun Akiyama,Mitsuharu Misawa,,,,,,,,
79,"March 23, 1997",Bret Hart vs. Stone Cold Steve Austin,WWF,WrestleMania 13,5,2,1,TRUE,Bret Hart,Stone Cold Steve Austin,,,,,,,,,,
80,"June 5, 1997",Koji Kanemoto vs. El Samurai,NJPW,Best of the Super Juniors IVNight 17,5,2,1,TRUE,Koji Kanemoto,El Samurai,,,,,,,,,,
81,"June 6, 1997",Mitsuharu Misawa vs. Toshiaki Kawada,AJPW,Super Power SeriesNight 16,5,2,1,TRUE,Mitsuharu Misawa,Toshiaki Kawada,,,,,,,,,,
82,"October 5, 1997",Shawn Michaels vs. The Undertaker,WWF,In Your House 18: Badd Blood,5,2,1,TRUE,Shawn Michaels,The Undertaker,,,,,,,,,,
83,"December 5, 1997",The Holy Demon Army (Toshiaki Kawada and Akira Taue) vs. Jun Akiyama and Mitsuharu Misawa,AJPW,Real World Tag LeagueNight 15,5,2,2,TRUE,Toshiaki Kawada,Akira Taue,Jun Akiyama,Mitsuharu Misawa,,,,,,,,
84,"June 27, 1998",Kiyoshi Tamura vs. Tsuyoshi Kohsaka,RINGS,Fourth Fighting Integration,5,2,1,FALSE,Kiyoshi Tamura,Tsuyoshi Kohsaka,,,,,,,,,,
85,"October 31, 1998",Kenta Kobashi vs. Mitsuharu Misawa,AJPW,26th Anniversary Show,5,2,1,FALSE,Kenta Kobashi,Mitsuharu Misawa,,,,,,,,,,
86,"June 11, 1999",Mitsuharu Misawa vs. Kenta Kobashi,AJPW,Super Power SeriesNight 14,5,2,1,TRUE,Mitsuharu Misawa,Kenta Kobashi,,,,,,,,,,
87,"October 23, 1999",Mitsuharu Misawa and Yoshinari Ogawa vs. Burning (Kenta Kobashi and Jun Akiyama),AJPW,October Giant Series Night 11,5,2,2,FALSE,Mitsuharu Misawa,Yoshinari Ogawa,Kenta Kobashi,Jun Akiyama,,,,,,,,
88,"December 14, 2000",Masanobu Fuchi and Toshiaki Kawada vs. Takashi Iizuka and Yuji Nagata,NJPW,Judgment Day,5,2,2,TRUE,Masanobu Fuchi,Toshiaki Kawada,Takashi Iizuka,Yuji Nagata,,,,,,,,
89,"March 1, 2003",Mitsuharu Misawa vs. Kenta Kobashi,Noah,Navigate For Evolution,5,2,1,FALSE,Mitsuharu Misawa,Kenta Kobashi,,,,,,,,,,
90,"July 10, 2004",Kenta Kobashi vs. Jun Akiyama,Noah,Departure,5,2,1,TRUE,Kenta Kobashi,Jun Akiyama,,,,,,,,,,
91,"October 16, 2004",Samoa Joe vs. CM Punk,ROH,Joe vs. Punk II,5,2,1,FALSE,Samoa Joe,CM Punk,,,,,,,,,,
92,"September 11, 2005",Christopher Daniels vs. A.J. Styles vs. Samoa Joe,TNA,Unbreakable,5,3,1,TRUE,Christopher Daniels,A.J. Styles,Samoa Joe,,,,,,,,,
93,"October 1, 2005",Samoa Joe vs. Kenta Kobashi,ROH,Joe vs. Kobashi,5,2,1,FALSE,Samoa Joe,Kenta Kobashi,,,,,,,,,,
94,"March 31, 2006","Cima, Masato Yoshino, and Naruki Doi vs. Dragon Kid, Genki Horiguchi, and Ryo Saito",ROH,Supercard of Honor,5,2,3,FALSE,Cima,Masato Yoshino,Naruki Doi,Dragon Kid,Genki Horiguchi,Ryo Saito,,,,,,
95,"July 17, 2011",CM Punk vs. John Cena,WWE,Money in the Bank,5,2,1,TRUE,CM Punk,John Cena,,,,,,,,,,
96,"March 31, 2012",Davey Richards vs. Michael Elgin,ROH,Showdown in the Sun,5,2,1,TRUE,Davey Richards,Michael Elgin,,,,,,,,,,
97,"October 8, 2012",Hiroshi Tanahashi vs. Minoru Suzuki,NJPW,King of Pro Wrestling,5,2,1,TRUE,Hiroshi Tanahashi,Minoru Suzuki,,,,,,,,,,
98,"April 6, 2013",Hiroshi Tanahashi vs. Kazuchika Okada,NJPW,Invasion Attack,5,2,1,TRUE,Hiroshi Tanahashi,Kazuchika Okada,,,,,,,,,,
99,"August 4, 2013",Katsuyori Shibata vs. Tomohiro Ishii,NJPW,G1 Climax 23Night 4,5,2,1,TRUE,Katsuyori Shibata,Tomohiro Ishii,,,,,,,,,,
100,"October 14, 2013",Kazuchika Okada vs. Hiroshi Tanahashi,NJPW,King of Pro Wrestling,5,2,1,TRUE,Kazuchika Okada,Hiroshi Tanahashi,,,,,,,,,,
