,Real Name,Birthplace,wrestler_name,Date of Birth,Debut,Weight and Height,Date of Death,Height,Weight
29498,Delaney Owen,"Clearwater, Florida (United States of America)",Delaney Owen ,20th November 1992 (age 29),25th January 2014 (8 years ago),114 lbs. (52 kg) at 5'2'' (1.57 m),,,
29499,Sharon Jacobson,"Colorado Springs, Colorado (United States of America)",Sharon Jacobson ,,24th January 2014 (8 years ago),125 lbs. (57 kg) at 5'1'' (1.55 m),,,
29500,Shannon Sinn,"Broomfield, Colorado (United States of America)",Shannon Sinn ,,26th April 2014 (7 years ago),125 lbs. (57 kg) at 5'7'' (1.70 m),,,
29501,Maureen Riordon,"Denver, Colorado (United States of America)",Maureen Riordon ,,25th July 2014 (7 years ago),135 lbs. (61 kg) at 5'8'' (1.73 m),,,
29502,Roma Pawelek,Montana (United States of America),Roma Pawelek ,,29th November 2014 (7 years ago),135 lbs. (61 kg) at 5'6'' (1.68 m),,,
29503,Sijara Eubanks,Maryland (United States of America),Sijara Eubanks ,,12th October 2013 (8 years ago),125 lbs. (57 kg) at 5'3'' (1.60 m),,,
29504,Lance Palmer,"Sacramento, California (United States of America)",Lance Palmer,7th February 1988 (age 34),20th May 2011 (10 years ago),145 lbs. (66 kg) at 5'6'' (1.68 m),,,
29505,Luis Huete,"Calgary, Alberta (Canada)",Luis Huete,4th November 1990 (age 31),28th November 2008 (13 years ago),145 lbs. (66 kg) at 5'10'' (1.78 m),,,
29506,Rick Glenn,"Marshalltown, Iowa (United States of America)",Rick Glenn,12th April 1989 (age 32),29th July 2006 (15 years ago),145 lbs. (66 kg) at 6'0'' (1.83 m),,,
29507,Mickael Lebout,"Paris, Île-de-France (France)",Mickael Lebout,16th August 1987 (age 34),28th May 2011 (10 years ago),155 lbs. (70 kg) at 5'11'' (1.80 m),,,
29508,unknown,,Al Stecher,,,,,,
29509,Wendel de Oliveira Marques,"Río de Janeiro, Río de Janeiro (Brazil)",Wendell Oliveira,1st June 1983 (age 38),11th March 2006 (16 years ago),170 lbs. (77 kg) at 5'11'' (1.80 m),,,
29510,unknown,,Elias García,,,,,,
29511,unknown,"Saitama, Saitama (Japan)",Kuma Arashi,12th January 1991 (age 31),13th February 2015 (7 years ago),220 lbs. (100 kg) at 5'10'' (1.78 m),,,
29513,Andre Fili,"Federal Way, Washington (United States of America)",Andre Fili,25th June 1990 (age 31),12th December 2009 (12 years ago),145 lbs. (66 kg) at 5'10'' (1.78 m),,,
29514,Akbarh Arreola,"Tijuana, Baja California (Mexico)",Akbarh Arreola,14th January 1983 (age 39),8th September 2002 (19 years ago),155 lbs. (70 kg) at 5'10'' (1.78 m),,,
29515,Christos Giagos,"Hawthorne, California (United States of America)",Christos Giagos,23rd January 1990 (age 32),11th June 2010 (11 years ago),155 lbs. (70 kg) at 5'10'' (1.78 m),,,
29517,Bentley Syler Bellot,"Santa Cruz de la Sierra, Santa Cruz (Bolivia)",Bentley Syler,22nd December 1982 (age 39),13th April 2010 (11 years ago),125 lbs. (57 kg) at 5'4'' (1.63 m),,,
29521,Dakota Cochrane,"Fairbury, Nebraska (United States of America)",Dakota Cochrane,1st May 1986 (age 35),,155 lbs. (70 kg) at 5'8'' (1.73 m),,,
29522,Jonavin Webb,New Jersey (United States of America),Jonavin Webb,28th April 1989 (age 32),14th April 2012 (9 years ago),170 lbs. (77 kg) at 5'10'' (1.78 m),,,
29523,Shane Darryl Campbell,"Kelowna, British Columbia (Canada)",Shane Campbell,21st January 1988 (age 34),21st June 2008 (13 years ago),155 lbs. (70 kg) at 6'0'' (1.83 m),,,
29524,Derek Boyle,"Lethbridge, Alberta (Canada)",Derek Boyle,26th November 1984 (age 37),15th March 2008 (14 years ago),155 lbs. (70 kg) at 6'0'' (1.83 m),,,
29525,Noad Lahat,"San José, California (United States of America)",Noad Lahat,8th June 1984 (age 37),26th July 2008 (13 years ago),145 lbs. (66 kg) at 5'9'' (1.75 m),,,
29526,Angela Hill,"New York City, New York (United States of America)",Angela Hill ,12th January 1988 (age 34),26th April 2014 (7 years ago),115 lbs. (52 kg) at 5'3'' (1.60 m),,,
29527,Frankie Saenz,"Phoenix, Arizona (United States of America)",Frankie Saenz,12th August 1980 (age 41),14th November 2009 (12 years ago),125 lbs. (57 kg) at 5'6'' (1.68 m),,,
29528,Matt Dwyer,"Kelowna, British Columbia (Canada)",Matt Dwyer,17th December 1989 (age 32),20th August 2011 (10 years ago),170 lbs. (77 kg) at 6'4'' (1.93 m),,,
29529,Tiago dos Santos e Silva,Amapá (Brazil),Tiago dos Santos e Silva,12th April 1987 (age 34),29th May 2009 (12 years ago),155 lbs. (70 kg) at 5'10'' (1.78 m),,,
29530,Maryna Moroz,Dnipropetrowsk (Ukraine),Maryna Moroz ,9th August 1991 (age 30),23rd November 2013 (8 years ago),115 lbs. (52 kg) at 5'7'' (1.70 m),,,
29531,Karine Silva,Santa Catarina (Brazil),Karine Silva ,,22nd February 2014 (8 years ago),,,,115 lbs. (52 kg)
29532,unknown,Tokyo (Japan),Suguru Miyatake,24th May 1991 (age 30),16th March 2014 (8 years ago),198 lbs. (90 kg) at 5'10'' (1.78 m),,,
29533,unknown,"Nasushiobara, Tochigi (Japan)",Dai Suzuki,19th January 1990 (age 32),28th November 2014 (7 years ago),176 lbs. (80 kg) at 5'4'' (1.63 m),,,
29534,unknown,"Kumamoto, Kumamoto (Japan)",Kota Umeda,5th May 1995 (age 26),18th October 2014 (7 years ago),176 lbs. (80 kg) at 5'9'' (1.75 m),,,
29536,unknown,"Kyoto, Kyoto (Japan)",Ryota Nakatsu,23rd January 1991 (age 31),18th October 2014 (7 years ago),187 lbs. (85 kg) at 5'7'' (1.70 m),,,
29538,Kailin Curran,"Ewa Beach, Hawaii (United States of America)",Kailin Curran ,11th April 1991 (age 30),8th March 2013 (9 years ago),113 lbs. (51 kg) at 5'3'' (1.60 m),,,
29539,Gabrielle Holloway,Virginia (United States of America),Gabrielle Holloway,15th April 1990 (age 31),24th August 2012 (9 years ago),145 lbs. (66 kg) at 5'3'' (1.60 m),,,
29540,Brendan O'Reilly,"Brisbane, Queensland (Australia)",Brendan O'Reilly,24th June 1987 (age 34),18th April 2009 (12 years ago),155 lbs. (70 kg) at 5'7'' (1.70 m),,,
29541,Chris Honeycutt,"Brook Park, Ohio (United States of America)",Chris Honeycutt,25th July 1988 (age 33),26th January 2013 (9 years ago),170 lbs. (77 kg) at 5'10'' (1.78 m),,,
29542,Clayton MacFarlane,"Vista, California (United States of America)",Clayton MacFarlane,,28th July 2012 (9 years ago),170 lbs. (77 kg) at 5'11'' (1.80 m),,,
29543,Adam Piccolotti,"Half Moon Bay, California (United States of America)",Adam Piccolotti,23rd October 1988 (age 33),2nd November 2013 (8 years ago),,,,155 lbs. (70 kg)
29544,Andrew Ramm,"Bremerton, Washington (United States of America)",Andrew Ramm,,8th June 2013 (8 years ago),170 lbs. (77 kg) at 6'1'' (1.85 m),,,
29545,Jonathan Contrestano,"Visalia, California (United States of America)",Jonathan Contrestano,,27th January 2012 (10 years ago),,,,155 lbs. (70 kg)
29546,Ryan Tobar,"Oakdale, California (United States of America)",Ryan Tobar,,3rd August 2013 (8 years ago),,,,155 lbs. (70 kg)
29547,Nick Bustamante,"Fresno, California (United States of America)",Nick Bustamante,,11th May 2013 (8 years ago),170 lbs. (77 kg) at 5'9'' (1.75 m),,,
29548,Luis Jauregui,"Madera, California (United States of America)",Luis Jauregui,,10th January 2010 (12 years ago),155 lbs. (70 kg) at 5'7'' (1.70 m),,,
29549,Cody Sons,"Bakersfield, California (United States of America)",Cody Sons,,24th October 2014 (7 years ago),185 lbs. (84 kg) at 5'9'' (1.75 m),,,
29550,Smealinho Rama,"Calgary, Alberta (Canada)",Smealinho Rama,30th April 1992 (age 29),24th February 2012 (10 years ago),251 lbs. (114 kg) at 6'0'' (1.83 m),,,
29551,John Paul Elias,"Madera, California (United States of America)",John Paul Elias,,16th May 2010 (11 years ago),205 lbs. (93 kg) at 6'4'' (1.93 m),,,
29552,Chas Skelly,"Bedford, Texas (United States of America)",Chas Skelly,11th May 1985 (age 36),14th March 2009 (13 years ago),145 lbs. (66 kg) at 5'11'' (1.80 m),,,
29553,Emilio Chavez,"Fullerton, California (United States of America)",Emilio Chavez,,25th August 2007 (14 years ago),145 lbs. (66 kg) at 5'9'' (1.75 m),,,
29554,Levan Makashvili,"Hempstead, New York (United States of America)",Levan Makashvili,7th January 1989 (age 33),5th April 2013 (8 years ago),146 lbs. (66 kg) at 5'8'' (1.73 m),,,
29555,Art Arciniega,"Dos Palos, California (United States of America)",Art Arciniega,15th October 1981 (age 40),13th November 2005 (16 years ago),145 lbs. (66 kg) at 5'8'' (1.73 m),,,
29556,Ralph Waldo Hand,"Custer, South Dakota (United States of America)",Ralph Hand,21st May 1895,,,22nd November 1947,5'8'' (1.73 m),
29557,Milana Dudieva,"Vladikavkaz, Sewernaja Ossetija-Alanija (Russia)",Milana Dudieva ,8th April 1989 (age 32),28th February 2009 (13 years ago),136 lbs. (62 kg) at 5'5'' (1.65 m),,,
29558,Carlos Diego Ferreira,Amazonas (Brazil),Carlos Diego Ferreira,18th January 1985 (age 37),15th August 2011 (10 years ago),156 lbs. (71 kg) at 5'8'' (1.73 m),,,
29559,Lauren Smith,"Anchorage, Alaska (United States of America)",Lauren Murphy ,27th July 1983 (age 38),9th July 2010 (11 years ago),134 lbs. (61 kg) at 5'8'' (1.73 m),,,
29560,Alexander Yakovlev,"St. Petersburg, St. Petersburg (Russia)",Alexander Yakovlev,18th July 1984 (age 37),21st February 2004 (18 years ago),155 lbs. (70 kg) at 6'1'' (1.85 m),,,
29561,Shamil Abdurakhimov,"Machatschkala, Dagestan (Russia)",Shamil Abdurahimov,2nd September 1981 (age 40),19th April 2008 (13 years ago),255 lbs. (116 kg) at 6'3'' (1.91 m),,,
29562,Timothy Johnson,"Fargo, North Dakota (United States of America)",Timothy Johnson,,30th October 2010 (11 years ago),264 lbs. (120 kg) at 6'3'' (1.91 m),,,
29563,Ray Borg,"Albuquerque, New Mexico (United States of America)",Ray Borg,4th August 1993 (age 28),11th August 2012 (9 years ago),125 lbs. (57 kg) at 5'4'' (1.63 m),,,
29564,Chris Kelades,"Dartmouth, Nova Scotia (Canada)",Chris Kelades,21st February 1981 (age 41),9th May 2009 (12 years ago),125 lbs. (57 kg) at 5'6'' (1.68 m),,,
29565,Jim Alers,"Orlando, Florida (United States of America)",Jim Alers,14th October 1986 (age 35),23rd August 2008 (13 years ago),145 lbs. (66 kg) at 5'9'' (1.75 m),,,
29566,James Moontasri,"Los Angeles, California (United States of America)",James Moontasri,10th April 1988 (age 33),29th August 2008 (13 years ago),158 lbs. (72 kg) at 5'10'' (1.78 m),,,
29567,Cody Pfister,"Amarillo, Texas (United States of America)",Cody Pfister,12th July 1990 (age 31),5th February 2010 (12 years ago),155 lbs. (70 kg) at 5'10'' (1.78 m),,,
29568,Richardson Moreira,"Campinas, São Paulo (Brazil)",Richardson Moreira,31st March 1984 (age 37),6th November 2010 (11 years ago),205 lbs. (93 kg) at 6'2'' (1.88 m),,,
29569,unknown,"Stockholm, Stockholms (Sweden)",Nicholas Musoke,5th April 1986 (age 35),,170 lbs. (77 kg) at 6'0'' (1.83 m),,,
29570,Sultan Aliev,"Kaspiysk, Dagestan (Russia)",Sultan Aliev,17th September 1984 (age 37),9th April 2011 (10 years ago),185 lbs. (84 kg) at 6'0'' (1.83 m),,,
29571,Makwan Amirkhani,Ramadi (Iraq),Makwan Amirkhani,8th November 1988 (age 33),23rd October 2010 (11 years ago),150 lbs. (68 kg) at 5'11'' (1.80 m),,,
29572,Tony Christodoulou,Glyfada (Greece),Tony Christodoulou,30th July 1987 (age 34),20th March 2010 (12 years ago),155 lbs. (70 kg) at 5'9'' (1.75 m),,,
29573,Mirsad Bektic,Srebrenica (Bosnia and Herzegovina),Mirsad Bektic,16th February 1991 (age 31),30th July 2011 (10 years ago),145 lbs. (66 kg) at 5'8'' (1.73 m),,,
29574,Mairbek Mahaevich Taisumov,"Grozny, Chechnya (Russia)",Mairbek Taisumov,8th August 1988 (age 33),24th February 2007 (15 years ago),155 lbs. (70 kg) at 5'9'' (1.75 m),,,
29577,Joshua Woods,"Dallas, Texas (United States of America)",Josh Woods,,4th April 2015 (6 years ago),,,,
29580,William Casner,,Wild Bill Cody,??th December 1924,,,10th September 1958,,
29581,Paul Redmond,Dublin (Ireland),Paul Redmond,20th October 1986 (age 35),10th April 2010 (11 years ago),155 lbs. (70 kg) at 5'10'' (1.78 m),,,
29582,Konstantin Erokhin,"Moskwa, Moskwa (Russia)",Konstantin Erokhin,2nd January 1982 (age 40),6th April 2012 (9 years ago),233 lbs. (106 kg) at 5'11'' (1.80 m),,,
29583,Viktor Pesta,Príbram (Czech Republic),Viktor Pesta,15th July 1990 (age 31),5th December 2010 (11 years ago),240 lbs. (109 kg) at 6'3'' (1.91 m),,,
29584,Chris Wade,"New York City, New York (United States of America)",Chris Wade,30th September 1987 (age 34),18th November 2011 (10 years ago),155 lbs. (70 kg) at 5'9'' (1.75 m),,,
29585,Shane Howell,"Ada, Oklahoma (United States of America)",Shane Howell,28th November 1983 (age 38),20th January 2007 (15 years ago),125 lbs. (57 kg) at 5'8'' (1.73 m),,,
29586,Frankie Pérez,"Howell, New Jersey (United States of America)",Frankie Pérez,11th May 1989 (age 32),17th June 2011 (10 years ago),155 lbs. (70 kg) at 5'11'' (1.80 m),,,
29587,Tateki Matsuda,Japan,Tateki Matsuda,27th February 1986 (age 36),19th July 2008 (13 years ago),125 lbs. (57 kg) at 5'7'' (1.70 m),,,
29588,Joby Sánchez,"Albuquerque, New Mexico (United States of America)",Joby Sánchez,24th June 1991 (age 30),11th February 2011 (11 years ago),125 lbs. (57 kg) at 5'6'' (1.68 m),,,
29589,Sean O'Connell,"Salt Lake City, Utah (United States of America)",Sean O'Connell,2nd September 1983 (age 38),13th April 2007 (14 years ago),205 lbs. (93 kg) at 6'1'' (1.85 m),,,
29590,Rashid Magomedgadjiev Magomedov,"Machatschkala, Dagestan (Russia)",Rashid Magomedov,14th May 1984 (age 37),12th June 2008 (13 years ago),155 lbs. (70 kg) at 5'9'' (1.75 m),,,
29591,Antônio Carlos Júnior,"João Pessoa, Paraíba (Brazil)",Antonio Carlos Jr.,16th March 1990 (age 32),20th July 2013 (8 years ago),205 lbs. (93 kg) at 6'1'' (1.85 m),,,
29592,Mike Rhodes,"Waterloo, Iowa (United States of America)",Mike Rhodes,4th December 1989 (age 32),4th May 2012 (9 years ago),170 lbs. (77 kg) at 6'1'' (1.85 m),,,
29593,Elias Silverio,"Pirapora do Bom Jesus, São Paulo (Brazil)",Elias Silverio,22nd September 1986 (age 35),17th September 2011 (10 years ago),155 lbs. (70 kg) at 5'9'' (1.75 m),,,
29594,Renato Carneiro,"Brasília, Distrito Federal (Brazil)",Renato Carneiro,,20th March 2010 (12 years ago),145 lbs. (66 kg) at 5'11'' (1.80 m),,,
29595,Jerin Valel,"Winnipeg, Manitoba (Canada)",Jerin Valel,,15th March 2003 (19 years ago),,,,220 lbs. (100 kg)
29596,Yuta Sasaki,"Numazu, Shizuoka (Japan)",Yuta Sasaki,7th October 1989 (age 32),11th April 2010 (11 years ago),135 lbs. (61 kg) at 5'10'' (1.78 m),,,
29597,Yo Saito,"Sendai, Miyagi (Japan)",Yo Saito,26th January 1985 (age 37),2nd October 2005 (16 years ago),135 lbs. (61 kg) at 5'6'' (1.68 m),,,
29598,Kazuhiro Ito,Hiroshima (Japan),Kazuhiro Ito,20th February 1981 (age 41),26th November 2006 (15 years ago),143 lbs. (65 kg) at 5'9'' (1.75 m),,,
29599,Tomonori Taniguchi,Japan,Tomonori Taniguchi,1st November 1982 (age 39),22nd January 2004 (18 years ago),143 lbs. (65 kg) at 5'6'' (1.68 m),,,
29600,Yasuhiro Kanayama,Kyoto (Japan),Yasuhiro Kanayama,21st May 1978 (age 43),4th October 2003 (18 years ago),144 lbs. (65 kg) at 5'6'' (1.68 m),,,
29601,Yusaku Inoue,"Tokyo, Tokyo (Japan)",Yusaku Inoue,30th December 1988 (age 33),25th April 2009 (12 years ago),167 lbs. (76 kg) at 5'10'' (1.78 m),,,
29602,Masayoshi Kato,Osaka (Japan),Masayoshi Kato,29th February 1984 (age 38),11th March 2009 (13 years ago),115 lbs. (52 kg) at 5'6'' (1.68 m),,,
29603,Tadaaki Yamamoto,"Kobe, Hyogo (Japan)",Tadaaki Yamamoto,11th June 1986 (age 35),7th June 2009 (12 years ago),123 lbs. (56 kg) at 5'3'' (1.60 m),,,
29604,Shoki Omichi,Okayama (Japan),Shoki Omichi,3rd December 1987 (age 34),29th November 2009 (12 years ago),145 lbs. (66 kg) at 5'7'' (1.70 m),,,
29605,Akira Okada,"Shiojiri, Nagano (Japan)",Akira Okada,18th January 1987 (age 35),24th April 2010 (11 years ago),154 lbs. (70 kg) at 5'5'' (1.65 m),,,
29606,Kota Shimoishi,Osaka (Japan),Kota Shimoishi,26th June 1987 (age 34),1st November 2008 (13 years ago),154 lbs. (70 kg) at 5'6'' (1.68 m),,,
29607,Kosuke Suzuki,Chiba (Japan),Kosuke Suzuki,22nd October 1984 (age 37),23rd January 2010 (12 years ago),123 lbs. (56 kg) at 5'3'' (1.60 m),,,
29608,Leandro Issa,"Ubatuba, São Paulo (Brazil)",Leandro Issa,19th September 1983 (age 38),25th October 2006 (15 years ago),135 lbs. (61 kg) at 5'6'' (1.68 m),,,
29609,Marcio Alexandre Jr.,"Florianópolis, Santa Catarina (Brazil)",Marcio Alexandre Jr.,3rd May 1989 (age 32),21st August 2010 (11 years ago),170 lbs. (77 kg) at 6'0'' (1.83 m),,,
29610,Vitor Miranda,"Joinville, Santa Catarina (Brazil)",Vitor Miranda,10th March 1979 (age 43),27th November 2003 (18 years ago),185 lbs. (84 kg) at 6'1'' (1.85 m),,,
29611,Rodney Collier,"Cuba, Missouri (United States of America)",Jake Collier,23rd October 1988 (age 33),19th November 2010 (11 years ago),185 lbs. (84 kg) at 6'3'' (1.91 m),,,
29612,Bryan Barberena,"Minneapolis, Minnesota (United States of America)",Bryan Barberena,3rd May 1989 (age 32),10th October 2009 (12 years ago),155 lbs. (70 kg) at 6'0'' (1.83 m),,,
29613,William Barney,,Bill Barney,5th May 1913,,,14th May 1976,,
29614,unknown,Mexico,Aeroman,25th September 1993 (age 28),,,,,
29615,unknown,"Madero, Tamaulipas (Mexico)",Dragón Metálico,,,,,,
29617,Dasha Janis Kuret,"Orlando, Florida (United States of America)",Dasha Kuret ,17th April 1988 (age 33),10th April 2015 (6 years ago),,,5'3'' (1.60 m),
29618,unknown,"Saitama, Saitama (Japan)",Yuri Kotobuki ,16th February 1994 (age 28),7th June 2014 (7 years ago),115 lbs. (52 kg) at 5'4'' (1.63 m),,,
29619,Rafael Carvalho de Souza,"Río de Janeiro, Río de Janeiro (Brazil)",Rafael Carvalho ,27th July 1986 (age 35),17th December 2011 (10 years ago),185 lbs. (84 kg) at 6'3'' (1.91 m),,,
29620,Joseph Francis Schilling,"Dayton, Ohio (United States of America)",Joe Schilling,13th January 1984 (age 38),25th January 2008 (14 years ago),185 lbs. (84 kg) at 6'3'' (1.91 m),,,
29621,unknown,"Long Beach, California (United States of America)",A.J. McKee,,10th April 2015 (6 years ago),145 lbs. (66 kg) at 5'10'' (1.78 m),,,
29622,Justin Governale,"Laguna Hills, California (United States of America)",Justin Governale,,25th October 2013 (8 years ago),155 lbs. (70 kg) at 5'9'' (1.75 m),,,
29623,Jay Bogan,"Fullerton, California (United States of America)",Jay Bogan,,19th March 2011 (11 years ago),145 lbs. (66 kg) at 5'8'' (1.73 m),,,
29624,Chris Herrera,"Temecula, California (United States of America)",Chris Herrera,,17th November 2012 (9 years ago),170 lbs. (77 kg) at 5'8'' (1.73 m),,,
29625,Ozzy Dugulubgov,"Hackensack, New Jersey (United States of America)",Ozzy Dugulubgov,28th December 1988 (age 33),20th May 2011 (10 years ago),155 lbs. (70 kg) at 5'8'' (1.73 m),,,
29626,Lucas Montoya,"Roy, Utah (United States of America)",Lucas Montoya,16th September 1986 (age 35),10th August 2007 (14 years ago),155 lbs. (70 kg) at 5'11'' (1.80 m),,,
29627,Raymond Pina,"Tucson, Arizona (United States of America)",Raymond Pina,13th October 1990 (age 31),22nd November 2008 (13 years ago),155 lbs. (70 kg) at 5'9'' (1.75 m),,,
29628,Nick Newell,"Springfield, Massachusetts (United States of America)",Nick Newell,17th March ???,20th June 2009 (12 years ago),155 lbs. (70 kg) at 5'10'' (1.78 m),,,
29629,Joe Condon,"Victorville, California (United States of America)",Joe Condon,,15th September 2007 (14 years ago),156 lbs. (71 kg) at 6'0'' (1.83 m),,,
29630,Islam Mamedov,"Derbent, Dagestan (Russia)",Islam Mamedov,10th February 1990 (age 32),27th June 2009 (12 years ago),155 lbs. (70 kg) at 5'11'' (1.80 m),,,
29631,Leon Davis,"Springfield, Massachusetts (United States of America)",Leon Davis,,23rd July 2011 (10 years ago),155 lbs. (70 kg) at 6'1'' (1.85 m),,,
29632,Joe Taimanglo,Yona (Guam),Joe Taimanglo,27th June 1984 (age 37),30th April 2004 (17 years ago),135 lbs. (61 kg) at 5'4'' (1.63 m),,,
29633,Jesse McElligott,Massachusetts (United States of America),Jesse McElligott,30th May 1990 (age 31),5th March 2010 (12 years ago),195 lbs. (88 kg) at 6'0'' (1.83 m),,,
29634,Julio César Neves Jr.,"Balneário Camboriú, Santa Catarina (Brazil)",Julio César Neves Jr.,25th April 1994 (age 27),1st October 2011 (10 years ago),145 lbs. (66 kg) at 5'8'' (1.73 m),,,
29635,Jordan Parsons,"Fargo, North Dakota (United States of America)",Jordan Parsons,26th August 1990,23rd October 2010 (11 years ago),155 lbs. (70 kg) at 5'9'' (1.75 m),4th May 2016,,
29636,Scott Askham,"Doncaster, South Yorkshire, England (United Kingdom)",Scott Askham,25th May 1988 (age 33),1st October 2010 (11 years ago),185 lbs. (84 kg) at 6'3'' (1.91 m),,,
29637,Enrique Briones,"Tijuana, Baja California (Mexico)",Henry Briones,,27th January 2007 (15 years ago),135 lbs. (61 kg) at 5'7'' (1.70 m),,,
29638,Ricky Rainey,"Gastonia, North Carolina (United States of America)",Ricky Rainey,29th June 1983 (age 38),6th August 2011 (10 years ago),177 lbs. (80 kg) at 6'1'' (1.85 m),,,
29639,unknown,"Kawasaki, Kanagawa (Japan)",Mask de Sun ,29th February ???,30th April 2012 (9 years ago),,,,
29640,unknown,Yamagata (Japan),Rosa Bonita ,8th June ???,24th June 2012 (9 years ago),,,,
29641,unknown,Yamagata (Japan),Piyota Mask ,29th February ???,25th June 2011 (10 years ago),,,,
29645,unknown,Germany,Layla Rose ,,,,,5'9'' (1.75 m),
29649,unknown,United Kingdom,The Mexican Eagle,,,215 lbs. (98 kg) at 6'0'' (1.83 m),,,
29650,unknown,"Buckinghamshire, England (United Kingdom)",Scott Star,,,,,5'11'' (1.80 m),
29651,Samuel Stoker,United Kingdom,Sam Stoker,1994,,,,6'1'' (1.85 m),
29652,unknown,United Kingdom,Caz Crash,,,210 lbs. (95 kg) at 6'0'' (1.83 m),,,
29653,unknown,"Leeds, West Yorkshire, England (United Kingdom)",Dan James,,,192 lbs. (87 kg) at 6'2'' (1.88 m),,,
29655,unknown,"Sheffield, South Yorkshire, England (United Kingdom)",Sam Wilder,,,198 lbs. (90 kg) at 6'1'' (1.85 m),,,
29657,unknown,Netherlands,Jeff McCready,,,187 lbs. (85 kg) at 5'10'' (1.78 m),,,
29658,unknown,Netherlands,Jimmy Lightning,,,192 lbs. (87 kg) at 6'1'' (1.85 m),,,
29660,unknown,"Purmerend, Noord-Holland (Netherlands)",Richie Julio,,,172 lbs. (78 kg) at 6'0'' (1.83 m),,,
29661,unknown,"Eindhoven, Noord-Brabant (Netherlands)",Joel Vox,,,187 lbs. (85 kg) at 6'1'' (1.85 m),,,
29663,unknown,"Aberdeen, Aberdeen, Scotland (United Kingdom)",Mr. Paterson,,,160 lbs. (73 kg) at 5'8'' (1.73 m),,,
29664,unknown,United Kingdom,Kaden Garrick,,,180 lbs. (82 kg) at 5'6'' (1.68 m),,,
29666,Magomed Mustafaev,"Sochi, Krasnodar (Russia)",Magomed Mustafaev,2nd August 1988 (age 33),29th April 2011 (10 years ago),170 lbs. (77 kg) at 5'9'' (1.75 m),,,
29667,Kevin Rosier,"Buffalo, New York (United States of America)",Kevin Rosier,6th January 1962,12th November 1993 (28 years ago),253 lbs. (115 kg) at 6'4'' (1.93 m),14th April 2015,,
29669,Sheldon Westcott,"St. Albert, Alberta (Canada)",Sheldon Westcott,20th August 1984 (age 37),17th August 2007 (14 years ago),184 lbs. (83 kg) at 6'1'' (1.85 m),,,
29670,Robert C. Golden,"Plymouth, Indiana (United States of America)",Bobby Golden,21st August 1946,,,5th February 1991,,
29671,Barbara Buttrick,"Cottingham, East Yorkshire, England (United Kingdom)",Barbara Buttrick,??th March 1930,,98 lbs. (44 kg) at 4'11'' (1.50 m),,,
29672,unknown,"Skelmersdale, Lancashire, England (United Kingdom)",Danielle Hunter ,23rd May 1990 (age 31),7th July 2013 (8 years ago),163 lbs. (74 kg) at 4'11'' (1.50 m),,,
29675,unknown,"Cadereyta Jiménez, Nuevo León (Mexico)",Príncipe Galileo,17th October ???,,,,,
29676,unknown,"Monterrey, Nuevo León (Mexico)",Dr. Monster,15th August 1992 (age 29),,,,,
29677,unknown,"Monterrey, Nuevo León (Mexico)",Génesis,15th May 1984 (age 37),,,,,
29679,unknown,Oaxaca (Mexico),Fire Man,8th February 1997 (age 25),2nd July 2013 (8 years ago),,,,
29680,Ivonne Valencia,Mexico,Valentina ,11th July 1984 (age 37),,,,,
29681,unknown,"Nezahualcóyotl, Estado de México (Mexico)",Shaman Jr.,,,,,,
29682,unknown,"Santa Anita, Jalisco (Mexico)",Goskart,8th August 1993 (age 28),,,,,
29683,unknown,Estado de México (Mexico),Heredero Maya,,,,,,
29684,unknown,"Ciudad de México, Ciudad de México (Mexico)",Infinity,11th June 1994 (age 27),,,,,
29685,unknown,"Ciudad de México, Ciudad de México (Mexico)",El Puma Galáctico,,,,,,
29686,unknown,"Guadalajara, Jalisco (Mexico)",Maligno,,,,,,
29687,unknown,"Guadalajara, Jalisco (Mexico)",Azteca Warrior,14th July 1988 (age 33),,,,,
29688,Gene Donaldson,"Mount Ayr, Indiana (United States of America)",Gene Donaldson,29th September 1930,19th February 1953 (69 years ago),,XXXX,,
29698,unknown,,Barry Collie,,,,,,
29701,unknown,"Adachi, Tokyo (Japan)",Eri ,23rd July 1993 (age 28),23rd January 2011 (11 years ago),110 lbs. (50 kg) at 5'0'' (1.52 m),,,
29702,unknown,Dorado (Puerto Rico),Ray González Jr.,,4th April 2015 (6 years ago),,,,
29704,unknown,Japan,Tatsuo Omori,12th February 1993 (age 29),22nd February 2015 (7 years ago),198 lbs. (90 kg) at 5'11'' (1.80 m),,,
29706,unknown,Aichi (Japan),Orca Uto,12th May 1988 (age 33),22nd February 2015 (7 years ago),220 lbs. (100 kg) at 6'0'' (1.83 m),,,
29710,Daniel C. Schwartz,"Williamstown, New Jersey (United States of America)",Jimmy Clydesdale,30th January 1984,,,9th May 2015,,
29711,Emily June Arthur Clark,"Munford, Tennessee (United States of America)",Emily Arthur,13th October 1957,,,7th May 2015,,
29712,Shiro Tomoyose,"Okinawa, Okinawa (Japan)",Shiro Tomoyose,17th June 1991 (age 30),21st May 2015 (6 years ago),209 lbs. (95 kg) at 5'7'' (1.70 m),,,
29713,unknown,,Jerry Maywald,,,,,,
29714,unknown,"Kissimmee, Florida (United States of America)",Austynn Madison ,13th November 1997 (age 24),17th November 2012 (9 years ago),115 lbs. (52 kg) at 5'6'' (1.68 m),,,
