,Real Name,Birthplace,wrestler_name,Date of Birth,Debut,Weight and Height,Date of Death,Height,Weight
29153,unknown,"Leesburg, Virginia (United States of America)",Jon Williams,,,,,,
29154,unknown,New York (United States of America),Jonathan Grover,,,150 lbs. (68 kg) at 5'10'' (1.78 m),,,
29155,unknown,,Leo Gold,,,250 lbs. (113 kg) at 6'2'' (1.88 m),,,
29156,Mike Parrow,"Troy, New York (United States of America)",Parrow,,19th February 2010 (12 years ago),250 lbs. (113 kg) at 6'3'' (1.91 m),,,
29157,unknown,"Lafayette, Louisiana (United States of America)",Sebastian Crane,,,,,,
29158,unknown,"New York City, New York (United States of America)",The Puerto Rican Hound Dogg,,,284 lbs. (129 kg) at 6'0'' (1.83 m),,,
29159,unknown,Egypt,Sobeq Ra,,,,,,
29160,unknown,"Danbury, Connecticut (United States of America)",BJ Murdoch,,,,,,
29161,unknown,United States of America,Psycho Stan,24th September ???,,,,,
29162,unknown,"Dayton, Ohio (United States of America)",Justin Michaels,,,,,,
29163,Joseph John Carr,Minnesota (United States of America),Joe Carr,20th August 1890,,158 lbs. (72 kg) at 5'5'' (1.65 m),8th July 1947,,
29167,Brian Brock,Florida (United States of America),Leo Brien,,28th April 2012 (9 years ago),,,,
29172,unknown,"Amboy, Illinois (United States of America)",Cameron Jacobs,,,,,,
29173,unknown,"Fort Worth, Texas (United States of America)",Max Beckett,,2019,,,,
29175,Michael Vincent Young,Pennsylvania (United States of America),MV Young,,20th December 2013 (8 years ago),209 lbs. (95 kg) at 5'10'' (1.78 m),,,
29179,Ronald Moore,"Winter Park, Florida (United States of America)",Tyranus,,,264 lbs. (120 kg) at 6'7'' (2.01 m),,,
29182,Josh Fleischman,,Josh Parker,,,,,,
29184,unknown,,Polo Cordova,,,,,,
29187,Luis Enrique Ramírez Alvarado,Estado de México (Mexico),Cyberman,1989,2009,,,,
29188,unknown,"Somers Point, New Jersey (United States of America)",Kris Levin,,21st June 2008 (13 years ago),141 lbs. (64 kg) at 5'8'' (1.73 m),,,
29189,unknown,Indiana (United States of America),Jason Harding,,1998,150 lbs. (68 kg) at 5'10'' (1.78 m),,,
29190,unknown,"Detroit, Michigan (United States of America)",Alex Decay,,,229 lbs. (104 kg) at 6'1'' (1.85 m),,,
29191,Lisa Evers,,Lisa Sliwa,15th June 1963 (age 58),,,,,
29192,unknown,Bosnia and Herzegovina,Spi-Ral,22nd April 1986 (age 35),,200 lbs. (91 kg) at 6'0'' (1.83 m),,,
29193,unknown,,Coach Havens,,,,,,
29194,unknown,,Moondog Bernard,,,,,,
29195,unknown,,Stevie Fierce,,,,,,
29196,Justin Allen,,Judd the Janitor,,,,,,
29197,unknown,,Rob Matter,,,,,,
29198,Terry Eugene Thompson,"Dixon, Illinois (United States of America)",Double T,,,,,,
29199,unknown,,Fat Stanley,,,,,,
29200,Jeff Irons,"Peoria, Illinois (United States of America)",GW Beck,,,,,,
29201,unknown,,Eli Machete,,,,,,
29202,unknown,"Chicago, Illinois (United States of America)",Paco González,,,,,,
29203,Corey Randolph,"Philadelphia, Pennsylvania (United States of America)",Hyena Hexx,,2017,,,,
29207,unknown,"Houston, Texas (United States of America)",Nick Legit,21st January ???,6th September 2013 (8 years ago),230 lbs. (104 kg) at 5'8'' (1.73 m),,,
29208,unknown,,Victoria Ventress ,,,,,,
29209,Jaden Newman,"Bridgeport, Alabama (United States of America)",Jaden Newman,28th June 1998 (age 23),3rd August 2013 (8 years ago),189 lbs. (86 kg) at 6'0'' (1.83 m),,,
29210,unknown,,Jason Maxx,,,,,,
29211,Bradley Steven Kirkland,"Seymour, Tennessee (United States of America)",Brad Cash,26th January 1991 (age 31),??th June 2009,290 lbs. (132 kg) at 6'3'' (1.91 m),,,
29212,unknown,,James Hardy,,,,,,
29213,unknown,,Amos Moses,,,,,,
29214,unknown,,Dusty MacWilliams,,,,,,
29215,unknown,,Shane Daniels,,,,,,
29216,unknown,,Big Tomb,,,,,,
29217,unknown,Alaska (United States of America),Donnie Janela,,,,,,
29218,unknown,,Chris McCain,,,,,,
29219,unknown,Georgia (United States of America),Mongrel,,,,,,233 lbs. (106 kg)
29220,unknown,,Gene Jackson,,,,,,
29221,unknown,,Elrod Campbell,,,,,,
29222,unknown,,Sean Nelson,,,,,,
29223,unknown,"Scottsboro, Alabama (United States of America)",Tyler Gage,,,,,,
29224,unknown,"Austell, Georgia (United States of America)",Dameon Ceretone,,,,,,165 lbs. (75 kg)
29225,unknown,"Houston, Texas (United States of America)",Roni Nicole ,,,,,,
29226,unknown,"Ciudad de México, Ciudad de México (Mexico)",Hantar,23rd November ???,,,,,
29229,unknown,,Mike Blackwell,,,,,,
29230,unknown,"Baton Rouge, Louisiana (United States of America)",Tony Banks,,,250 lbs. (113 kg) at 6'2'' (1.88 m),,,
29231,unknown,North Carolina (United States of America),Judas Coltrain,,,220 lbs. (100 kg) at 6'3'' (1.91 m),,,
29232,unknown,South Carolina (United States of America),Evan Craig,,,,,5'9'' (1.75 m),
29234,unknown,"Orlando, Florida (United States of America)",Ace Radic,,,,,,
29235,unknown,Pennsylvania (United States of America),Bo Nekoda,,,,,,
29236,unknown,,Dynamite DiDi ,,,,,,
29237,unknown,,Callista ,,,,,,
29238,unknown,,Regina ,,,,,,
29239,unknown,,Charlie Albenasi,,,,,,
29240,unknown,Mexico,Aero Chica ,22nd January 1998 (age 24),,,,,
29241,unknown,Mexico,Mini Drago,21st December 1988 (age 33),21st February 2004 (18 years ago),,,,
29242,unknown,"Chicago, Illinois (United States of America)",Aniviel ,,,,,,
29243,unknown,"Springfield, Ohio (United States of America)",Christopher,,,325 lbs. (147 kg) at 6'3'' (1.91 m),,,
29244,unknown,"Chicago, Illinois (United States of America)",Eric St. Vaughn,,,200 lbs. (91 kg) at 5'11'' (1.80 m),,,
29245,unknown,"Sand Springs, Oklahoma (United States of America)",Nathan Estrada,16th July ???,1st March 2014 (8 years ago),185 lbs. (84 kg) at 6'0'' (1.83 m),,,
29247,Lawrence Grant Bennett,"Woodland, Washington (United States of America)",Larry Bennett,20th January 1904,,,1st October 1998,,
29249,Kevin A. McCone,"Taunton, Massachusetts (United States of America)",Mo Pain,1970,,,7th January 2009,,
29250,unknown,,Frankie Rogan,,,,??th November 1998,,
29252,David B. Gillespie,"Pottsville, Pennsylvania (United States of America)",DZ Gillespie,26th October 1965,,,24th September 2016,,
29253,unknown,United States of America,Vinnie Camacho,17th February ???,15th March 2013 (9 years ago),200 lbs. (91 kg) at 5'11'' (1.80 m),,,
29254,unknown,"Carlisle, Pennsylvania (United States of America)",Danny Able,1990,,,,,
29255,unknown,,Levi Connors,,,,,,
29256,unknown,"Monterrey, Nuevo León (Mexico)",Aero Power,10th June 1994 (age 27),24th August 2013 (8 years ago),,,,
29257,unknown,"Monterrey, Nuevo León (Mexico)",Gallardo,,,,,,
29258,unknown,Veracruz de Ignacio de la Llave (Mexico),Rey Apocalipsis,19th April 1980 (age 41),,,,,
29260,Javier Ochoa Berastegui,"Urdiain, Navarra (Spain)",Javier Ochoa,1885,,,XXXX,,
29261,unknown,,Kenneth K. Kenneth,17th November ???,21st April 2012 (9 years ago),175 lbs. (79 kg) at 5'10'' (1.78 m),,,
29262,unknown,Estado de México (Mexico),El Mercenario de la Muerte,,,,,,
29263,unknown,"Ciudad de México, Ciudad de México (Mexico)",Tigre Nahual,,,,,,
29264,unknown,"Ciudad de México, Ciudad de México (Mexico)",Mr. Tatuaje,20th June ???,,,,,
29265,unknown,"Ciudad de México, Ciudad de México (Mexico)",Vengador Galáctico,22nd May 1989 (age 32),,,,,
29266,unknown,"Ciudad de México, Ciudad de México (Mexico)",Manchas,10th January 1995 (age 27),,,,,
29268,unknown,"Ciudad de México, Ciudad de México (Mexico)",Fuerza Negra,18th October 1981 (age 40),,,,,
29271,unknown,,Johanna Jäger ,,,,,,
29273,unknown,"Tampico, Tamaulipas (Mexico)",El Patriarca,26th February 1994 (age 28),,,,,
29274,unknown,Mexico,Blue Monster,,,,,,
29275,unknown,"Sand Springs, Oklahoma (United States of America)",Lil G,19th June ???,,,,4'2'' (1.27 m),
29276,unknown,"Bartlesville, Oklahoma (United States of America)",Abel,22nd August ???,8th March 2014 (8 years ago),220 lbs. (100 kg) at 6'2'' (1.88 m),,,
29277,unknown,"Scottsdale, Arizona (United States of America)",Roman Salazar,21st February 1988 (age 34),,135 lbs. (61 kg) at 5'7'' (1.70 m),,,
29278,unknown,"Lagos de Moreno, Jalisco (Mexico)",Aero Extreme,,,,,,
29281,unknown,,Warhammer,11th July ???,19th October 2013 (8 years ago),480 lbs. (218 kg) at 6'9'' (2.06 m),,,
29282,unknown,United States of America,Mackenzie Long,,17th August 2013 (8 years ago),,,,
29283,unknown,"Tulsa, Oklahoma (United States of America)",Diamond,27th January ???,29th December 2012 (9 years ago),200 lbs. (91 kg) at 5'8'' (1.73 m),,,
29284,unknown,"Catoosa, Oklahoma (United States of America)",Tommy Toops,8th February ???,15th September 2012 (9 years ago),225 lbs. (102 kg) at 6'4'' (1.93 m),,,
