,Date,Match,Promotion,Event,Rating,Participant 1,Participant 2,Participant 3,Participant 4,Participant 5,Participant 6,# of teams,Team Size,PPV
167,"September 27, 2020",Shingo Takagi vs. Will Ospreay,NJPW,G1 Climax 30Night 5,5.0,['Shingo Takagi'],['Will Ospreay'],,,,,2,1,True
168,"October 10, 2020",Kota Ibushi vs. Minoru Suzuki,NJPW,G1 Climax 30Night 13,5.25,['Kota Ibushi'],['Minoru Suzuki'],,,,,2,1,True
169,"October 10, 2020",Kazuchika Okada vs. Shingo Takagi,NJPW,G1 Climax 30Night 13,5.25,['Kazuchika Okada'],['Shingo Takagi'],,,,,2,1,True
170,"October 29, 2020",Walter vs. Ilja Dragunov,WWE,NXT UK,5.0,['Walter'],['Ilja Dragunov'],,,,,2,1,False
171,"November 7, 2020",The Young Bucks (Matt Jackson and Nick Jackson) vs FTR (Cash Wheeler and Dax Harwood),AEW,Full Gear,5.25,"['Matt Jackson', 'Nick Jackson']","['Cash Wheeler', 'Dax Harwood']",,,,,2,2,True
172,"December 6, 2020",Go Shiozaki vs. Takashi Sugiura,Noah,The BEST ~Final Chronicle 2020~,5.0,['Go Shiozaki'],['Takashi Sugiura'],,,,,2,1,False
173,"January 4, 2021",Kazuchika Okada vs. Will Ospreay,NJPW,Wrestle Kingdom 15 Night 1,5.25,['Kazuchika Okada'],['Will Ospreay'],,,,,2,1,True
174,"January 4, 2021",Tetsuya Naito vs. Kota Ibushi,NJPW,Wrestle Kingdom 15 Night 1,5.0,['Tetsuya Naito'],['Kota Ibushi'],,,,,2,1,True
175,"January 5, 2021",Shingo Takagi vs. Jeff Cobb,NJPW,Wrestle Kingdom 15 Night 2,5.0,['Shingo Takagi'],['Jeff Cobb'],,,,,2,1,True
176,"January 5, 2021",Kota Ibushi vs. Jay White,NJPW,Wrestle Kingdom 15 Night 2,5.25,['Kota Ibushi'],['Jay White'],,,,,2,1,True
177,"January 6, 2021",Kenny Omega vs. Rey Fenix,AEW,New Year's Smash Night 1,5.0,['Kenny Omega'],['Rey Fenix'],,,,,2,1,False
178,"January 30, 2021",Hiroshi Tanahashi vs. Shingo Takagi,NJPW,The New Beginning in Nagoya,5.0,['Hiroshi Tanahashi'],['Shingo Takagi'],,,,,2,1,False
179,"March 14, 2021",Will Ospreay vs. Zack Sabre Jr.,NJPW,New Japan CupNight 8,5.0,['Will Ospreay'],['Zack Sabre Jr.'],,,,,2,1,True
180,"March 21, 2021",Will Ospreay vs. Shingo Takagi,NJPW,New Japan CupNight 13,5.5,['Will Ospreay'],['Shingo Takagi'],,,,,2,1,True
181,"April 14, 2021",The Young Bucks (Matt Jackson and Nick Jackson) vs. Death Triangle (Pac and Rey Fenix),AEW,Dynamite,5.0,"['Matt Jackson', 'Nick Jackson']","['Pac', 'Rey Fenix']",,,,,2,2,False
182,"May 4, 2021",Will Ospreay vs. Shingo Takagi,NJPW,Wrestling Dontaku 2021Night 2,6.0,['Will Ospreay'],['Shingo Takagi'],,,,,2,1,True
183,"June 12, 2021",Syuri vs. Utami Hayashishita,Stardom,Tokyo Dream Cinderella,5.5,['Syuri'],['Utami Hayashishita'],,,,,2,1,False
184,"July 25, 2021",Hiroshi Tanahashi vs. Shingo Takagi,NJPW,Wrestle Grand Slam in Tokyo Dome,5.0,['Hiroshi Tanahashi'],['Shingo Takagi'],,,,,2,1,True
185,"August 22, 2021",Ilja Dragunov vs. Walter,WWE,NXT TakeOver 36,5.25,['Ilja Dragunov'],['Walter'],,,,,2,1,False
186,"September 5, 2021",The Young Bucks (Matt Jackson and Nick Jackson) vs. Lucha Brothers (Pentagón Jr. and Rey Fenix),AEW,All Out,5.75,"['Matt Jackson', 'Nick Jackson']","['Pentagón Jr.', 'Rey Fenix']",,,,,2,2,True
187,"September 18, 2021",Tomohiro Ishii vs. Shingo Takagi,NJPW,G1 Climax 31Night 1,5.5,['Tomohiro Ishii'],['Shingo Takagi'],,,,,2,1,True
188,"September 22, 2021",Bryan Danielson vs. Kenny Omega,AEW,AEW Grand Slam,5.0,['Bryan Danielson'],['Kenny Omega'],,,,,2,1,False
189,"October 9, 2021",Lucha Brothers (Pentagón Jr. and Fénix) vs. Jinetes del Aire (El Hijo del Vikingo and Laredo Kid),AAA,Héroes Inmortales XIV,5.0,"['Pentagón Jr.', 'Fénix']","['El Hijo del Vikingo', 'Laredo Kid']",,,,,2,2,False
190,"November 13, 2021","Superkliq (Adam Cole, Matt Jackson and Nick Jackson) vs. Christian Cage and Jurassic Express (Jungle Boy and Luchasaurus)",AEW,Full Gear,5.0,"['Adam Cole', 'Matt Jackson', 'Nick Jackson']","['Christian Cage', 'Jungle Boy', 'Luchasaurus']",,,,,2,3,True
191,"November 13, 2021",Adam Page vs. Kenny Omega,AEW,Full Gear,5.5,['Adam Page'],['Kenny Omega'],,,,,2,1,True
192,"December 15, 2021",Adam Page vs. Bryan Danielson,AEW,Winter is Coming,5.0,['Adam Page'],['Bryan Danielson'],,,,,2,1,False
193,"January 5, 2022",Kazuchika Okada vs. Will Ospreay,NJPW,Wrestle Kingdom 16Night 2,5.75,['Kazuchika Okada'],['Will Ospreay'],,,,,2,1,True
194,"January 26, 2022",Cody Rhodes vs. Sammy Guevara,AEW,Beach Break,5.0,['Cody Rhodes'],['Sammy Guevara'],,,,,2,1,False
195,"January 29, 2022",Will Ospreay vs. Michael Oku,RPW,High Stakes,5.0,['Will Ospreay'],['Michael Oku'],,,,,2,1,False
